unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,3.320056181259893e-06,3.3895702300314486e-06,1.5590160994559622e-07,7.151962721672134e-08,-8.438198272887488e-08,67.15000062992485,-5.666250193398256e-06,1.7056592787173818e-06,-0.3086215695751998,-0.29607304101438037,-74.54024649711778
I2,2,N1,3.3895702300314486e-06,3.455118887091649e-06,1.5270293056621527e-07,7.24288836489914e-08,-8.027404691722387e-08,67.15000061914638,-5.390402300192969e-06,1.68848860661405e-06,-0.3070540766343491,-0.29617305370808344,-73.99346552404054
I2,3,N1,3.455118887091649e-06,3.5170050213053578e-06,1.49791696861774e-07,7.330648482978144e-08,-7.648521203199255e-08,67.15000060818934,-5.135982034465791e-06,1.6732363626866658e-06,-0.3058762799813371,-0.29626806029014413,-73.50240821052884
I2,4,N1,3.5170050213053578e-06,3.575495097501236e-06,1.4713086961279151e-07,7.415405502494575e-08,-7.297681458784577e-08,67.15000060010368,-4.900393143367499e-06,1.6596369347830293e-06,-0.30494922234880173,-0.29636006125915215,-73.05436466802128
I2,5,N1,3.575495097501236e-06,3.63082525419716e-06,1.4468971451723816e-07,7.49730534623101e-08,-6.971666105492805e-08,67.15000061161862,-4.681473832478427e-06,1.647470759846612e-06,-0.3041949386202467,-0.2964497180395085,-72.64069931647465
I2,6,N1,3.63082525419716e-06,3.683206084726602e-06,1.4244245922588378e-07,7.576481138240179e-08,-6.667764784348199e-08,67.15000063380525,-4.4774040949504586e-06,1.636554529562142e-06,-0.30356521665113273,-0.2965378917415871,-72.2552094648913
I2,7,N1,3.683206084726602e-06,3.73282644527297e-06,1.4036728619346516e-07,7.653056049354997e-08,-6.38367256999152e-08,67.15000066745391,-4.286636173357377e-06,1.6267338501526135e-06,-0.30302862976149425,-0.29662523590342477,-71.89324526031243
I2,8,N1,3.73282644527297e-06,3.7798565236326798e-06,1.3844556743779767e-07,7.727145450529626e-08,-6.117411293250142e-08,67.15000068808182,-4.107841725510265e-06,1.6178776645732044e-06,-0.3025639043492838,-0.29671201836841316,-71.55119963221782
I2,9,N1,3.7798565236326798e-06,3.824450336691765e-06,1.3666127345579859e-07,7.798858600622767e-08,-5.867268744957092e-08,67.15000065781035,-3.9398710008341885e-06,1.6098739459651969e-06,-0.30215451938984245,-0.2967984026967957,-71.22619435953725
I2,10,N1,3.824450336691765e-06,4.072687756668271e-06,3.286976408740508e-07,5.562046328118292e-08,-2.730771775928679e-07,60.000001153536644,-1.6384630970576603e-05,2.882385781164253e-06,-0.365876383476274,-0.29540576087913306,-70.91587611124318
I2,11,N1,4.072687756668271e-06,4.529146876826237e-06,5.457043140655979e-07,5.0843630267757315e-08,-4.948606837978406e-07,60.00000058949216,-2.9691641319586928e-05,4.474109582500165e-06,-0.35775514042730994,-0.29561263402059634,-70.749960614533
I2,12,N1,4.529146876826237e-06,4.9807221323838235e-06,5.40573184935258e-07,5.091956582713895e-08,-4.89653619108119e-07,60.00000058170171,-2.937921743131949e-05,4.436195630717977e-06,-0.3538799039706337,-0.29571224454286493,-70.67649549487236
I2,13,N1,4.9807221323838235e-06,5.438121094977805e-06,5.467038416565294e-07,5.0839619871952145e-08,-4.958642217845772e-07,60.00000057035913,-2.9751853589895317e-05,4.4815759614636116e-06,-0.35356956211175194,-0.295753154206926,-70.67584730955996
I2,14,N1,5.438121094977805e-06,5.913279132518397e-06,5.65402294901736e-07,5.059876581623662e-08,-5.148035290854994e-07,60.0000005582572,-3.0888212032522744e-05,4.620007955384794e-06,-0.3564495953260992,-0.2957429282780409,-70.74851795419207
I2,15,N1,5.913279132518397e-06,6.422389036320711e-06,6.011972041379616e-07,5.0179595797485374e-08,-5.510176083404762e-07,60.00000056107253,-3.306105680958942e-05,4.885325999515853e-06,-0.3639667666857713,-0.2956792971387444,-70.90746201217145
I2,16,N1,6.422389036320711e-06,6.992446755689445e-06,6.655868633058836e-07,4.954396326569792e-08,-6.160429000401857e-07,60.000000577233806,-3.6962574358011926e-05,5.363481199286862e-06,-0.3824680675211945,-0.2955496129609244,-71.19078331546419
I2,17,N1,6.992446755689445e-06,7.68186975301781e-06,7.920435552266105e-07,4.860626506046321e-08,-7.434372901661472e-07,60.00000061744025,-4.460623786899694e-05,6.304873652153053e-06,-0.4560244712172679,-0.29530263850832783,-71.73282897754292
I2,18,N1,7.68186975301781e-06,7.751890017657524e-06,1.5631306076260492e-07,7.140627957910228e-08,-8.490678118350264e-08,67.15000064217055,-5.701490410996837e-06,1.7078950525628039e-06,-0.30796909951413703,-0.2960547431017116,-74.59126584821014
I2,19,N1,7.751890017657524e-06,7.756882632687371e-06,1.0879825265599097e-07,9.06446262909664e-08,-1.8153626365024572e-08,92.70755778067618,-1.682978365164322e-06,1.4958215921021802e-06,-0.2951566214475133,-0.8688344434912192,-79.35739776949022
I2,20,N1,7.756882632687371e-06,3.058572913431916e-06,3.191055849433019e-08,4.425574609877754e-06,4.393664051383424e-06,92.70755909193626,0.00040732586967374485,3.343113876279063e-05,-0.2955271350037686,-0.7229041960093663,-79.54531917058979
I2,21,N1,3.058572913431916e-06,3.0701499336209296e-06,1.125366605105324e-07,8.775682722971916e-08,-2.4779833280813237e-08,92.70755789530492,-2.2972778285169968e-06,1.5022011580518869e-06,-0.2951632692828105,-0.8312937615012208,-79.40253506129568
I2,22,N1,3.0701499336209296e-06,3.158668117573933e-06,1.7183867862488067e-07,6.769415880853273e-08,-1.0414451981634793e-07,67.1500006969421,-6.993304578250464e-06,1.7964962807506005e-06,-0.3311994963184124,-0.2955878821010652,-77.56550513303706
I2,23,N1,3.158668117573933e-06,3.241797921389373e-06,1.6722493927859878e-07,6.869560403097103e-08,-9.852933524762775e-08,67.15000065006946,-6.616244925929114e-06,1.7694040748217737e-06,-0.3189046469508419,-0.2957493127327322,-76.54599490100338
I2,24,N1,3.241797921389373e-06,3.320056181259893e-06,1.6311610733372842e-07,6.965563793184322e-08,-9.34604694018852e-08,67.15000063658795,-6.275870579832399e-06,1.7457880894917873e-06,-0.31379333343854526,-0.2958663961916968,-75.78562603657033
I2,1,N2,13.590545974636004,13.908109146561817,0.33927694278257264,4.35414800145977e-08,-0.3392768992410926,67.15000067298006,-22.782444012365957,2.544577397430395,-1.0354346604539592e-07,-9.439377815080758e-08,-79.75427302996182
I2,2,N2,13.908109146561817,14.225132460612874,0.33870017154885923,4.35414800663753e-08,-0.33870012800737914,67.15000066334122,-22.743713820369265,2.5402516131775448,-1.0287744029124338e-07,-9.43937781508115e-08,-79.75427291905022
I2,3,N2,14.225132460612874,14.54183352402709,0.33835588668043864,4.354148010311522e-08,-0.33835584313895856,67.15000065448433,-22.720595088229665,2.5376694766643904,-1.0242706228939469e-07,-9.439377815081474e-08,-79.7542728321627
I2,4,N2,14.54183352402709,14.858281190491361,0.3380851634433182,4.3541480130843284e-08,-0.33808511990183804,67.15000064821092,-22.70241602055889,2.5356390523859873,-1.0210583271498915e-07,-9.439377815081717e-08,-79.75427276474653
I2,5,N2,14.858281190491361,15.173457719914486,0.33672711104893194,4.354148018007684e-08,-0.33672706750745174,67.15000065824445,-22.61122280477411,2.525453659428091,-1.0180534770544295e-07,-9.439377815081886e-08,-79.754272713936
I2,6,N2,15.173457719914486,15.486901841980304,0.33487624848770536,4.354148023744643e-08,-0.3348762049462251,67.15000067788026,-22.486937389144984,2.5115721902188923,-1.0154634731201381e-07,-9.439377815081982e-08,-79.75427267775223
I2,7,N2,15.486901841980304,15.797545557750384,0.33188436141961225,4.354148032057772e-08,-0.33188431787813194,67.15000071556452,-22.2860321830012,2.489133037208194,-1.0128036449093263e-07,-9.439377815082001e-08,-79.7542726548565
I2,8,N2,15.797545557750384,16.106300736394388,0.32986669354987225,4.354148037546752e-08,-0.3298666500083919,67.15000074506437,-22.150545793835406,2.4740005281851447,-1.0111382935333524e-07,-9.43937781508199e-08,-79.75427264429662
I2,9,N2,16.106300736394388,16.41827506630043,0.33330595771871396,4.354148028291091e-08,-0.33330591417723365,67.15000070924907,-22.38149237339815,2.499795009451457,-1.0127013325737693e-07,-9.439377815082043e-08,-79.75427264558272
I2,10,N2,16.41827506630043,30.86133175432639,15.430616158685208,3.416717826573747e-08,-15.43061612451803,60.000001198636504,-925.8369859667815,115.72962144639288,-7.149998039581907,-9.439377805760731e-08,-79.75427265900066
I2,11,N2,30.86133175432639,23.37424084614254,4.154820342391046e-08,7.0079171264602955,7.007917084912092,100.68357315439833,705.5821324787046,52.55937876006374,-9.439377813486143e-08,-1.724900012933853e-07,-87.21982446919439
I2,12,N2,23.37424084614254,19.442239779684176,4.154820381519581e-08,3.6803530346052447,3.6803529930570407,100.68357317139603,370.551089873025,27.602648071150863,-9.439377813484111e-08,-1.3658629870531181e-07,-87.21982462985731
I2,13,N2,19.442239779684176,15.762725641590455,4.154820389843037e-08,3.44402526965594,3.444025228107736,100.6835731380572,346.7567659434994,25.83018983403108,-9.439377813492771e-08,-1.2670287532904963e-07,-87.2198246818589
I2,14,N2,15.762725641590455,12.096553226415722,4.154820391035137e-08,3.431537417003766,3.431537375455562,100.68357310632136,345.4994442087542,25.736530939139772,-9.439377813485355e-08,-1.2442275005695997e-07,-87.21982467826108
I2,15,N2,12.096553226415722,7.602974474826682,4.1548203747656955e-08,4.205989747887556,4.205989706339352,100.68357312654399,423.47407216770944,31.5449234207682,-9.43937781349223e-08,-1.3206915092376135e-07,-87.21982462109044
