hour,lambda_system,system_net_injection_residual_mw
1,67.15000062992485,-1.7307658945252627e-14
2,67.15000061914638,2.412679749142736e-14
3,67.15000060818934,6.821425304845237e-14
4,67.15000060010368,-5.967960037035091e-14
5,67.15000061161862,1.134714955825235e-14
6,67.15000063380525,-6.371968997118095e-14
7,67.15000066745391,3.3273304379273296e-14
8,67.15000068808182,4.2366111800248144e-14
9,67.15000065781035,-1.083161980490597e-13
10,60.000001153536644,-3.723024264164318e-14
11,60.00000058949216,7.001619414744752e-14
12,60.00000058170171,5.6490720164922837e-14
13,60.00000057035913,-9.540393394589413e-15
14,60.0000005582572,-2.4295932117127702e-14
15,60.00000056107253,5.442192911801042e-14
16,60.000000577233806,-2.3186036153099304e-14
17,60.00000061744025,-3.9716404514633945e-14
18,67.15000064217055,-3.297911031522942e-14
19,92.70755778067618,6.07020217000517e-14
20,92.70755909193626,1.1153168393655539e-13
21,92.70755789530492,-4.087323410773984e-14
22,67.1500006969421,7.684833078477479e-14
23,67.15000065006946,3.776945297649052e-14
24,67.15000063658795,2.3360669624048993e-14
