unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I4,0,N1,7.510784687328255e-07,-0.01791465488461318,-73.39927958565335
I4,1,N1,7.916261372553039e-07,-0.018349633602176507,-73.39927958565335
I4,2,N1,8.288022639935876e-07,-0.01864585598517848,-73.39927958565335
I4,3,N1,8.630829133482088e-07,-0.0188440379651195,-73.39927958565335
I4,4,N1,8.948345538399477e-07,-0.018981929583136582,-73.39927958565335
I4,5,N1,9.243462554348294e-07,-0.01908345263324597,-73.39927958565335
I4,6,N1,9.51850640029058e-07,-0.01916249016680102,-73.39927958565335
I4,7,N1,9.775380421775505e-07,-0.01922653509390114,-73.39927958565335
I4,8,N1,1.0015663894888138e-06,-0.019276242368900964,-73.39927958565335
I4,9,N1,1.0240682845391015e-06,-0.019294168815027313,-73.39927958565335
I4,10,N1,1.045156199482635e-06,-0.019198061297907264,-73.39927958565335
I4,11,N1,2.3017305805992698e-06,-0.02535514702694722,-73.39927958565335
I4,12,N1,3.3660977897066548e-06,-0.030430218819542602,-73.39927958565335
I4,13,N1,4.340281195122382e-06,-0.032664646624504634,-73.39927958565335
I4,14,N1,5.33096241701887e-06,-0.03744591831767471,-73.39927958565335
I4,15,N1,6.462358499643224e-06,-0.047840600547105414,-73.39927958565335
I4,16,N1,8.126904681013134e-06,-1.145942085832893,-73.39927958565335
I4,17,N1,8.154214156009312e-06,-2.0281818597232872,-73.39927958565335
I4,18,N1,8.191077958564251e-06,-4.409220614855719,-73.39927958565335
I4,19,N1,8.045400087528937e-06,-0.02476115023265013,-73.39927958565335
I4,20,N1,3.7023253204563136e-06,-0.04681436206435238,-73.39927958565335
I4,21,N1,5.851878241052623e-07,-0.014192156890320145,-73.39927958565335
I4,22,N1,6.473303977229722e-07,-0.01650229940287594,-73.39927958565335
I4,23,N1,7.021091465855569e-07,-0.017243457703611915,-73.39927958565335
I4,24,N1,7.512186402515891e-07,-0.017760753857608634,-73.39927958565335
I4,0,N2,11.891333613207355,-4.4663030591738175e-09,-79.75427416758473
I4,1,N2,13.463407993641782,-5.7652387050498324e-09,-79.75427416758473
I4,2,N2,15.001178142065704,-7.277270142269386e-09,-79.75427416758473
I4,3,N2,16.53656700919135,-9.096955861796625e-09,-79.75427416758473
I4,4,N2,18.093721765422863,-1.1371445478288085e-08,-79.75427416758473
I4,5,N2,19.68631060226091,-1.4325187538529662e-08,-79.75427416758473
I4,6,N2,21.336627152215993,-1.8377230893570615e-08,-79.75427416758473
I4,7,N2,23.05829411571759,-2.431505744482884e-08,-79.75427416758473
I4,8,N2,24.943024318331858,-3.444392006903321e-08,-79.75427416758473
I4,9,N2,27.35643297676927,-6.158440886705879e-08,-79.75427416758473
I4,10,N2,31.393496656832923,-7.464842403445929,-79.75427416758473
I4,11,N2,26.199916421517617,-5.2990192281288506e-08,-79.75427416758473
I4,12,N2,18.280129231351015,-1.1714632367185786e-08,-79.75427416758473
I4,13,N2,14.253074911089874,-6.7063670390608815e-09,-79.75427416758473
I4,14,N2,10.385662207388325,-3.7207522604541314e-09,-79.75427416758473
I4,15,N2,6.061759533014661,-1.4246504003267593e-09,-79.75427416758473
I4,16,N2,2.7693897087459444e-08,7.50331664786116e-10,-79.75427416758473
I4,17,N2,7.684718240298536,-1.684258606163025e-09,-79.75427416758473
I4,18,N2,11.417685115777429,-4.2829153153202854e-09,-79.75427416758473
I4,19,N2,11.417685081758759,-4.0498554795976424e-09,-79.75427416758473
I4,20,N2,6.441469805357726,-1.666409781850253e-09,-79.75427416758473
I4,21,N2,6.441469728619014,-1.1290280014577143e-09,-79.75427416758473
I4,22,N2,8.351754325718051,-2.1333640571498918e-09,-79.75427416758473
I4,23,N2,10.176819053533846,-3.2444529780265985e-09,-79.75427416758473
I4,24,N2,11.891333613208172,-4.466303059175136e-09,-79.75427416758473
I4,0,N3,2.3245676315770826e-07,-2.997305257587642e-08,-71.90990064571899
I4,1,N3,2.4169970724935654e-07,-2.997305264334088e-08,-71.90990064571899
I4,2,N3,2.4640017411924554e-07,-2.997305268079471e-08,-71.90990064571899
I4,3,N3,2.468175542752342e-07,-2.997305269140658e-08,-71.90990064571899
I4,4,N3,2.4291314415486475e-07,-2.997305267600311e-08,-71.90990064571899
I4,5,N3,2.3434104628218765e-07,-2.9973052633375606e-08,-71.90990064571899
I4,6,N3,2.2033365849019903e-07,-2.997305255982964e-08,-71.90990064571899
I4,7,N3,1.993785899654632e-07,-2.997305244753371e-08,-71.90990064571899
I4,8,N3,1.6827261569513076e-07,-2.997305227948723e-08,-71.90990064571899
I4,9,N3,1.1833526588473967e-07,-2.997305200925122e-08,-71.90990064571899
I4,10,N3,-1.2805579829691913e-09,-2.997305136531289e-08,-71.90990064571899
I4,11,N3,8.76574553546593e-06,-2.997648022483784e-08,-71.90990064571899
I4,12,N3,1.8325687356440319,-2.9998815565186274e-08,-71.90990064571899
I4,13,N3,3.49381458280316,-5.06863738908044e-08,-71.90990064571899
I4,14,N3,5.133989330281676,-1.0754911460718266e-07,-71.90990064571899
I4,15,N3,7.135913036693583,-0.0004969464121623882,-71.90990064571899
I4,16,N3,7.219218003668058,-36.297347679426316,-71.90990064571899
I4,17,N3,7.219217970294824,-7.700458164232388,-71.90990064571899
I4,18,N3,7.219217973016326,-9.933089542503616,-71.90990064571899
I4,19,N3,7.2192177839448535,-2.7222030270437774e-07,-71.90990064571899
I4,20,N3,3.3627980766028833,-5.7048367047462304e-08,-71.90990064571899
I4,21,N3,1.4028300249389466e-07,-2.99730517930534e-08,-71.90990064571899
I4,22,N3,1.8307059961566612e-07,-2.997305219832377e-08,-71.90990064571899
I4,23,N3,2.119550015905377e-07,-2.997305242489804e-08,-71.90990064571899
I4,24,N3,2.3245722347102633e-07,-2.9973052575861493e-08,-71.90990064571899
I4,0,N4,7.48597948060612e-07,-0.02001159224080988,-73.06540409239167
I4,1,N4,7.89101831673146e-07,-0.020739318375913404,-73.06540409239167
I4,2,N4,8.262323414079852e-07,-0.021281159639133854,-73.06540409239167
I4,3,N4,8.604668651437387e-07,-0.021675145103881688,-73.06540409239167
I4,4,N4,8.921726227635844e-07,-0.021971356851802244,-73.06540409239167
I4,5,N4,9.216391291747061e-07,-0.022207504613955955,-73.06540409239167
I4,6,N4,9.490992790366767e-07,-0.02240897881080483,-73.06540409239167
I4,7,N4,9.747435791238546e-07,-0.022589114149950695,-73.06540409239167
I4,8,N4,9.987300686705976e-07,-0.022739946479132044,-73.06540409239167
I4,9,N4,1.0211914243994083e-06,-0.022798542604017615,-73.06540409239167
I4,10,N4,1.0422401689134896e-06,-0.02255165142251423,-73.06540409239167
I4,11,N4,2.261892821723317e-06,-0.028994749521307657,-73.06540409239167
I4,12,N4,3.2986660199882418e-06,-0.0332178200133367,-73.06540409239167
I4,13,N4,4.247472719028903e-06,-0.03623773975323018,-73.06540409239167
I4,14,N4,5.211672282391442e-06,-0.04057955862981221,-73.06540409239167
I4,15,N4,6.312705394117931e-06,-0.05163342105464255,-73.06540409239167
I4,16,N4,7.936178842598672e-06,-1.160524056153414,-73.06540409239167
I4,17,N4,7.963469414784551e-06,-2.0041323186596824,-73.06540409239167
I4,18,N4,8.000315048971274e-06,-4.442017237179649,-73.06540409239167
I4,19,N4,7.854788012422565e-06,-0.028035812366847768,-73.06540409239167
I4,20,N4,3.612428130776029e-06,-0.04518659776958185,-73.06540409239167
I4,21,N4,5.82756045358875e-07,-0.01538668312167165,-73.06540409239167
I4,22,N4,6.449026364737778e-07,-0.01813406351388828,-73.06540409239167
I4,23,N4,6.996579189408941e-07,-0.019049573791529127,-73.06540409239167
I4,24,N4,7.487326004859001e-07,-0.019766393615347426,-73.06540409239167
I4,0,N5,7.716344035507263e-06,-0.018911269566304654,-79.65725971963161
I4,1,N5,8.339851812383462e-06,-0.020109206486715544,-79.65725971963161
I4,2,N5,8.945166491293477e-06,-0.02119094580319174,-79.65725971963161
I4,3,N5,9.537424936036303e-06,-0.022211270742076294,-79.65725971963161
I4,4,N5,1.0120854879058088e-05,-0.023218490604835294,-79.65725971963161
I4,5,N5,1.0699131803726398e-05,-0.024259467494551358,-79.65725971963161
I4,6,N5,1.127563075632217e-05,-0.02538965205303678,-79.65725971963161
I4,7,N5,1.1853626718053782e-05,-0.02669055671276631,-79.65725971963161
I4,8,N5,1.2436478766069186e-05,-0.02830562164945024,-79.65725971963161
I4,9,N5,1.3027827833140927e-05,-0.030526966762525795,-79.65725971963161
I4,10,N5,1.3631842361186906e-05,-0.034045277510795405,-79.65725971963161
I4,11,N5,1.3652373188802608e-05,-0.032903026895826276,-79.65725971963161
I4,12,N5,1.3673094698730251e-05,-0.03237393579136165,-79.65725971963161
I4,13,N5,1.3693897654230221e-05,-0.03210030235737272,-79.65725971963161
I4,14,N5,1.3714782997084048e-05,-0.03185768561561165,-79.65725971963161
I4,15,N5,1.3735751681523921e-05,-0.03136523675182621,-79.65725971963161
I4,16,N5,1.375680466156152e-05,-0.029949488414482448,-79.65725971963161
I4,17,N5,1.4695563960630424e-05,-0.0378463620764248,-79.65725971963161
I4,18,N5,1.5496434597917125e-05,-0.055079308497645196,-79.65725971963161
I4,19,N5,1.5459713440023146e-05,-0.02432178433348131,-79.65725971963161
I4,20,N5,5.650345733986982e-06,-0.020757685172238482,-79.65725971963161
I4,21,N5,5.564964344010843e-06,-0.013405210924471713,-79.65725971963161
I4,22,N5,6.329433378698293e-06,-0.016321511799720596,-79.65725971963161
I4,23,N5,7.041557571612296e-06,-0.017683807565191927,-79.65725971963161
I4,24,N5,7.71665856319014e-06,-0.019280102834179167,-79.65725971963161
I4,0,N6,2.3493861339079086e-07,-0.039709693009404815,-72.01790060663906
I4,1,N6,2.4426961916459184e-07,-0.039967390114117526,-72.01790060663906
I4,2,N6,2.4933031552370623e-07,-0.040040641563083075,-72.01790060663906
I4,3,N6,2.503818297833506e-07,-0.04006169935686915,-72.01790060663906
I4,4,N6,2.474293445163063e-07,-0.04005581770378837,-72.01790060663906
I4,5,N6,2.402260940350703e-07,-0.040027155654496466,-72.01790060663906
I4,6,N6,2.2820193448503515e-07,-0.03997442502893537,-72.01790060663906
I4,7,N6,2.1026147590274467e-07,-0.03989297732456962,-72.01790060663906
I4,8,N6,1.8424490979947399e-07,-0.039772479891728454,-72.01790060663906
I4,9,N6,1.451571914201623e-07,-0.039586771243206545,-72.01790060663906
I4,10,N6,7.553782149995771e-08,-0.03924146634433073,-72.01790060663906
I4,11,N6,1.434922001109042e-06,-0.0519343074337118,-72.01790060663906
I4,12,N6,2.4414237948737362e-06,-0.062214699213031306,-72.01790060663906
I4,13,N6,3.3171856029212896e-06,-0.07326058346012294,-72.01790060663906
I4,14,N6,4.189832907862648e-06,-0.09050827183830124,-72.01790060663906
I4,15,N6,5.18257714013535e-06,-0.13830566629494473,-72.01790060663906
I4,16,N6,6.660722889765271e-06,-8.81982063721438,-72.01790060663906
I4,17,N6,6.644526841698173e-06,-6.255947348038561,-72.01790060663906
