hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,344.5000033863324,400.0,0.8612500084658311,3.7350216942545725e-09,-9.532966693974369e-09
1,L45,311.6120557647098,400.0,0.7790301394117745,6.065903524485949e-09,-9.511385790372962e-09
1,L46,32.887947617336586,200.0,0.16443973808668294,7.919387061415658e-09,-8.506947016841407e-09
1,L69,-2.75205239093772,200.0,0.0137602619546886,8.285110348798317e-09,-8.237165713239639e-09
1,L57,-59.637944244386766,400.0,0.1490948606109669,9.243512803787895e-09,-8.978437836247676e-09
1,L93,-102.16567186185313,400.0,0.2554141796546328,9.307614671474322e-09,-8.832471182130386e-09
1,L72,0.002606368491128462,400.0,6.515921227821155e-06,9.130727883204e-09,-9.130740635149378e-09
1,L98,99.41361946169681,200.0,0.49706809730848406,6.5426827584660174e-09,-8.838768304190973e-09
1,L78,-59.813619452492716,200.0,0.2990680972624636,8.661787297801764e-09,-7.519415730151998e-09
2,L14,348.4375034271449,400.0,0.8710937585678623,3.256605169756835e-09,-9.53542373767145e-09
2,L45,304.98875922892586,400.0,0.7624718980723146,6.340218640020123e-09,-9.506794405710302e-09
2,L46,43.448744195216186,200.0,0.21724372097608094,7.779016544871064e-09,-8.571724844709998e-09
2,L69,9.428744189790772,200.0,0.04714372094895386,8.175489407674657e-09,-8.339708872525519e-09
2,L57,-49.38624077819693,400.0,0.12346560194549232,9.226257415659208e-09,-9.008303370452104e-09
2,L93,-77.92246409682521,400.0,0.19480616024206301,9.272486027341184e-09,-8.920375935036137e-09
2,L72,0.0024463140358012884,400.0,6.115785089503221e-06,9.130728407446002e-09,-9.130740110922153e-09
2,L98,87.35120828259049,200.0,0.43675604141295243,6.913049839133369e-09,-8.79000817518541e-09
2,L78,-49.551208278604896,200.0,0.24775604139302448,8.606736698582119e-09,-7.688699057448537e-09
3,L14,352.37500346751074,400.0,0.8809375086687768,2.6990804009877474e-09,-9.537855063849262e-09
3,L45,301.07821497783056,400.0,0.7526955374445764,6.484929867736168e-09,-9.504042805834754e-09
3,L46,51.29678848753663,200.0,0.25648394243768313,7.661791184375623e-09,-8.616335205219444e-09
3,L69,18.356788484581873,200.0,0.09178394242290937,8.08580540243847e-09,-8.40760088685936e-09
3,L57,-42.046785027953426,400.0,0.10511696256988357,9.213412005263197e-09,-9.028634691430601e-09
3,L93,-60.44736255776853,400.0,0.1511184063944213,9.244870858917366e-09,-8.975950810935994e-09
3,L72,0.002332970330097512,400.0,5.83242582524378e-06,9.13072876075895e-09,-9.130739757618452e-09
3,L98,78.80415104341154,200.0,0.3940207552170577,7.130825616934935e-09,-8.752905536395759e-09
3,L78,-42.20415104454065,200.0,0.21102075522270325,8.56446133618286e-09,-7.796354850738656e-09
4,L14,355.00000349451716,400.0,0.8875000087362929,2.273193424823289e-09,-9.539461859157488e-09
4,L45,299.37506379383,400.0,0.748437659484575,6.544444232591467e-09,-9.502834672325845e-09
4,L46,55.62493969918461,200.0,0.27812469849592303,7.591688160823108e-09,-8.639765906246454e-09
4,L69,23.22493969858652,200.0,0.11612469849293261,8.033086286054556e-09,-8.442332379424177e-09
4,L57,-38.12493621106403,400.0,0.09531234052766008,9.206371779852692e-09,-9.039160502844231e-09
4,L93,-51.05186290464216,400.0,0.12762965726160538,9.229138375011516e-09,-9.003530197352784e-09
4,L72,0.002251727101126954,400.0,5.629317752817385e-06,9.130729007689503e-09,-9.130739510694023e-09
4,L98,74.27680260961876,200.0,0.37138401304809376,7.234186025986367e-09,-8.732314163786939e-09
4,L78,-38.27680261611084,200.0,0.19138401308055422,8.540792128917516e-09,-7.849891801515475e-09
5,L14,352.3750034689459,400.0,0.8809375086723648,2.699080400819225e-09,-9.537855063849938e-09
5,L45,303.7877323175922,400.0,0.7594693307939805,6.3859676032774224e-09,-9.505951592037058e-09
5,L46,48.58727115042426,200.0,0.24293635575212127,7.703619533646602e-09,-8.601258307118988e-09
5,L69,15.10727115230588,200.0,0.07553635576152941,8.11943848783381e-09,-8.383551338593971e-09
5,L57,-44.96226768675234,400.0,0.11240566921688085,9.218567411590093e-09,-9.020655810065257e-09
5,L93,-67.202723666283,400.0,0.1680068091657075,9.255783798850738e-09,-8.95517364291046e-09
5,L72,0.002195315392296282,400.0,5.488288480740705e-06,9.13072918074579e-09,-9.130739337641853e-09
5,L98,82.30999483098438,200.0,0.4115499741549219,7.045412368437799e-09,-8.7683811225577e-09
5,L78,-45.10999484352723,200.0,0.22554997421763617,8.581464993019691e-09,-7.75504664191467e-09
6,L14,344.50000339093776,400.0,0.8612500084773445,3.735021694199197e-09,-9.532966693974677e-09
6,L45,317.0281296782355,400.0,0.7925703241955887,5.8092475728078564e-09,-9.515074339628647e-09
6,L46,27.471873712412798,200.0,0.137359368562064,7.98466302570165e-09,-8.471418410447651e-09
6,L69,-9.248126282826073,200.0,0.046240631414130366,8.338321984674714e-09,-8.177161286723387e-09
6,L57,-65.47187032583821,400.0,0.16367967581459553,9.25299939112372e-09,-8.960612832845104e-09
6,L93,-115.66472918716337,400.0,0.28916182296790843,9.325722646661883e-09,-8.777092224652086e-09
6,L72,0.00215805119825768,400.0,5.3951279956442e-06,9.130729297821213e-09,-9.130739220569115e-09
6,L98,106.41660292412307,200.0,0.5320830146206154,6.2842995175454576e-09,-8.865271321670141e-09
6,L78,-65.61660294412388,200.0,0.3280830147206194,8.690975297265735e-09,-7.41246813289239e-09
7,L14,331.3750032606499,400.0,0.8284375081516248,4.933241587745049e-09,-9.524585477578663e-09
7,L45,344.0575084240696,400.0,0.860143771060174,3.784373588301451e-09,-9.53269009396522e-09
7,L46,-12.682505162849614,200.0,0.06341252581424807,8.365153212315298e-09,-8.143741528488005e-09
7,L69,-51.94500512019437,200.0,0.2597250256009718,8.61992193312276e-09,-7.651476830462481e-09
7,L57,-105.94249157998217,400.0,0.2648562289499554,9.312752822633297e-09,-8.817564147740094e-09
7,L93,-196.26507689707876,400.0,0.4906626922426969,9.416866562721444e-09,-8.293279514208534e-09
7,L72,0.0021372697352683425,400.0,5.3431743381708565e-06,9.130729365884663e-09,-9.130739152507164e-09
7,L98,144.3200718069351,200.0,0.7216003590346755,3.7546650596840585e-09,-8.990181208280147e-09
7,L78,-106.08507192979093,200.0,0.5304253596489547,8.864040640440444e-09,-6.297434641740296e-09
8,L14,318.25000313079715,400.0,0.7956250078269929,5.746711974442633e-09,-9.515897951499068e-09
8,L45,364.2754302855023,400.0,0.9106885757137557,2.665517292503771e-10,-9.545052097654176e-09
8,L46,-46.02542715284096,200.0,0.23012713576420482,8.586715877327613e-09,-7.741768457266182e-09
8,L69,-74.93792694735089,200.0,0.37468963473675443,8.735336034077356e-09,-7.2196914673377565e-09
8,L57,-141.97456971877435,400.0,0.3549364242969359,9.358443304750504e-09,-8.652443099965723e-09
8,L93,-222.2289725619597,400.0,0.5555724314048992,9.44119854143975e-09,-8.04400222721022e-09
8,L72,0.002129674077756006,400.0,5.324185194390015e-06,9.130729384339955e-09,-9.130739134052742e-09
8,L98,147.29104566210424,200.0,0.7364552283105212,3.4026368006441483e-09,-8.998819093040342e-09
8,L78,-142.116046193277,200.0,0.7105802309663849,8.983675010817789e-09,-3.992513192932877e-09
9,L14,305.1250030017292,400.0,0.7628125075043231,6.33511150327054e-09,-9.506887011047284e-09
9,L45,363.1970395683212,400.0,0.907992598920803,5.517727109391295e-10,-9.544409260500633e-09
9,L46,-58.0720365626436,200.0,0.290360182813218,8.652686464307612e-09,-7.55009120190029e-09
9,L69,-53.16703599357249,200.0,0.26583517996786243,8.626583036684393e-09,-7.631932125418455e-09
9,L57,-159.92796043645134,400.0,0.39981990109112836,9.379014085175058e-09,-8.551669003058002e-09
