unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,4.843096821330015e-08,5.0843895503868995e-08,9.924010101333751e-09,6.435885609765659e-09,-3.4881244915680918e-09,67.15000065467362,-2.3422756189238044e-07,1.2269921783324558e-07,-4.634937660983461,-5.656285099415847,-60.618290116845024
I2,2,N1,5.0843895503868995e-08,5.220102363315773e-08,9.35637617765068e-09,6.926811814720801e-09,-2.4295643629298795e-09,67.15000065234692,-1.6314524855566023e-07,1.221239099427861e-07,-4.726093657063142,-5.358082757724059,-63.87942909460544
I2,3,N1,5.220102363315773e-08,5.288225759830654e-08,9.007427251344361e-09,7.253735993814504e-09,-1.753691257529857e-09,67.150000649981,-1.1776036908299588e-07,1.219587243386915e-07,-4.845423780657765,-5.163555901773153,-64.9040440030535
I2,4,N1,5.288225759830654e-08,5.307797104670102e-08,8.76361406798949e-09,7.494579442812093e-09,-1.2690346251773967e-09,67.15000064823714,-8.521567590329756e-08,1.2193645133101186e-07,-4.906680107545903,-5.08088725024758,-65.24154535628787
I2,5,N1,5.307797104670102e-08,5.284231876479013e-08,8.551849504515545e-09,7.712811679376636e-09,-8.390378251389094e-10,67.15000065073065,-5.6341390504065396e-08,1.2198495887919137e-07,-4.937453335553654,-5.043302992485776,-65.34038270087893
I2,6,N1,5.284231876479013e-08,5.210732981004308e-08,8.312686285218495e-09,7.970660865378025e-09,-3.4202541984047013e-10,67.15000065552393,-2.2967007166493414e-08,1.2212510362947388e-07,-4.951924878175738,-5.025897800324232,-65.39209560494986
I2,7,N1,5.210732981004308e-08,5.066153032020656e-08,7.98345396677037e-09,8.347540408958633e-09,3.640864421882629e-10,67.15000066279606,2.4448404834256912e-08,1.2248245781796753e-07,-4.950664795013765,-5.0253687649213,-65.4760446469005
I2,8,N1,5.066153032020656e-08,4.8082370778597786e-08,7.484981681230441e-09,8.971655841945077e-09,1.4866741607146358e-09,67.15000066727771,9.983017088401232e-08,1.2342478142381638e-07,-4.928395648259073,-5.048217662248742,-65.57581988667833
I2,9,N1,4.8082370778597786e-08,4.358276210677708e-08,6.7102205703110785e-09,1.0090431117591438e-08,3.3802105472803596e-09,67.15000066073405,2.2698114048329634e-07,1.2600488765926886e-07,-4.857666936842576,-5.13065772571461,-65.54373157456548
I2,10,N1,4.358276210677708e-08,4.8603575121492526e-08,1.1882584959564735e-08,5.71080417096117e-09,-6.171780788603565e-09,60.00000061399861,-3.703068511056787e-07,1.3195041847894427e-07,-5.196176447256102,-4.983383886139295,-64.91885473986063
I2,11,N1,4.8603575121492526e-08,5.187397628952735e-08,1.0849843101201039e-08,6.444408648309223e-09,-4.405434452891816e-09,60.00000059013285,-2.6432606977330055e-07,1.2970688812132696e-07,-5.181396809167314,-4.8865255089218955,-63.162090719665926
I2,12,N1,5.187397628952735e-08,5.43560625709111e-08,1.0408460133085715e-08,6.7955775293806714e-09,-3.6128826037050433e-09,60.00000058836241,-2.1677295834798693e-07,1.290302824684979e-07,-5.084761049000321,-4.982105799644283,-63.02448299701833
