hour,lambda_system,system_net_injection_residual_mw
1,67.15000065988384,5.5566298997082907e-14
2,67.1500006593294,-7.305023197527655e-15
3,67.15000065876974,1.054957271864228e-14
4,67.15000065835986,-4.517841513357738e-14
5,67.15000065894776,4.5865806155542566e-14
6,67.15000066008875,9.493306993110995e-15
7,67.15000066184578,4.292107952933831e-14
8,67.15000066294384,-7.250883580552758e-14
9,67.15000066133754,4.801742817251973e-14
10,60.00000059629445,4.257562279511484e-14
11,60.00000059003597,-1.7525050864217743e-14
12,60.00000058960957,-2.1383464865417105e-14
13,60.00000058902548,-2.745749240197907e-14
14,60.00000058842351,3.112578397861911e-15
15,60.00000058859886,3.8114010772751986e-14
16,60.000000589437605,8.73525410235215e-14
17,60.00000059108975,2.9202805371469284e-14
18,67.15000066041164,-5.247547027730681e-14
19,92.88888240759276,1.732990253366285e-13
20,50000.00009906359,-5.32156626487701e-14
21,92.88888241323156,1.0418317227491192e-13
22,67.15000066335956,4.403908077955633e-14
23,67.15000066093184,-7.763461215990334e-14
24,67.15000066023055,-2.6300262181779568e-14
