hour,lambda_system,system_net_injection_residual_mw
1,40.00000185263988,1.5631940186722204e-13
2,40.00000045980603,5.684341886080802e-14
3,40.00000041231399,0.0
4,40.00000040546382,-8.526512829121202e-14
5,40.0000004086676,1.1368683772161603e-13
6,40.00000057567635,-4.263256414560601e-14
7,3367.84206441541,5.684341886080802e-14
8,3402.879370383137,-5.684341886080802e-14
9,3402.879370227615,-5.684341886080802e-14
10,80.00000080204951,-2.842170943040401e-14
11,80.00000074294132,8.881784197001252e-16
12,70.08768072442112,4.973799150320701e-14
13,70.08768066803874,2.842170943040401e-14
14,70.08768066407717,5.684341886080802e-14
15,70.08768068809566,-2.842170943040401e-14
16,70.08768093981753,-6.394884621840902e-14
17,80.00000079136915,2.842170943040401e-14
18,80.00000080755734,0.0
19,2698.3312023914173,0.0
20,2698.3312025629916,-2.842170943040401e-14
21,2698.331202503776,5.684341886080802e-14
22,80.00000080141977,5.684341886080802e-14
23,80.00000079270728,-8.526512829121202e-14
24,80.00000077940489,-7.105427357601002e-14
