hour,lambda_system,system_net_injection_residual_mw
1,55.000000543277665,-3.552713678800501e-14
2,55.000000540887065,2.1316282072803006e-14
3,55.00000054032011,1.4210854715202004e-14
4,55.00000054016738,0.0
5,55.00000054045485,-4.263256414560601e-14
6,55.000000544240535,4.263256414560601e-14
7,75.00000073619246,-1.4210854715202004e-14
8,75.00000073990127,2.842170943040401e-14
9,75.00000073858209,-4.263256414560601e-14
10,55.00000054264064,-1.4210854715202004e-14
11,60.333333926025524,-5.684341886080802e-14
12,55.51749325639435,2.842170943040401e-14
13,55.51749325558315,2.842170943040401e-14
14,55.51749325345418,-7.105427357601002e-14
15,55.517493255587596,-1.4210854715202004e-14
16,55.51749325626863,0.0
17,60.33333392272183,2.842170943040401e-14
18,75.00000073121035,7.105427357601002e-15
19,75.00000074053062,-4.796163466380676e-14
20,75.00000074081895,2.842170943040401e-14
21,75.0000007403311,-7.105427357601002e-14
22,75.00000073955553,-6.394884621840902e-14
23,75.00000071265471,-4.263256414560601e-14
24,55.000000555969066,3.552713678800501e-14
