hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_Base,300.000002998621,300.0,30.0,-25.00000024311286
1,G_Mid,191.89598183009034,200.0,55.0,6.5618612357810026e-09
1,G_CCGT,-8.276288553665414e-09,300.0,75.0,9.885085903674245e-09
1,G_Peak,-9.469627247464472e-09,300.0,120.0,9.885085903674703e-09
1,RES_Wind_N1,360.0000035993732,360.0,-0.0,-55.000000533093704
1,RES_PV_N3,9.392823620725771e-09,0.0,-0.0,-58592.3994770673
1,RES_PV_N5,9.39282361112059e-09,0.0,-0.0,-58592.39947715425
2,G_Base,300.000002998621,300.0,30.0,-25.00000024062052
2,G_Mid,180.46021719896876,200.0,55.0,9.020483413656764e-09
2,G_CCGT,-8.276288553908299e-09,300.0,75.0,9.885085903674245e-09
2,G_Peak,-9.469627247418953e-09,300.0,120.0,9.885085903674703e-09
2,RES_Wind_N1,375.0000037493732,375.0,-0.0,-55.00000053059753
2,RES_PV_N3,9.392823620992939e-09,0.0,-0.0,-58592.399481398235
2,RES_PV_N5,9.39282360783794e-09,0.0,-0.0,-58592.399481860004
3,G_Base,300.000002998621,300.0,30.0,-25.000000240030836
3,G_Mid,156.4670418209094,200.0,55.0,9.529326732152746e-09
3,G_CCGT,-8.276288553945298e-09,300.0,75.0,9.885085903674245e-09
3,G_Peak,-9.469627247300939e-09,300.0,120.0,9.885085903674703e-09
3,RES_Wind_N1,390.0000038993732,390.0,-0.0,-55.000000530004314
3,RES_PV_N3,9.39282362144986e-09,0.0,-0.0,-58592.3994815904
3,RES_PV_N5,9.392823601253632e-09,0.0,-0.0,-58592.39948255369
4,G_Base,300.000002998621,300.0,30.0,-25.00000023985768
4,G_Mid,139.0360195193305,200.0,55.0,9.632973938100703e-09
4,G_CCGT,-8.27628855389227e-09,300.0,75.0,9.885085903674245e-09
4,G_Peak,-9.469627247082143e-09,300.0,120.0,9.885085903674703e-09
4,RES_Wind_N1,400.0000039993732,400.0,-0.0,-55.000000529828945
4,RES_PV_N3,9.392823622201113e-09,0.0,-0.0,-58592.39948202003
4,RES_PV_N5,9.392823589513707e-09,0.0,-0.0,-58592.39948338524
5,G_Base,300.000002998621,300.0,30.0,-25.000000240142885
5,G_Mid,165.86614219697952,200.0,55.0,9.427613331877851e-09
5,G_CCGT,-8.276288553795627e-09,300.0,75.0,9.885085903674245e-09
5,G_Peak,-9.469627246700536e-09,300.0,120.0,9.885085903674703e-09
5,RES_Wind_N1,390.0000038993732,390.0,-0.0,-55.00000053011636
5,RES_PV_N3,9.392823623390896e-09,0.0,-0.0,-58592.39948068041
5,RES_PV_N5,9.3928235692993e-09,0.0,-0.0,-58592.39948273163
6,G_Base,300.000002998621,300.0,30.0,-25.000000244074403
6,G_Mid,193.28538666360214,200.0,55.0,5.569545309745821e-09
6,G_CCGT,-8.276288553424444e-09,300.0,75.0,9.885085903674245e-09
6,G_Peak,-9.46962724602483e-09,300.0,120.0,9.885085903674703e-09
6,RES_Wind_N1,360.0000035993732,360.0,-0.0,-55.000000534055246
6,RES_PV_N3,9.392823625196964e-09,0.0,-0.0,-58592.399471371675
6,RES_PV_N5,9.392823534850615e-09,0.0,-0.0,-58592.39947140378
7,G_Base,300.000002998993,300.0,30.0,-45.0000004358935
7,G_Mid,200.0000019962668,200.0,55.0,-20.0000001862772
7,G_CCGT,-6.7977084990558896e-09,300.0,75.0,9.881556590358313e-09
7,G_Peak,-9.381799920562274e-09,300.0,120.0,9.885085903674612e-09
7,RES_Wind_N1,310.0000030994633,310.0,-0.0,-75.00000072588979
7,RES_PV_N3,5.00000004946331,5.0,-0.0,-75.00000073315337
7,RES_PV_N5,12.40000012346331,12.4,-0.0,-75.00000072885474
8,G_Base,300.0000029992339,300.0,30.0,-45.00000043957428
8,G_Mid,200.00000199827628,200.0,55.0,-20.000000189955752
8,G_CCGT,32.97811935808043,300.0,75.0,9.83452217431267e-09
8,G_Peak,-9.233906024532706e-09,300.0,120.0,9.885085903674612e-09
8,RES_Wind_N1,260.0000025995404,260.0,-0.0,-75.00000072959196
8,RES_PV_N3,25.000000249540346,25.0,-0.0,-75.0000007312927
8,RES_PV_N5,62.00000061954035,62.0,-0.0,-75.00000073010227
9,G_Base,300.000002998993,300.0,30.0,-45.00000043799307
9,G_Mid,200.0000019962668,200.0,55.0,-20.000000188600193
9,G_CCGT,-6.7977084594709976e-09,300.0,75.0,9.873924719517499e-09
9,G_Peak,-9.381799918520928e-09,300.0,120.0,9.885085903674612e-09
9,RES_Wind_N1,210.0000020994633,210.0,-0.0,-75.00000072804232
9,RES_PV_N3,70.00000069946331,70.0,-0.0,-75.0000007291307
9,RES_PV_N5,173.6000017354633,173.6,-0.0,-75.00000072787063
10,G_Base,300.000002998621,300.0,30.0,-25.000000242088483
10,G_Mid,187.41457126826865,200.0,55.0,7.260780399334859e-09
10,G_CCGT,-8.276288554877134e-09,300.0,75.0,9.885085903674245e-09
10,G_Peak,-9.4696272477188e-09,300.0,120.0,9.885085903674703e-09
10,RES_Wind_N1,175.00000174937318,175.0,-0.0,-55.00000053217057
10,RES_PV_N3,120.0000011993732,120.0,-0.0,-55.00000053306308
10,RES_PV_N5,297.60000297537323,297.6,-0.0,-55.00000053174503
11,G_Base,300.00000299722603,300.0,30.0,-11.123456892712689
11,G_Mid,107.94074547765744,200.0,55.0,9.719558968353463e-09
11,G_CCGT,8.338963938504423e-09,300.0,75.0,9.880029729806374e-09
11,G_Peak,-9.603275994706354e-09,300.0,120.0,9.885085903674758e-09
11,RES_Wind_N1,150.00000149918745,150.0,-0.0,-41.12345718282761
11,RES_PV_N3,170.00000169942382,170.0,-0.0,-60.33333391610852
11,RES_PV_N5,421.6000042149586,421.6,-0.0,-30.831059419911664
12,G_Base,238.54955275236003,300.0,30.0,9.654660598290129e-09
12,G_Mid,-4.7504281854502375e-09,200.0,55.0,9.827628855507834e-09
12,G_CCGT,34.50679329270808,300.0,75.0,9.867898400365061e-09
12,G_Peak,-9.667468067259091e-09,300.0,120.0,9.885085903674778e-09
12,RES_Wind_N1,140.00000139885086,140.0,-0.0,-30.00000028041945
12,RES_PV_N3,212.50000212437905,212.5,-0.0,-55.517493246548895
12,RES_PV_N5,527.0000052678886,527.0,-0.0,-16.32806520158947
13,G_Base,181.65980127278317,300.0,30.0,9.759626222072536e-09
13,G_Mid,-4.750428186903212e-09,200.0,55.0,9.827628855507835e-09
13,G_CCGT,14.409454809153063,300.0,75.0,9.878682079117006e-09
13,G_Peak,-9.667468067272179e-09,300.0,120.0,9.885085903674778e-09
13,RES_Wind_N1,150.00000149885085,150.0,-0.0,-30.000000280250084
13,RES_PV_N3,237.50000237437905,237.5,-0.0,-55.51749324568291
13,RES_PV_N5,589.0000058878886,589.0,-0.0,-16.328065184091074
14,G_Base,150.97218688051908,300.0,30.0,9.800087649325935e-09
14,G_Mid,-4.750428188670418e-09,200.0,55.0,9.827628855507835e-09
14,G_CCGT,4.727769087867237,300.0,75.0,9.88283360503308e-09
14,G_Peak,-9.667468067276495e-09,300.0,120.0,9.885085903674778e-09
14,RES_Wind_N1,170.00000169885087,170.0,-0.0,-30.000000280132447
14,RES_PV_N3,245.00000244937905,245.0,-0.0,-55.517493243468
14,RES_PV_N5,607.6000060738886,607.6,-0.0,-16.328065166451648
15,G_Base,136.3655993971873,300.0,30.0,9.820741758793494e-09
