unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,4.785687162931501,20.608203383696907,16.904397662683277,-7.950248041502642e-09,-16.904397670633525,55.00000054299796,-929.7418810638973,126.78298241049771,8.788469427354763e-09,9.310515425310275e-09,-58.76068434039465
I2,1,N2,-3.248815291084495e-09,-1.8142807338660176e-09,-6.310897745480585e-09,-6.8626482194121285e-09,-5.517504739315432e-10,55.00000054325669,-3.034627636597702e-08,-9.880159473669536e-08,-17.885968578894023,-10.180843217944542,-65.19888242817183
I2,1,N3,-2.2805460741595737e-09,-3.5058953769934674e-10,-6.011287347725651e-09,-7.044300418830805e-09,-1.0330130711051544e-09,55.00000054339542,-5.681571947211807e-08,-9.791690824917343e-08,-14.10655663338909,-7.270289429915777,-64.5174809222622
I2,1,N4,7.197313879725165e-09,1.4767562790863601e-08,-8.987808987254234e-10,-7.844387726534478e-09,-6.945606827809055e-09,55.00000054344849,-3.820083793040776e-07,-6.557376468944926e-08,-2.2770420362343793,-1.4692020965220025,-58.62669058902591
I2,1,N5,4.38968374999799,14.315749868935566,10.604771485516792,-7.950248044413567e-09,-10.604771493467041,55.00000054362492,-583.2624379057053,79.53578608174908,9.076176982894173e-09,9.310515420112686e-09,-58.76068433956262
I2,2,N1,20.608203383696907,51.616921079724044,33.12897188839025,-7.950248040794276e-09,-33.128971896340495,55.00000054050562,-1822.0934722051227,248.46728910329998,7.939877957784769e-09,9.310515425310275e-09,-58.760684339240846
I2,2,N2,-1.8142807338660176e-09,-9.870257769568938e-10,-6.6021140908335e-09,-6.574969618994778e-09,2.7144471838721823e-11,55.000000540770344,1.4929459658086257e-09,-9.882812782371208e-08,-17.33501231222148,-10.397932516054876,-64.05697945202431
I2,2,N3,-3.5058953769934674e-10,9.510019720241242e-10,-6.370879939607498e-09,-6.767272345256135e-09,-3.9639240564863696e-10,55.00000054090229,-2.1801582525084593e-08,-9.853614213647725e-08,-13.356420467408082,-7.391235358674512,-63.52471320854536
I2,2,N4,1.4767562790863601e-08,2.1294292152407673e-08,-1.9116563663564706e-09,-7.753365208735536e-09,-5.841708842379065e-09,55.00000054095659,-3.2129398949095947e-07,-7.248766181319005e-08,-2.0878714734245976,-1.4865170317063308,-58.09689735203761
I2,2,N5,14.315749868935566,30.82126432479387,17.634096631799622,-7.950248045564359e-09,-17.63409663974987,55.0000005411621,-969.8753247291477,132.2557246788703,8.908747497091083e-09,9.310515420112686e-09,-58.76068433801349
I2,3,N1,51.616921079724044,86.41586041896826,37.17835398584442,-7.950248038859327e-09,-37.178353993794666,55.00000053991594,-2044.8094897318924,278.83765483420626,7.797529920636486e-09,9.310515425310275e-09,-58.760684338797816
