iteration,investor,termination,solve_seconds,profit_belief_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,7.936156700365245,9597.745762232003,1.280568540096283e-09,108.32815123687841,274.1737850677673,3.999999999982579,6.875874128044728,80.00000089779277
1,I2,optimal,9.063902200199664,11362.80580480536,1.3387762010097504e-09,108.32815028632265,359.3643767595962,4.000000000017421,11.13540380629881,80.00000089844981
2,I1,optimal,9.58738090004772,6468.478181861965,1.5133991837501526e-09,102.70000085065759,331.8061538810435,0.6999999998710965,0.6999999994631837,3.000000153364374
2,I2,optimal,13.571745399851352,6070.569835809562,1.0331859812140465e-07,102.70000033650481,365.36598150414,0.6999999820929403,0.6999999703584874,2.999999962608388
3,I1,optimal,7.2841644999571145,6204.9134804035,3.3760443329811096e-09,100.81000292357126,339.3613790624719,0.6299995069682736,0.6299994774435042,0.8999992956689623
3,I2,optimal,7.291060199961066,6017.037518353654,1.6880221664905548e-09,100.8100003134186,366.2672747042883,0.6300001085250985,0.6300001067266421,0.900000155035855
4,I1,optimal,8.011001400183886,6503.900420781591,1.7462298274040222e-10,100.24300163263896,389.3045543337137,0.1890005887973521,0.21479401228893386,0.2700008411390744
4,I2,optimal,23.872917199973017,6012.547767277372,1.7140991985797882e-06,100.24300077948261,366.0770493479161,0.18899987876110558,0.18899971198530108,0.2699998268015794
5,I1,optimal,7.024493999779224,6498.049741062145,1.8044374883174896e-09,100.07290111364699,404.1418416166326,0.05670021952123644,0.05670024560922453,0.08100031360176634
5,I2,optimal,6.445722400210798,5820.5146099425165,3.4924596548080444e-09,100.07290055829914,390.8486214246968,0.056700091013530095,0.09628736441344274,0.08100013001932871
6,I1,optimal,9.048241500277072,6443.510157950823,1.2223608791828156e-09,100.02187102210037,401.0230239590098,0.01701004445301892,0.017010065883634837,0.024300063504312745
6,I2,optimal,6.82611110014841,5767.022173101405,1.1641532182693481e-09,100.0218706520693,387.7297006706255,0.01700984009799505,0.01700973799007004,0.02429977156856436
7,I1,optimal,7.137393299955875,6458.658244367605,2.6775524020195007e-09,100.00656244237166,402.2211486504388,0.005103038692137723,0.005103056206546769,0.007290055274482461
7,I2,optimal,7.753790799994022,5777.46552036936,8.149072527885437e-10,100.00656127428591,388.9278240320129,0.005103338435810793,0.005103434908662175,0.007290483479729705
