hour,lambda_system,system_net_injection_residual_mw
1,67.17039865312364,-1.0251834810634418e-14
2,67.16555215456948,7.838420401609669e-14
3,67.16205865473431,6.639994792615861e-14
4,67.1601806546126,-3.224629289614046e-14
5,67.16341165497667,-1.0306925117764453e-13
6,67.17310465403726,-1.5950398577099477e-14
7,67.18764272870543,1.1637769763644271e-15
8,67.1911436829015,-5.5336970254572984e-14
9,67.17643765200168,3.0566945848488544e-14
10,60.05140484464474,-2.0891521653951425e-14
11,60.0303056833785,4.861295071498598e-14
12,60.02559999390242,4.339742878576628e-14
13,60.02351176461658,-2.320801481512215e-14
14,60.02183349014167,-5.520483667167795e-14
15,60.02008435025637,5.823266557119375e-14
16,60.02262251237055,-3.2922627849645415e-14
17,60.04508009034584,9.427123508771562e-14
18,67.13804156891416,-3.655743686497503e-14
19,67.17075271712045,-2.3212626363580744e-14
20,67.18178748214915,1.5283781379481103e-14
21,67.18379158394733,-2.1105387731013472e-14
22,67.18320850998637,7.90925659222664e-14
23,67.18066962128968,-2.4019564429731875e-14
24,67.1755481402868,5.724971272849675e-14
