hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.00000249739884,250.0,60.0,-7.1109480581326805
1,G_IEEE3,101.98998565537445,270.0,67.15,9.889182500037429e-09
1,RES_Wind_N1,94.50000094472765,94.5,0.0,-67.12649864840968
1,RES_PV_N6,9.740440122594966e-09,0.0,0.0,-58595.44593668639
1,RES_PV_N8,9.740441632350531e-09,0.0,0.0,-58595.44603578809
2,G_IEEE1,250.00000249739693,250.0,60.0,-7.105707808783547
2,G_IEEE3,77.75749024381194,270.0,67.15,9.903208780186627e-09
2,RES_Wind_N1,98.43750098410264,98.4375,0.0,-67.12086464904878
2,RES_PV_N6,9.740420992476976e-09,0.0,0.0,-58595.444683274094
2,RES_PV_N8,9.740422433821335e-09,0.0,0.0,-58595.44477787119
3,G_IEEE1,250.00000249739549,250.0,60.0,-7.101820558901993
3,G_IEEE3,60.289991735561784,270.0,67.15,9.911295825724933e-09
3,RES_Wind_N1,102.37500102347761,102.375,0.0,-67.11658364915607
3,RES_PV_N6,9.740407225253355e-09,0.0,0.0,-58595.443781973394
3,RES_PV_N8,9.740408620989335e-09,0.0,0.0,-58595.443873567456
4,G_IEEE1,250.0000024973947,250.0,60.0,-7.099680058909582
4,G_IEEE3,50.89999235440116,270.0,67.15,9.915106375414315e-09
4,RES_Wind_N1,105.0000010497276,105.0,0.0,-67.11418064915651
4,RES_PV_N6,9.740399834942243e-09,0.0,0.0,-58595.443298476814
4,RES_PV_N8,9.740401207875713e-09,0.0,0.0,-58595.44338856924
5,G_IEEE1,250.000002497396,250.0,60.0,-7.103173558976249
5,G_IEEE3,67.05499194523077,270.0,67.15,9.90832137059939e-09
5,RES_Wind_N1,102.37500102347762,102.375,0.0,-67.11793664923032
5,RES_PV_N6,9.740412590748978e-09,0.0,0.0,-58595.444134085075
5,RES_PV_N8,9.740414009307206e-09,0.0,0.0,-58595.44422718065
6,G_IEEE1,250.00000249739983,250.0,60.0,-7.113654058674265
6,G_IEEE3,115.51998856372208,270.0,67.15,9.879406590027976e-09
6,RES_Wind_N1,94.50000094472766,94.5,0.0,-67.12920464895126
6,RES_PV_N6,9.740450850648007e-09,0.0,0.0,-58595.446640909744
6,RES_PV_N8,9.74045240602607e-09,0.0,0.0,-58595.44674301462
7,G_IEEE1,250.0000024974052,250.0,60.0,-7.12941266634028
7,G_IEEE3,187.75049634806206,270.0,67.15,9.755974797825342e-09
7,RES_Wind_N1,81.37500081347774,81.375,0.0,-67.14627575666199
7,RES_PV_N6,3.937500039112045,3.9375,0.0,-67.19108326175632
7,RES_PV_N8,9.765000097387038,9.765,0.0,-67.18956057375429
8,G_IEEE1,250.00000249740685,250.0,60.0,-7.134278256795241
8,G_IEEE3,203.64656621462106,270.0,67.15,9.679519674946005e-09
8,RES_Wind_N1,68.25000068222775,68.25,0.0,-67.15245384717379
8,RES_PV_N6,19.687500196612046,19.6875,0.0,-67.19202634834473
8,RES_PV_N8,48.825000487987026,48.825,0.0,-67.18601307396474
9,G_IEEE1,250.00000249740188,250.0,60.0,-7.120924558317081
9,G_IEEE3,132.1849838891052,270.0,67.15,9.855705297022518e-09
9,RES_Wind_N1,55.1250005509777,55.125,0.0,-67.14041264877326
9,RES_PV_N6,55.12500055098696,55.125,0.0,-67.17043464913678
9,RES_PV_N8,136.7100013668369,136.71,0.0,-67.1546756485211
10,G_IEEE1,234.05249635304193,250.0,60.0,-0.00011232785222736178
10,G_IEEE3,-7.395596262876694e-09,270.0,67.15,9.93149712661761e-09
10,RES_Wind_N1,45.9375004590704,45.9375,0.0,-60.01892441777027
10,RES_PV_N6,94.5000009447057,94.5,0.0,-60.037477167193884
10,RES_PV_N8,234.36000234330558,234.36,0.0,-60.0100451667587
11,G_IEEE1,131.8379662679602,250.0,60.0,9.836347477210042e-09
11,G_IEEE3,-8.999670281503767e-09,270.0,67.15,9.931497126618013e-09
11,RES_Wind_N1,39.37500039344535,39.375,0.0,-60.00924687708582
11,RES_PV_N6,133.8750013384346,133.875,0.0,-56.09778302451127
11,RES_PV_N8,332.0100033197007,332.01,0.0,-44.55239111640153
12,G_IEEE1,107.14156906437884,250.0,60.0,9.871578037755938e-09
12,G_IEEE3,-9.17840499700894e-09,270.0,67.15,9.931497126618061e-09
12,RES_Wind_N1,36.75000036719534,36.75,0.0,-60.0070397373269
12,RES_PV_N6,167.34375167311387,167.34375,0.0,-54.605921755904966
12,RES_PV_N8,415.01250414966785,415.0125,0.0,-38.700504217083505
13,G_IEEE1,95.38792406006387,250.0,60.0,9.881458594586765e-09
13,G_IEEE3,-9.178431062881565e-09,270.0,67.15,9.931497126618061e-09
13,RES_Wind_N1,39.37500039344533,39.375,0.0,-60.00560187275811
13,RES_PV_N6,187.03125186998884,187.03125,0.0,-54.59864480586798
13,RES_PV_N8,463.8375046379177,463.8375,0.0,-38.6840227208995
14,G_IEEE1,84.37155188834795,250.0,60.0,9.88929149072533e-09
14,G_IEEE3,-9.17812359423858e-09,270.0,67.15,9.931497126618061e-09
14,RES_Wind_N1,44.625000445945325,44.625,0.0,-60.0039752354464
14,RES_PV_N6,192.93750192905134,192.9375,0.0,-54.59805303310407
14,RES_PV_N8,478.48500478439274,478.485,0.0,-38.68851072380132
15,G_IEEE1,71.68835328862244,250.0,60.0,9.896920986148823e-09
15,G_IEEE3,-9.177389161647826e-09,270.0,67.15,9.931497126618061e-09
15,RES_Wind_N1,52.50000052469532,52.5,0.0,-60.00191941546967
15,RES_PV_N6,177.18750177155138,177.1875,0.0,-54.60678770153775
15,RES_PV_N8,439.4250043937933,439.425,0.0,-38.72349429727173
16,G_IEEE1,82.92211429040312,250.0,60.0,9.885413353005287e-09
16,G_IEEE3,-8.9967472839893e-09,270.0,67.15,9.931497126618013e-09
16,RES_Wind_N1,60.375000603445315,60.375,0.0,-60.002255291580845
16,RES_PV_N6,141.75000141718468,141.75,0.0,-56.108148203911675
16,RES_PV_N8,351.5400035150014,351.54,0.0,-44.62062345814739
17,G_IEEE1,191.27249599292048,250.0,60.0,9.558328211737603e-09
17,G_IEEE3,-7.397970237070858e-09,270.0,67.15,9.93149712661761e-09
17,RES_Wind_N1,68.25000068219536,68.25,0.0,-60.01230283015488
17,RES_PV_N6,98.43750098408067,98.4375,0.0,-60.03019857964881
17,RES_PV_N8,244.1250024409555,244.125,0.0,-60.00159507915477
