unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I4,1,N1,4.901981492588079e-07,4.89423892317813e-07,-8.978486658083725e-09,-7.141311750429339e-09,1.8371749076543858e-09,67.13594865830844,1.233404802766174e-07,-1.20898488063848e-07,-0.029621250277389898,-0.029933859047125262,-65.09184448203312
I4,1,N2,4.887113618155286e-07,4.894374477536014e-07,-8.70066429305549e-09,-8.302233622524898e-09,3.984306705305918e-10,67.17039865913839,2.6762746977567674e-08,-1.275217343668529e-07,-0.029794143932658744,-0.03007857300195445,-68.41150165587902
I4,1,N3,5.580632530689008e-07,5.182419107660388e-07,-9.208281656055586e-09,2.920543766973521e-08,3.84137193257908e-08,67.16019965999698,2.5798730596031945e-06,1.4997867010259717e-07,-0.031422718058069614,-0.033784886293575046,-56.124820646837144
I4,1,N4,4.90216465271642e-07,4.894402377485261e-07,-8.978906062883572e-09,-7.13983472443152e-09,1.8390713384520528e-09,67.17039865895451,1.2353115496608144e-07,-1.208905559048632e-07,-0.029623247217737146,-0.02993575099343065,-65.11850680820932
I4,1,N5,4.898341275151536e-07,4.894268923058576e-07,-8.93880536642361e-09,-7.450079470401315e-09,1.4887258960222948e-09,67.20752365914214,1.0005358087889596e-07,-1.2291663627618694e-07,-0.029632749527924628,-0.02993597688255373,-66.40367660958107
I4,1,N6,3.5703812839257877e-07,3.557150722067921e-07,-9.023458372511491e-09,-6.667035196427489e-09,2.356423176084002e-09,67.17396265897818,1.5829028243901753e-07,-1.1767870176704235e-07,-0.04265366757368016,-0.042988070808378395,-62.95169483375794
I4,1,N7,4.887117924359895e-07,4.894378784264677e-07,-8.700664248444743e-09,-8.302233632493068e-09,3.984306159516748e-10,67.17039865913839,2.6762743311480058e-08,-1.2752173410703358e-07,-0.029793952248961905,-0.03007838518590083,-68.41150161664414
I4,1,N8,8.190974807134594,8.190972266332809,-9.219544031738501e-09,2.3701132675193933e-06,2.3793328115511317e-06,67.17435865855734,0.00015983015565120933,1.7706702926157412e-05,9.47786424014363e-09,9.47786421423917e-09,-55.865045738963204
I4,1,N9,5.552429910456778e-07,5.158181040686987e-07,-9.208275612493206e-09,2.88343607794497e-08,3.8042636391942905e-08,67.17039865877135,2.555339052477488e-06,1.4719563875217373e-07,-0.03187590267907886,-0.034307229954539914,-56.141447944834766
I4,2,N1,4.89423892317813e-07,4.886525490378385e-07,-8.978173088642294e-09,-7.143764220211063e-09,1.8344088684312307e-09,67.1307084089593,1.2314516684946592e-07,-1.209145298164002e-07,-0.029609748045404193,-0.02994698143422743,-65.09181048436335
I4,2,N2,4.894374477536014e-07,4.901648295636384e-07,-8.700194563004487e-09,-8.30303503006452e-09,3.9715953293996624e-10,67.16555215980522,2.667543932544318e-08,-1.2752422194801757e-07,-0.029782524439588898,-0.030091844314559454,-68.41146934062716
