unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I1,1,N1,1.9280584515036977e-07,2.918987246455725e-07,9.670401939897891e-08,0.0,-9.670401939897891e-08,55.000000543916755,-5.318721119542777e-06,7.252801454923419e-07,-0.09071269222015416,-0.06741927629431774,-58.58597840056756
I1,1,N2,2.183652837927211e-07,3.326821439283028e-07,1.1296563514071662e-07,0.0,-1.1296563514071662e-07,55.00000054190551,-6.213109993956114e-06,8.472422635553746e-07,-0.07577967931607357,-0.055982446284296904,-58.62640658724913
I1,1,N3,1.4848744461316193e-07,2.2517067367377726e-07,7.27690181426104e-08,0.0,-7.27690181426104e-08,55.00000054382009,-4.002296037416826e-06,5.457676360695781e-07,-0.11728873632029123,-0.08706772920822214,-58.53874250732501
I1,1,N4,7.205521091797785e-08,1.1019950433964148e-07,3.162715571290508e-08,0.0,-3.162715571290508e-08,55.000000546350016,-1.7394935814892762e-06,2.3720366784678807e-07,-0.23967902912684885,-0.1770783192643422,-58.34867332166021
I1,1,N5,3.7801046594577296e-08,5.9217783283713595e-08,1.380752672305015e-08,0.0,-1.380752672305015e-08,55.000000548994954,-7.594139773480208e-07,1.0355645042287613e-07,-0.4318964508047791,-0.31673959217092296,-58.12342660371779
I1,1,N6,1.5130126586609665e-05,0.7469261454659025,0.7979818448079309,0.0,-0.7979818448079309,55.000000546471306,-43.88900190051038,5.984863836059482,-1.2776722924918034e-08,-6.8832433981020185e-09,-58.760684299144
I1,1,N7,1.4542588837461716e-05,2.2269296908624483,2.3791828415326095,0.0,-2.3791828415326095,55.00000054645348,-130.85505758440627,17.84387131149457,0.0,0.0,-58.76068434049091
I1,1,N8,9.481263009580045,46.536018335527395,39.58841380058563,0.0,-39.58841380058563,55.000000548619774,-2177.362780751196,296.9131035043922,0.0,0.0,-58.760684347384576
I1,1,N9,2.3496838608338596e-08,3.826829616757901e-08,6.746650675035509e-09,0.0,-6.746650675035509e-09,55.000000550782985,-3.710657908428934e-07,5.059988006276632e-08,-0.6788266163809149,-0.4853527756791188,-57.996664095757325
I1,2,N1,2.918987246455725e-07,3.7839617585088085e-07,8.32547904057974e-08,0.0,-8.32547904057974e-08,55.00000053533702,-4.579013516888228e-06,6.244109280434805e-07,-0.087029359037125,-0.06741877402002802,-58.54555215708101
I1,2,N2,3.326821439283028e-07,4.321945310458112e-07,9.715552824457839e-08,0.0,-9.715552824457839e-08,55.00000052959494,-5.343554104904888e-06,7.286664618343379e-07,-0.07264405975595227,-0.055995560414849974,-58.594848555535464
I1,2,N3,2.2517067367377726e-07,2.9213843510452827e-07,6.239880376912815e-08,0.0,-6.239880376912815e-08,55.000000534712655,-3.4319342406674783e-06,4.6799102826846113e-07,-0.11244720800534518,-0.08705813872165277,-58.48687468239784
I1,2,N4,1.1019950433964148e-07,1.4356239458356854e-07,2.6537790787433266e-08,0.0,-2.6537790787433266e-08,55.00000054168186,-1.4595785076838694e-06,1.990334309057495e-07,-0.22920675624367795,-0.17713118211756865,-58.24694265425584
I1,2,N5,5.9217783283713595e-08,7.793049916080049e-08,1.0952594290049919e-08,0.0,-1.0952594290049919e-08,55.00000054885602,-6.023926919641429e-07,8.214445717537439e-08,-0.41125938368894627,-0.317020518514564,-57.95137087092829
I1,2,N6,0.7469261454659025,1.4374482012468919,0.7377372298951889,0.0,-0.7377372298951889,55.00000054197191,-40.57554804406824,5.533029224213917,-1.2109842468056287e-08,-6.883243398101744e-09,-58.76068428703523
I1,2,N7,2.2269296908624483,25.19326035920811,24.536678055284803,0.0,-24.536678055284803,55.000000541816206,-1349.517306335034,184.025085414636,0.0,0.0,-58.7606843380096
I1,2,N8,46.536018335527395,85.5780669039203,41.71159034165994,0.0,-41.71159034165994,55.00000054772393,-2294.137491637733,312.83692756244955,0.0,0.0,-58.760684346804744
I1,2,N9,3.826829616757901e-08,5.111442236095736e-08,4.7403692394157625e-09,0.0,-4.7403692394157625e-09,55.000000553838085,-2.6072031079326396e-07,3.555276929561822e-08,-0.6414427278968731,-0.48629089501971073,-57.752661637502385
I1,3,N1,3.7839617585088085e-07,4.6137597520597483e-07,7.94990604816595e-08,0.0,-7.94990604816595e-08,55.00000053186634,-4.3724483687741466e-06,5.962429536124462e-07,-0.08629374074527783,-0.06741864868919174,-58.53582245880573
I1,3,N2,4.321945310458112e-07,5.276141026256049e-07,9.278502279049479e-08,0.0,-9.278502279049479e-08,55.00000052431534,-5.1031763021258245e-06,6.958876709287109e-07,-0.07201546762570174,-0.05599870282432658,-58.587293802908114
I1,3,N3,2.9213843510452827e-07,3.5639747470088984e-07,5.950801378356913e-08,0.0,-5.950801378356913e-08,55.00000053099756,-3.2729407896949123e-06,4.463101033767685e-07,-0.11148026404561513,-0.08705606616568208,-58.474385377223285
I1,3,N4,1.4356239458356854e-07,1.756013148395417e-07,2.512949906426188e-08,0.0,-2.512949906426188e-08,55.00000054014182,-1.3821224621078968e-06,1.884712429819641e-07,-0.22711115755039396,-0.1771441046252292,-58.222339815449395
I1,3,N5,7.793049916080049e-08,9.590204167727629e-08,1.0171786473634728e-08,0.0,-1.0171786473634728e-08,55.000000549513466,-5.594482616394436e-07,7.628839855226045e-08,-0.4071126431037617,-0.3170914614741534,-57.90946715768564
I1,3,N6,1.4374482012468919,2.073539242991451,0.6795844371212252,0.0,-0.6795844371212252,55.00000054049839,-37.37714440898168,5.096883278409189,-1.1962871082133242e-08,-6.883243398102669e-09,-58.76068428361535
I1,3,N7,25.19326035920811,52.59230779953353,29.272486572357195,0.0,-29.272486572357195,55.00000054027028,-1609.9867772947002,219.54364929267896,0.0,0.0,-58.760684337576826
