hour,lambda_system,system_net_injection_residual_mw
1,55.0000005484357,-3.552713678800501e-14
2,55.00000054330762,-1.4210854715202004e-14
3,55.000000542477984,7.105427357601002e-14
4,55.00000054251656,-7.105427357601002e-15
5,55.0000005431009,-5.684341886080802e-14
6,55.00000054858614,7.105427357601002e-15
7,62.77850890393363,3.197442310920451e-14
8,62.778508915386126,-2.1316282072803006e-14
9,62.77850890002894,-4.2299497238218464e-14
10,55.000000546190314,-7.105427357601002e-15
11,55.00000053075772,2.842170943040401e-14
12,30.000000296047787,1.4210854715202004e-14
13,30.0000002898289,0.0
14,29.48288411940867,4.263256414560601e-14
15,30.000000289189234,7.105427357601002e-14
16,30.000000292301905,0.0
17,55.00000053951829,1.4210854715202004e-14
18,75.00000072922408,2.4868995751603507e-14
19,87.34607157983663,3.197442310920451e-14
20,87.34607174651279,-4.440892098500626e-14
21,87.34632432468591,3.375077994860476e-14
22,87.34607160181905,-3.730349362740526e-14
23,87.34607156175245,-1.4210854715202004e-14
24,55.00000059285111,7.105427357601002e-15
