hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,79.2,660.0000065992087,22.54543371934538,0.0,-22.54543371934538,0.0,558.2545728531857,55.00015319531801
1,N2,221.76,190.34492907583748,0.07708319539938921,0.0,-0.07708319539938921,0.0,-31.49215414624471,55.000153195422335
1,N3,237.6,9.75526804259163e-09,0.5743797706447804,0.0,-0.5743797706447804,0.0,-238.17437978757246,55.0001531954871
1,N4,174.24,0.0,1.0103682726945706e-06,0.0,-1.0103682726945706e-06,0.0,-174.24000104636343,55.00015319553329
1,N5,79.2,9.755268042665562e-09,35.14803784628901,0.0,-35.14803784628901,0.0,-114.34803787300507,55.00015319566933
2,N1,75.6,675.0000067492088,49.189284204209436,0.0,-49.189284204209436,0.0,550.210722518324,55.00015319414127
2,N2,211.68,180.08324022353082,0.0677280717242698,0.0,-0.0677280717242698,0.0,-31.66448787487621,55.00015319437309
2,N3,226.8,9.755268042204591e-09,0.5117168440592226,0.0,-0.5117168440592226,0.0,-227.31171686098693,55.00015319443689
2,N4,166.32,0.0,8.811339816583202e-07,0.0,-8.811339816583202e-07,0.0,-166.32000091712663,55.000153194487865
2,N5,75.6,9.755268042650382e-09,49.314516838618054,0.0,-49.314516838618054,0.0,-124.9145168653341,55.00015319477548
3,N1,73.2,690.0000068992088,73.23359887012728,0.0,-73.23359887012728,0.0,543.566408002407,55.00015319369407
3,N2,204.96,168.65103841516677,0.06309342785761173,0.0,-0.06309342785761173,0.0,-36.37205503937353,55.000153193850174
3,N3,219.6,9.755268042085497e-09,0.49672433600100785,0.0,-0.49672433600100785,0.0,-220.0967243529287,55.00015319393449
3,N4,161.04,0.0,8.368833616095555e-07,0.0,-8.368833616095555e-07,0.0,-161.04000087287503,55.000153194046845
3,N5,73.2,9.75526804264407e-09,52.857627710513725,0.0,-52.857627710513725,0.0,-126.05762773722977,55.00015319440981
4,N1,72.0,700.0000069992086,85.87488802639476,0.0,-85.87488802639476,0.0,542.1251189461393,55.000153193523346
4,N2,201.6,159.62333311394008,0.06143208800963474,0.0,-0.06143208800963474,0.0,-42.03809900075226,55.00015319370234
4,N3,216.0,9.755268042202652e-09,0.520995765225882,0.0,-0.520995765225882,0.0,-216.5209957821536,55.00015319378099
4,N4,158.4,0.0,8.481623395420258e-07,0.0,-8.481623395420258e-07,0.0,-158.40000088415422,55.000153193880095
4,N5,72.0,9.755268042655337e-09,53.166023252363225,0.0,-53.166023252363225,0.0,-125.16602327907928,55.00015319423805
5,N1,74.4,690.0000068992088,71.02362600615245,0.0,-71.02362600615245,0.0,544.5763808663803,55.000153193630744
5,N2,208.32,173.63093307669735,0.0621564170413684,0.0,-0.0621564170413684,0.0,-34.75122336702675,55.00015319377246
5,N3,223.2,9.755268042560575e-09,0.6023320647250902,0.0,-0.6023320647250902,0.0,-223.8023320816528,55.00015319386417
5,N4,163.68,0.0,9.220308401084669e-07,0.0,-9.220308401084669e-07,0.0,-163.68000095802415,55.00015319399444
5,N5,74.4,9.75526804267537e-09,47.94282443296065,0.0,-47.94282443296065,0.0,-122.3428244596767,55.00015319438157
6,N1,81.6,660.0000065992087,18.286553568255716,0.0,-18.286553568255716,0.0,560.1134530042744,55.00015319519665
6,N2,228.48,192.55966941123287,0.06535644466936462,0.0,-0.06535644466936462,0.0,-35.98568706011931,55.00015319532545
6,N3,244.8,9.755268043217575e-09,0.8277616813116399,0.0,-0.8277616813116399,0.0,-245.62776169823934,55.00015319538462
6,N4,179.52,0.0,1.110237328809872e-06,0.0,-1.110237328809872e-06,0.0,-179.5200011462341,55.00015319541049
6,N5,81.6,9.755268042679416e-09,17.380003072965625,0.0,-17.380003072965625,0.0,-98.98000309968167,55.0001531955107
7,N1,96.0,610.000006099381,0.0,64.21920681779218,64.21920681779218,0.0,578.2192129238886,62.778683151711434
