hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_Base,300.00000299875654,300.0,30.0,-25.00000024354354
1,G_Mid,192.54052853387086,200.0,55.0,6.134498309661269e-09
1,G_CCGT,-8.445705431321517e-09,300.0,75.0,9.896380362106274e-09
1,G_Peak,-9.52175551738654e-09,300.0,120.0,9.896380362106645e-09
1,RES_Wind_N1,360.0000035994348,360.0,-0.0,-55.00000053352627
1,RES_PV_N3,9.441991950339936e-09,0.0,-0.0,-58544.51411639832
1,RES_PV_N5,9.44199195013026e-09,0.0,-0.0,-58544.46598922093
2,G_Base,300.00000299875654,300.0,30.0,-25.000000240992424
2,G_Mid,181.59228524229937,200.0,55.0,8.681324982572336e-09
2,G_CCGT,-8.445705431468973e-09,300.0,75.0,9.896380362106274e-09
2,G_Peak,-9.521755517400814e-09,300.0,120.0,9.896380362106645e-09
2,RES_Wind_N1,375.0000037494348,375.0,-0.0,-55.000000530971704
2,RES_PV_N3,9.441991949807228e-09,0.0,-0.0,-58542.19907538958
2,RES_PV_N5,9.441991949746832e-09,0.0,-0.0,-58542.016537763986
3,G_Base,300.00000299875654,300.0,30.0,-25.000000240078418
3,G_Mid,167.7071543907488,200.0,55.0,9.4054505332206e-09
3,G_CCGT,-8.445705431511424e-09,300.0,75.0,9.896380362106274e-09
3,G_Peak,-9.521755517404956e-09,300.0,120.0,9.896380362106645e-09
3,RES_Wind_N1,390.00000389943483,390.0,-0.0,-55.00000053005451
3,RES_PV_N3,9.441991949461923e-09,0.0,-0.0,-58541.862355770805
3,RES_PV_N5,9.441991949418893e-09,0.0,-0.0,-58541.66102678127
4,G_Base,300.00000299875654,300.0,30.0,-25.000000239902654
4,G_Mid,137.84647112276093,200.0,55.0,9.559500979902392e-09
4,G_CCGT,-8.445705431515466e-09,300.0,75.0,9.896380362106274e-09
4,G_Peak,-9.52175551740578e-09,300.0,120.0,9.896380362106645e-09
4,RES_Wind_N1,400.0000039994348,400.0,-0.0,-55.00000052987675
4,RES_PV_N3,9.441991949243139e-09,0.0,-0.0,-58541.70220764934
4,RES_PV_N5,9.441991949117145e-09,0.0,-0.0,-58541.523686101864
