unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,1.447569332672283e-06,-1.9370145118265907,-66.67442499455606
I1,1,N1,1.4274635479857442e-06,-1.9096599818144098,-66.67442499455606
I1,2,N1,1.4073453087213746e-06,-1.883274422351074,-66.67442499455606
I1,3,N1,1.3864937867477394e-06,-1.8565819580286371,-66.67442499455606
I1,4,N1,1.3641582510115176e-06,-1.8283754120155467,-66.67442499455606
I1,5,N1,1.3395263310991896e-06,-1.7974209410713045,-66.67442499455606
I1,6,N1,1.3116870977538875e-06,-1.7623897914518443,-66.67442499455606
I1,7,N1,1.2795848156520763e-06,-1.7218045091622043,-66.67442499455606
I1,8,N1,1.241956603384844e-06,-1.673994758205924,-66.67442499455606
I1,9,N1,1.197241984371716e-06,-1.6170548472690884,-66.67442499455606
I1,10,N1,1.1434414264473775e-06,-1.5487876547794273,-66.67442499455606
I1,11,N1,1.2113908583887896e-06,-1.5886135489612454,-66.67442499455606
I1,12,N1,1.3171880291428027e-06,-1.7231747887658768,-66.67442499455606
I1,13,N1,1.4176925710834917e-06,-1.8673309670434408,-66.67442499455606
I1,14,N1,1.523465125931135e-06,-2.03453295611581,-66.67442499455606
I1,15,N1,1.6280496877723006e-06,-2.24772614478295,-66.67442499455606
I1,16,N1,1.71856920241938e-06,-2.5523923194023332,-66.67442499455606
I1,17,N1,1.6633902101384508e-06,-2.3706724605932386,-66.67442499455606
I1,18,N1,1.6175422452034535e-06,-2.247620455344339,-66.67442499455606
I1,19,N1,1.5789548227361503e-06,-2.159524493767077,-66.67442499455606
I1,20,N1,1.5460169995835352e-06,-2.0936067988886378,-66.67442499455606
I1,21,N1,1.5174272837394852e-06,-2.0422876157158445,-66.67442499455606
I1,22,N1,1.4920983324326273e-06,-2.000726018603031,-66.67442499455606
I1,23,N1,1.469091645390489e-06,-1.9656288805715423,-66.67442499455606
I1,24,N1,1.447569332672283e-06,-1.9346028744506394,-66.67442499455606
I1,0,N2,2.8323856657907715e-06,-0.8716877571182855,-73.19348901397737
I1,1,N2,2.997818096292319e-06,-0.9131924816996937,-73.19348901397737
I1,2,N2,3.163419555170728e-06,-0.9589114568832203,-73.19348901397737
I1,3,N2,3.3322964418969757e-06,-1.0109430910282635,-73.19348901397737
