unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,1.3496322146313779e-06,-0.02974321749563661,-65.10471250796897
I3,0,N2,1.1579164201368064e-06,-0.034625040937221976,-68.36159532961545
I3,0,N3,48.03718644784808,9.242317445616726e-09,-55.83240048924214
I3,0,N4,8.759551241707411e-07,-0.04667637972464581,-65.11083929632721
I3,0,N5,2.010606408305763e-06,-0.019992222547647702,-66.3270318861662
I3,0,N6,4.490776700109032e-07,-0.0918439952864216,-63.030870958002865
I3,0,N7,1.026590188651294e-06,-0.03920950987795276,-68.36240128691475
I3,0,N8,31.20170237406479,8.700381026374817e-09,-55.83240038926195
I3,0,N9,10.46739647024095,5.460117501861844e-09,-55.83240044200902
I3,1,N1,1.3481335587771517e-06,-0.02961711031635563,-65.10471250796897
I3,1,N2,1.158362735273057e-06,-0.0346804666034788,-68.36159532961545
I3,1,N3,44.192126600752026,9.285719617839829e-09,-55.83240048924214
I3,1,N4,8.744859372272875e-07,-0.046433823486470543,-65.11083929632721
I3,1,N5,2.0098401411920017e-06,-0.01997284262351269,-66.3270318861662
I3,1,N6,4.461255367173136e-07,-0.09109455218071463,-63.030870958002865
I3,1,N7,1.027045964253997e-06,-0.039260785975374676,-68.36240128691475
I3,1,N8,28.660050358016246,8.79130065989441e-09,-55.83240038926195
I3,1,N9,9.634882638307326,5.849724504111518e-09,-55.83240044200902
I3,2,N1,1.346631566958726e-06,-0.029486285708289966,-65.10471250796897
I3,2,N2,1.1588042230028132e-06,-0.03473073752946271,-68.36159532961545
I3,2,N3,40.42894741404235,9.322599002783762e-09,-55.83240048924214
I3,2,N4,8.730085557733196e-07,-0.04618513357904136,-65.11083929632721
I3,2,N5,2.009072323083839e-06,-0.01995112329829484,-66.3270318861662
I3,2,N6,4.43145168577785e-07,-0.09037231749963881,-63.030870958002865
I3,2,N7,1.0274955610242527e-06,-0.03930607175318244,-68.36240128691475
I3,2,N8,26.155898846035488,8.867970267409803e-09,-55.83240038926195
I3,2,N9,8.802086710829306,6.1818138865994455e-09,-55.83240044200902
I3,3,N1,1.34512632574898e-06,-0.02935603258330945,-65.10471250796897
I3,3,N2,1.1592405079859859e-06,-0.03477681156236129,-68.36159532961545
I3,3,N3,36.74557492043111,9.354799134065196e-09,-55.83240048924214
I3,3,N4,8.715235210625467e-07,-0.0459482787485775,-65.11083929632721
I3,3,N5,2.0083031226199028e-06,-0.019927948605369415,-66.3270318861662
I3,3,N6,4.401378568889471e-07,-0.08965487652975722,-63.030870958002865
I3,3,N7,1.027938565660436e-06,-0.039348706882650075,-68.36240128691475
I3,3,N8,23.67540138109132,8.934446760616526e-09,-55.83240038926195
I3,3,N9,7.958316574592822,6.470642218787815e-09,-55.83240044200902
I3,4,N1,1.3436179053445014e-06,-0.029231049549333137,-65.10471250796897
I3,4,N2,1.159671178767442e-06,-0.034817566486843574,-68.36159532961545
I3,4,N3,33.10784624591149,9.383755954964945e-09,-55.83240048924214
I3,4,N4,8.700312761502162e-07,-0.0457263488067256,-65.11083929632721
I3,4,N5,2.007532705073201e-06,-0.019904036395720304,-66.3270318861662
I3,4,N6,4.371036989841525e-07,-0.0889310130080991,-63.030870958002865
I3,4,N7,1.0283745057148074e-06,-0.0393882238761265,-68.36240128691475
I3,4,N8,21.18931227131716,8.99370435232106e-09,-55.83240038926195
I3,4,N9,7.090723224823836,6.726449140944953e-09,-55.83240044200902
I3,5,N1,1.342106359916361e-06,-0.02911603260721954,-65.10471250796897
I3,5,N2,1.1600957852178357e-06,-0.03484987334786102,-68.36159532961545
I3,5,N3,29.05304232944694,9.41205180738271e-09,-55.83240048924214
I3,5,N4,8.685321716724484e-07,-0.04552045771028211,-65.11083929632721
I3,5,N5,2.0067612326941447e-06,-0.019880187201487078,-66.3270318861662
I3,5,N6,4.340416616187162e-07,-0.08819232656766221,-63.030870958002865
I3,5,N7,1.0288028458643673e-06,-0.03942121785473915,-68.36240128691475
I3,5,N8,18.459088108183728,9.050386023990144e-09,-55.83240038926195
I3,5,N9,6.171702636599236,6.958430010649236e-09,-55.83240044200902
I3,6,N1,1.3405917278525635e-06,-0.02901577542575167,-65.10471250796897
I3,6,N2,1.1605138356826997e-06,-0.03486782606916495,-68.36159532961545
I3,6,N3,24.356423045929997,9.441177613458219e-09,-55.83240048924214
I3,6,N4,8.670264703866708e-07,-0.04533332455123194,-65.11083929632721
I3,6,N5,2.0059888650294726e-06,-0.01985692534351844,-66.3270318861662
I3,6,N6,4.3094958838707597e-07,-0.08743177573296479,-63.030870958002865
I3,6,N7,1.0292229835857496e-06,-0.039440857212867914,-68.36240128691475
I3,6,N8,15.34276916642005,9.107977675913037e-09,-55.83240038926195
I3,6,N9,5.171117376239422,7.1732020555171944e-09,-55.83240044200902
I3,7,N1,1.3390740319415001e-06,-0.028935450020856093,-65.10471250796897
I3,7,N2,1.1609247938483054e-06,-0.03486238805611707,-68.36159532961545
I3,7,N3,18.760874545723265,9.473223292990326e-09,-55.83240048924214
I3,7,N4,8.65514350573647e-07,-0.045170203593705875,-65.11083929632721
I3,7,N5,2.0052157592517437e-06,-0.019834480737899875,-66.3270318861662
I3,7,N6,4.278241514531418e-07,-0.08664991257820677,-63.030870958002865
I3,7,N7,1.02963424422223e-06,-0.03943648031656539,-68.36240128691475
I3,7,N8,11.629523880788065,9.17222524377628e-09,-55.83240038926195
I3,7,N9,4.032448566768171,7.380344953878788e-09,-55.83240044200902
I3,8,N1,1.3375532794686144e-06,-0.028880335241720397,-65.10471250796897
I3,8,N2,1.1613280752834508e-06,-0.03482056685251366,-68.36159532961545
I3,8,N3,11.586541856212815,9.509731991884474e-09,-55.83240048924214
I3,8,N4,8.639959083188313e-07,-0.04503783647812477,-65.11083929632721
I3,8,N5,2.0044420704797817e-06,-0.019812147835462056,-66.3270318861662
I3,8,N6,4.2466074473393736e-07,-0.08587710883908528,-63.030870958002865
I3,8,N7,1.0300358753793743e-06,-0.03939213892201363,-68.36240128691475
I3,8,N8,6.919301718008547,9.242718260536263e-09,-55.83240038926195
I3,8,N9,2.5854802616332346,7.600296288339786e-09,-55.83240044200902
I3,9,N1,1.3360294622282478e-06,-0.028856601849615287,-65.10471250796897
I3,9,N2,1.1617230436339282e-06,-0.03472973521222672,-68.36159532961545
I3,9,N3,0.05377056452739052,9.555158016367156e-09,-55.83240048924214
I3,9,N4,8.624711587030009e-07,-0.044947979150818086,-65.11083929632721
