hour,lambda_system,system_net_injection_residual_mw
1,67.15000059559056,6.105040656963307e-16
2,67.15000056992338,6.1479420022390104e-15
3,67.15000053501281,-6.464828131217643e-14
4,67.15000049923535,1.6708276044959386e-14
5,67.15000054418913,3.6005286092636674e-17
6,67.15000060025956,4.525421155901828e-16
7,67.15000064661778,-2.4588200398826435e-14
8,67.150000662867,6.405398168821023e-14
9,67.15000061892307,-4.270156383330115e-14
10,60.00000074092278,7.37820965958304e-15
11,60.00000059262895,7.063029642233868e-14
12,60.00000058493958,4.420931150352714e-14
13,60.00000057811562,2.4456392873985254e-16
14,60.00000057004884,2.3028197095562402e-14
15,60.00000056956883,1.312161174376827e-14
16,60.000000575026576,-2.5859678392811203e-14
17,60.00000062046894,2.28973180644152e-14
18,67.1500005892557,3.531403028649764e-14
19,67.15000064315161,-6.184189755483266e-14
20,67.15000078004265,-6.550452606698692e-14
21,67.15000075867934,-7.712408326734338e-14
22,67.15000066399178,-7.888325268989565e-14
23,67.15000062847429,-3.985504116982047e-14
24,67.15000060878016,1.763537313380912e-14
