hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,344.50000328526727,400.0,0.8612500082131682,0.0,0.0
1,L45,308.8985142065397,400.0,0.7722462855163492,0.0,0.0
1,L46,35.601489027336974,200.0,0.17800744513668487,0.0,0.0
1,L69,-0.03851102403494364,200.0,0.00019255512017471823,0.0,0.0
1,L57,-62.35148584485899,400.0,0.15587871461214747,0.0,0.0
1,L93,-73.2844844829582,400.0,0.1832112112073955,0.0,0.0
1,L72,5.143149087731901e-08,400.0,1.2857872719329754e-10,0.0,0.0
1,L98,83.92547005821243,200.0,0.41962735029106213,0.0,0.0
1,L78,-62.35148594773204,200.0,0.31175742973866016,0.0,0.0
2,L14,348.4375033246423,400.0,0.8710937583116057,0.0,0.0
2,L45,302.3536917606813,400.0,0.7558842294017032,0.0,0.0
2,L46,46.08381151257045,200.0,0.23041905756285225,0.0,0.0
2,L69,12.063811461198526,200.0,0.06031905730599263,0.0,0.0
2,L57,-52.02130829071745,400.0,0.13005327072679362,0.0,0.0
2,L93,-49.852667726687734,400.0,0.12463166931671933,0.0,0.0
2,L72,5.1431490636211175e-08,400.0,1.2857872659052795e-10,0.0,0.0
2,L98,72.3069479459688,200.0,0.361534739729844,0.0,0.0
2,L78,-52.021308393590495,200.0,0.26010654196795246,0.0,0.0
3,L14,352.37500336401735,400.0,0.8809375084100434,0.0,0.0
3,L45,298.52815596858494,400.0,0.7463203899214623,0.0,0.0
3,L46,53.84684734404183,200.0,0.26923423672020913,0.0,0.0
3,L69,20.906847292669912,200.0,0.10453423646334956,0.0,0.0
3,L57,-44.59684408281382,400.0,0.11149211020703455,0.0,0.0
3,L93,-33.26739752165859,400.0,0.08316849380414647,0.0,0.0
3,L72,5.14314908414695e-08,400.0,1.2857872710367376e-10,0.0,0.0
3,L98,64.24359705576896,200.0,0.3212179852788448,0.0,0.0
3,L78,-44.596844185686855,200.0,0.22298422092843428,0.0,0.0
4,L14,355.0000033902673,400.0,0.8875000084756682,0.0,0.0
4,L45,296.886121403509,400.0,0.7422153035087724,0.0,0.0
4,L46,58.1138819353677,200.0,0.29056940967683853,0.0,0.0
4,L69,25.713881883995775,200.0,0.12856940941997888,0.0,0.0
4,L57,-40.61387864788971,400.0,0.10153469661972428,0.0,0.0
4,L93,-24.510543859284837,400.0,0.06127635964821209,0.0,0.0
