unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I4,0,N1,2.161153556524001e-08,-0.004913902772036963,-65.09060604697905
I4,1,N1,2.1817788838944665e-08,-0.00492104469371939,-65.09060604697905
I4,2,N1,2.1920912225920307e-08,-0.0049223365344328055,-65.09060604697905
I4,3,N1,2.1972971759532675e-08,-0.0049222916663921685,-65.09060604697905
I4,4,N1,2.1999258485686244e-08,-0.004921930050544515,-65.09060604697905
I4,5,N1,2.2012249295905688e-08,-0.0049214869071931315,-65.09060604697905
I4,6,N1,2.201813693250104e-08,-0.004921016876842153,-65.09060604697905
I4,7,N1,2.202001545924508e-08,-0.004920529298919273,-65.09060604697905
I4,8,N1,2.2019364620191962e-08,-0.0049200119822236646,-65.09060604697905
I4,9,N1,2.201646440363596e-08,-0.004919406097454291,-65.09060604697905
I4,10,N1,2.2027461987696533e-08,-0.004920485626065777,-65.09060604697905
I4,11,N1,2.203707628599506e-08,-0.004921486131667646,-65.09060604697905
I4,12,N1,2.2046179903888772e-08,-0.004922457722335641,-65.09060604697905
I4,13,N1,2.2055162685789022e-08,-0.0049234223699599605,-65.09060604697905
I4,14,N1,2.206432087122103e-08,-0.004924386670681469,-65.09060604697905
I4,15,N1,2.2073993561797773e-08,-0.004925359621961937,-65.09060604697905
I4,16,N1,2.2084715197265977e-08,-0.004926357676567897,-65.09060604697905
I4,17,N1,2.2097660974978883e-08,-0.004927433725409512,-65.09060604697905
I4,18,N1,2.2098134487614173e-08,-0.004926846473383607,-65.09060604697905
I4,19,N1,2.2103435231776166e-08,-0.0049263416493179595,-65.09060604697905
I4,20,N1,2.2116131966142277e-08,-0.004925882835393939,-65.09060604697905
I4,21,N1,2.2142339997298325e-08,-0.004925512867587569,-65.09060604697905
I4,22,N1,2.2194597586155516e-08,-0.004925463792110951,-65.09060604697905
I4,23,N1,2.2298327698954033e-08,-0.004926755497028984,-65.09060604697905
I4,24,N1,2.2505639408861924e-08,-0.004933913482711314,-65.09060604697905
I4,0,N2,9.409741770508344e-09,-0.007414805072244309,-68.64078439716356
I4,1,N2,9.6331806061415e-09,-0.007423860741187322,-68.64078439716356
I4,2,N2,9.72299943634034e-09,-0.007426025836890523,-68.64078439716356
I4,3,N2,9.759967973853134e-09,-0.00742663898045306,-68.64078439716356
I4,4,N2,9.776004864821823e-09,-0.007426829524570579,-68.64078439716356
I4,5,N2,9.783603640186955e-09,-0.007426832817400562,-68.64078439716356
I4,6,N2,9.787638252889338e-09,-0.007426671965186167,-68.64078439716356
I4,7,N2,9.790010993336103e-09,-0.007426288795103429,-68.64078439716356
I4,8,N2,9.791412516699298e-09,-0.007425526195014199,-68.64078439716356
I4,9,N2,9.791859284820333e-09,-0.007423961275387234,-68.64078439716356
I4,10,N2,9.824488861304978e-09,-0.007429721636101913,-68.64078439716356
I4,11,N2,9.810556954523377e-09,-0.007429247202320413,-68.64078439716356
I4,12,N2,9.798882313970322e-09,-0.007427624495065219,-68.64078439716356
I4,13,N2,9.788064502934953e-09,-0.0074250971653695465,-68.64078439716356
I4,14,N2,9.777287859721594e-09,-0.007427039522983349,-68.64078439716356
I4,15,N2,9.765747301620487e-09,-0.007424874516241443,-68.64078439716356
I4,16,N2,9.752094995346038e-09,-0.007424228236990637,-68.64078439716356
I4,17,N2,9.785267077466507e-09,-0.007429923692673428,-68.64078439716356
I4,18,N2,9.78679361649863e-09,-0.0074283582107729255,-68.64078439716356
I4,19,N2,9.790467892066956e-09,-0.007427606092717712,-68.64078439716356
I4,20,N2,9.797937783790404e-09,-0.007427266096710311,-68.64078439716356
I4,21,N2,9.814064569661768e-09,-0.0074272426127732815,-68.64078439716356
I4,22,N2,9.851517889661028e-09,-0.007427722983220928,-68.64078439716356
I4,23,N2,9.942695729965262e-09,-0.00742981574229451,-68.64078439716356
I4,24,N2,1.0168935841731685e-08,-0.007438858615354313,-68.64078439716356
I4,0,N3,3.245126355921635e-09,-0.012781632800899214,-55.94988356271202
I4,1,N3,2.5921776087721636e-09,-0.01197029916813429,-55.94988356271202
I4,2,N3,1.80958999483901e-09,-0.011262706833489037,-55.94988356271202
I4,3,N3,9.738818247932134e-10,-0.010635031749873356,-55.94988356271202
I4,4,N3,9.364287728442903e-11,-0.01006767955983193,-55.94988356271202
I4,5,N3,0.0,-0.00954489687883393,-55.94988356271202
I4,6,N3,0.0,-0.0090530703687381,-55.94988356271202
I4,7,N3,0.0,-0.008578614082679863,-55.94988356271202
I4,8,N3,0.0,-0.008104160752024477,-55.94988356271202
I4,9,N3,0.0,-0.007596999545192736,-55.94988356271202
I4,10,N3,0.0,-0.007594528920594941,-55.94988356271202
I4,11,N3,0.0,-0.008769651639897617,-55.94988356271202
I4,12,N3,4.415397999544983e-10,-0.010156051614717665,-55.94988356271202
I4,13,N3,2.737311652215377e-09,-0.011998525733193793,-55.94988356271202
I4,14,N3,4.989768580243341e-09,-0.014806790576946918,-55.94988356271202
I4,15,N3,7.803671270528759e-09,-0.02011559004030426,-55.94988356271202
I4,16,N3,1.3451555949912903e-08,-0.036129054449334085,-55.94988356271202
I4,17,N3,1.1477764668427259e-08,-0.0361468117899874,-55.94988356271202
I4,18,N3,9.546831504204715e-09,-0.026153734180350805,-55.94988356271202
I4,19,N3,8.215758437962357e-09,-0.021398705775108405,-55.94988356271202
I4,20,N3,7.133168928522996e-09,-0.01848901393401777,-55.94988356271202
I4,21,N3,6.1756960495357855e-09,-0.016470724577805768,-55.94988356271202
I4,22,N3,5.296526207844798e-09,-0.014959837381890956,-55.94988356271202
I4,23,N3,4.489900570357274e-09,-0.013768997079703317,-55.94988356271202
I4,24,N3,3.824630219180981e-09,-0.012797592691958152,-55.94988356271202
I4,0,N4,3.900159454033351e-08,-0.0032016346706608,-65.0903179408068
I4,1,N4,3.916470541610735e-08,-0.003207670971519812,-65.0903179408068
I4,2,N4,3.927707792495621e-08,-0.0032090430106555172,-65.0903179408068
I4,3,N4,3.935442032094074e-08,-0.003209281453534274,-65.0903179408068
I4,4,N4,3.940632098448193e-08,-0.0032092469134866125,-65.0903179408068
I4,5,N4,3.94400457571686e-08,-0.0032091443629028472,-65.0903179408068
