unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I1,0,N1,1.4733734809447346e-07,-0.4324392208467978,-65.07924891471664
I1,0,N2,1.3158385337487756e-07,-0.4320495199352959,-79.46038567112828
I1,0,N3,7.139979051144255e-06,-0.013135956442270629,-55.96171480541634
I1,0,N4,1.4734432663152399e-07,-0.43243762024375526,-65.10564356202579
I1,0,N5,1.4518854318003312e-07,-0.4324577286328333,-68.62124740268845
I1,0,N6,1.7319867729881513e-07,-0.4212512530283111,-56.14397225359318
I1,0,N7,1.315838632260414e-07,-0.43204946291032764,-79.4603864393537
I1,0,N8,7.866580634539704e-08,-0.6597765258070581,-56.05839002281184
I1,0,N9,6.552809954068689,0.0,-55.863934220270224
I1,1,N1,1.4581187475728692e-07,-0.4328131631979083,-65.07924891471664
I1,1,N2,1.355530440033862e-07,-0.446107451638769,-79.46038567112828
I1,1,N3,6.576357271140844e-06,-0.01198797014779988,-55.96171480541634
I1,1,N4,1.458146527694437e-07,-0.43281064093449706,-65.10564356202579
I1,1,N5,1.452926362517737e-07,-0.43335698179625237,-68.62124740268845
I1,1,N6,1.642862093949936e-07,-0.4071442780465212,-56.14397225359318
I1,1,N7,1.3555305394193894e-07,-0.4461073987762067,-79.4603864393537
I1,1,N8,7.297104431076974e-08,-0.6397808710108919,-56.05839002281184
I1,1,N9,6.552806337569276,0.0,-55.863934220270224
I1,2,N1,1.4429049666025004e-07,-0.43298983503181626,-65.07924891471664
I1,2,N2,1.3952610560652137e-07,-0.4512053499115733,-79.46038567112828
I1,2,N3,6.029777598284079e-06,-0.011041248239264124,-55.96171480541634
I1,2,N4,1.4428875327920287e-07,-0.432986928754837,-65.10564356202579
I1,2,N5,1.454005245013074e-07,-0.4337263290319658,-68.62124740268845
I1,2,N6,1.5540020592330162e-07,-0.40237010234176784,-56.14397225359318
I1,2,N7,1.395261156325091e-07,-0.45120529434385376,-79.4603864393537
I1,2,N8,6.727838801513056e-08,-0.6344061488549836,-56.05839002281184
I1,2,N9,6.552803777138009,0.0,-55.863934220270224
I1,3,N1,1.427669585162177e-07,-0.433061466346648,-65.07924891471664
I1,3,N2,1.4351672418259368e-07,-0.4532743882072249,-79.46038567112828
I1,3,N3,5.487658713231507e-06,-0.010232306953771617,-55.96171480541634
I1,3,N4,1.4276035393219316e-07,-0.4330582092518388,-65.10564356202579
I1,3,N5,1.4551126582823013e-07,-0.4338802160048161,-68.62124740268845
I1,3,N6,1.464410194965173e-07,-0.40082414575078384,-56.14397225359318
I1,3,N7,1.4351673429487738e-07,-0.4532743262913821,-79.4603864393537
I1,3,N8,6.143767202017965e-08,-0.6328763906766695,-56.05839002281184
I1,3,N9,6.552801678985758,0.0,-55.863934220270224
I1,4,N1,1.412346600281749e-07,-0.43308147373100225,-65.07924891471664
I1,4,N2,1.475386260832187e-07,-0.45459583068998843,-79.46038567112828
I1,4,N3,4.936982379128764e-06,-0.009518843210317972,-55.96171480541634
I1,4,N4,1.4122294166480134e-07,-0.43307766116736884,-65.10564356202579
I1,4,N5,1.4562375902301866e-07,-0.43394753923635043,-68.62124740268845
I1,4,N6,1.373025993526905e-07,-0.4004213466473461,-56.14397225359318
