hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.00000249092497,250.0,60.0,-7.110948054332191
1,G_IEEE3,101.98996388679286,270.0,67.15,0.0
1,RES_Wind_N1,94.50000094403865,94.5,0.0,-67.12649864491162
1,RES_PV_N6,9.085367640757635e-09,0.0,0.0,-58595.44654296107
1,RES_PV_N8,9.08537276243755e-09,0.0,0.0,-58595.44664200657
2,G_IEEE1,250.0000024909183,250.0,60.0,-7.105707805534348
2,G_IEEE3,77.75747465511809,270.0,67.15,0.0
2,RES_Wind_N1,98.43750098341357,98.4375,0.0,-67.12086464608254
2,RES_PV_N6,9.085302858160148e-09,0.0,0.0,-58595.445284981506
2,RES_PV_N8,9.085307747732082e-09,0.0,0.0,-58595.44537976321
3,G_IEEE1,250.00000249091332,250.0,60.0,-7.101820555731421
3,G_IEEE3,60.28997897696686,270.0,67.15,0.0
3,RES_Wind_N1,102.37500102278851,102.375,0.0,-67.11658364625046
3,RES_PV_N6,9.085256268778738e-09,0.0,0.0,-58595.44438303945
3,RES_PV_N8,9.085261003609228e-09,0.0,0.0,-58595.44447457549
4,G_IEEE1,250.00000249091056,250.0,60.0,-7.099680055681304
4,G_IEEE3,50.89998087929203,270.0,67.15,0.0
4,RES_Wind_N1,105.00000104903847,105.0,0.0,-67.11418064618196
4,RES_PV_N6,9.08523127427114e-09,0.0,0.0,-58595.44389918436
4,RES_PV_N8,9.085235931736236e-09,0.0,0.0,-58595.44398922699
5,G_IEEE1,250.00000249091505,250.0,60.0,-7.1031735559055384
5,G_IEEE3,67.05497915970265,270.0,67.15,0.0
5,RES_Wind_N1,102.37500102278852,102.375,0.0,-67.11793664642457
5,RES_PV_N6,9.085274470446109e-09,0.0,0.0,-58595.44473312724
5,RES_PV_N8,9.085279282705617e-09,0.0,0.0,-58595.444826161896
6,G_IEEE1,250.00000249092844,250.0,60.0,-7.113654055043218
6,G_IEEE3,115.51996724119788,270.0,67.15,0.0
6,RES_Wind_N1,94.50000094403869,94.5,0.0,-67.12920464562265
