hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,344.5000034437718,400.0,0.8612500086094295,0.0,0.0
1,L45,311.5674650423885,400.0,0.7789186626059713,0.0,0.0
1,L46,32.932538405467305,200.0,0.16466269202733652,0.0,0.0
1,L69,-2.7074615795958445,200.0,0.013537307897979222,0.0,0.0
1,L57,-59.682534954571004,400.0,0.14920633738642752,0.0,0.0
1,L93,-101.9899869809483,400.0,0.25497496745237075,0.0,0.0
1,L72,7.276132838759326e-09,400.0,1.8190332096898317e-11,0.0,0.0
1,L98,99.28252796000069,200.0,0.49641263980000344,0.0,0.0
1,L78,-59.68253496912953,200.0,0.29841267484564765,0.0,0.0
2,L14,348.4375034831171,400.0,0.8710937587077927,0.0,0.0
2,L45,304.9468867231939,400.0,0.7623672168079848,0.0,0.0
2,L46,43.49061676398286,200.0,0.2174530838199143,0.0,0.0
2,L69,9.47061677889211,200.0,0.04735308389446055,0.0,0.0
2,L57,-49.428113273794594,400.0,0.12357028318448648,0.0,0.0
2,L93,-77.7574903516408,400.0,0.194393725879102,0.0,0.0
2,L72,7.2817148361350736e-09,400.0,1.8204287090337683e-11,0.0,0.0
2,L98,87.22810895764134,200.0,0.4361405447882067,0.0,0.0
2,L78,-49.42811328836428,200.0,0.2471405664418214,0.0,0.0
3,L14,352.3750035224711,400.0,0.8809375088061777,0.0,0.0
3,L45,301.0382720183672,400.0,0.752595680045918,0.0,0.0
3,L46,51.33673150814713,200.0,0.25668365754073563,0.0,0.0
3,L69,18.396731523038284,200.0,0.09198365761519142,0.0,0.0
3,L57,-42.086727978641264,400.0,0.10521681994660316,0.0,0.0
3,L93,-60.289991612420074,400.0,0.1507249790310502,0.0,0.0
3,L72,7.286155844252847e-09,400.0,1.8215389610632118e-11,0.0,0.0
3,L98,78.68672464109228,200.0,0.39343362320546144,0.0,0.0
3,L78,-42.0867279932198,200.0,0.210433639966099,0.0,0.0
4,L14,355.00000354871105,400.0,0.8875000088717776,0.0,0.0
4,L45,299.3365168027181,400.0,0.7483412920067952,0.0,0.0
4,L46,55.663486750028824,200.0,0.2783174337501441,0.0,0.0
