unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I4,1,N1,9.415617961770103e-07,9.390429573448411e-07,0.0,0.0,0.0,67.13594865691998,0.0,0.0,-0.06156553243237318,-0.06167053039250345,-65.0904709620334
I4,1,N2,5.786822256513975e-07,5.805211450199602e-07,0.0,0.0,0.0,67.17039865817095,0.0,0.0,-0.08123705114191646,-0.08117045995377759,-68.24129244270885
I4,1,N3,3.1084856333881503,3.108480604135965,0.0,4.6999439940114974e-06,4.6999439940114974e-06,67.16019965910914,0.000315649177024443,3.524957995508623e-05,0.0,0.0,-55.84886910469512
I4,1,N4,9.524589004135559e-07,9.499331442333992e-07,0.0,0.0,0.0,67.17039865783049,0.0,0.0,-0.06119437123702947,-0.06129390792069113,-65.11814157839956
I4,1,N5,9.527822151507218e-07,9.510975675220273e-07,0.0,0.0,0.0,67.20752365817725,0.0,0.0,-0.060624241888558764,-0.06067929412436374,-66.34679056147395
I4,1,N6,8.347154255399996e-07,8.313944300444036e-07,0.0,0.0,0.0,67.17396265787639,0.0,0.0,-0.07293470012850116,-0.07321042695091902,-63.08226913012066
I4,1,N7,5.855067140186997e-07,5.873137031458609e-07,0.0,0.0,0.0,67.17039865817095,0.0,0.0,-0.088007160614885,-0.08794541606234775,-68.24101905348304
I4,1,N8,8.255996877387764,8.25599324435505,0.0,3.3930826075444786e-06,3.3930826075444786e-06,67.17435865736581,0.00022792814803326283,2.544811955658359e-05,0.0,0.0,-55.86491427085198
I4,1,N9,1.218340645513521e-06,1.14480227169383e-06,0.0,6.141723261099469e-08,6.141723261099469e-08,67.17039865759783,4.125419998926931e-06,4.6062924458246017e-07,-0.05587021302129002,-0.06271350894507736,-56.26179670545165
I4,2,N1,9.390429573448411e-07,9.365375432787963e-07,0.0,0.0,0.0,67.1307084076321,0.0,0.0,-0.06156558212459196,-0.06167039487972959,-65.09046526948629
I4,2,N2,5.805211450199602e-07,5.823622536646094e-07,0.0,0.0,0.0,67.16555215891142,0.0,0.0,-0.08123564373675228,-0.08117218698416517,-68.2412537896618
I4,2,N3,3.108480604135965,3.1084769743474405,0.0,3.3900461684090194e-06,3.3900461684090194e-06,67.15777640958763,0.00022766796259619216,2.5425346263067645e-05,0.0,0.0,-55.84917994618853
I4,2,N4,9.499331442333992e-07,9.474198606458013e-07,0.0,0.0,0.0,67.1655521585934,0.0,0.0,-0.06119447439073496,-0.06129371747341388,-65.11813662910565
I4,2,N5,9.510975675220273e-07,9.494279034833364e-07,0.0,0.0,0.0,67.20098965891297,0.0,0.0,-0.06062434972934807,-0.06067915200643904,-66.34678091633081
I4,2,N6,8.313944300444036e-07,8.28087592843096e-07,0.0,0.0,0.0,67.16895415865929,0.0,0.0,-0.07293475326367702,-0.07321005577633445,-63.082279674904846
