unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,3.7444569153639985e-08,-0.24506725396145218,-65.08728857344602
I3,0,N2,3.606865289739335e-08,-0.24509509968607243,-68.23340458403591
I3,0,N3,3.2635143568419323,0.0,-55.848088355663876
I3,0,N4,3.7198278906300924e-08,-0.2459480914410263,-65.1140299328298
I3,0,N5,3.781379350397558e-08,-0.2430116259936859,-66.34139658250591
I3,0,N6,3.97995470626577e-08,-0.23778030821119583,-63.06433238245748
I3,0,N7,3.600340758699141e-08,-0.24532517000092177,-68.23348530957418
I3,0,N8,8.031480188643316,0.0,-55.86391688091427
I3,0,N9,6.3553920891835505,0.0,-55.86340277056101
I3,1,N1,3.6987601513223915e-08,-0.24542084164580924,-65.08728857344602
I3,1,N2,3.666394456515236e-08,-0.2455909577926505,-68.23340458403591
I3,1,N3,3.26351259927993,0.0,-55.848088355663876
I3,1,N4,3.6740106379165297e-08,-0.24630071662473607,-65.1140299328298
I3,1,N5,3.7558838666808576e-08,-0.24342466931611345,-66.34139658250591
I3,1,N6,3.912896432498238e-08,-0.23802256531929325,-63.06433238245748
I3,1,N7,3.65987211204046e-08,-0.24582149868575398,-68.23348530957418
I3,1,N8,8.031478914439056,0.0,-55.86391688091427
I3,1,N9,6.355391177392854,0.0,-55.86340277056101
I3,2,N1,3.6533279921641105e-08,-0.2455404485514293,-65.08728857344602
I3,2,N2,3.725824315884276e-08,-0.24576933920183777,-68.23340458403591
I3,2,N3,3.2635114038305466,0.0,-55.848088355663876
I3,2,N4,3.628435869373602e-08,-0.24641846831362557,-65.1140299328298
I3,2,N5,3.730644794354238e-08,-0.2435716864320309,-66.34139658250591
I3,2,N6,3.8461558700475126e-08,-0.238110637994574,-63.06433238245748
I3,2,N7,3.719304430761892e-08,-0.24599996314086314,-68.23348530957418
I3,2,N8,8.031478177041919,0.0,-55.86391688091427
I3,2,N9,6.35539056405104,0.0,-55.86340277056101
I3,3,N1,3.607499981252254e-08,-0.2455767012286977,-65.08728857344602
I3,3,N2,3.785583966781037e-08,-0.24583503401715898,-68.23340458403591
I3,3,N3,3.2635104430531356,0.0,-55.848088355663876
I3,3,N4,3.582441204391427e-08,-0.24645270581232714,-65.1140299328298
I3,3,N5,3.705270091873874e-08,-0.2436235283725508,-66.34139658250591
I3,3,N6,3.7787319816952225e-08,-0.2381409824662294,-63.06433238245748
I3,3,N7,3.77906665441896e-08,-0.24606567018016573,-68.23348530957418
I3,3,N8,8.031477620140524,0.0,-55.86391688091427
I3,3,N9,6.355390073298172,0.0,-55.86340277056101
I3,4,N1,3.560581336192991e-08,-0.24557889745036035,-65.08728857344602
I3,4,N2,3.846102526538517e-08,-0.2458565216744935,-68.23340458403591
I3,4,N3,3.263509587171911,0.0,-55.848088355663876
I3,4,N4,3.5353369173673056e-08,-0.24645286712061185,-65.1140299328298
I3,4,N5,3.679350974696188e-08,-0.24363721556284396,-66.34139658250591
I3,4,N6,3.7095818442440253e-08,-0.2381442797170689,-63.06433238245748
I3,4,N7,3.8395877315100365e-08,-0.2460871852903518,-68.23348530957418
I3,4,N8,8.03147713841959,0.0,-55.86391688091427
I3,4,N9,6.35538963682883,0.0,-55.86340277056101
I3,5,N1,3.511634896593158e-08,-0.2455568246407484,-65.08728857344602
I3,5,N2,3.907762584682269e-08,-0.24585208442014517,-68.23340458403591
I3,5,N3,3.26350863653445,0.0,-55.848088355663876
I3,5,N4,3.4862130795556465e-08,-0.24642884659747788,-65.1140299328298
I3,5,N5,3.6522590662251026e-08,-0.24362652139968807,-66.34139658250591
I3,5,N6,3.6373689437657175e-08,-0.23812069912437323,-63.06433238245748
I3,5,N7,3.901250051114714e-08,-0.24608280954418937,-68.23348530957418
I3,5,N8,8.031476597796587,0.0,-55.86391688091427
I3,5,N9,6.355389150136761,0.0,-55.86340277056101
I3,6,N1,3.4595892938861516e-08,-0.24549454427102005,-65.08728857344602
I3,6,N2,3.970945193647697e-08,-0.24581278718387214,-68.23340458403591
I3,6,N3,3.263507045096589,0.0,-55.848088355663876
I3,6,N4,3.43402651487648e-08,-0.24636477736463905,-65.1140299328298
I3,6,N5,3.6232502343311424e-08,-0.2435797905335546,-66.34139658250591
I3,6,N6,3.560552282720438e-08,-0.23804287745686317,-63.06433238245748
I3,6,N7,3.9644344148106204e-08,-0.24604360555692414,-68.23348530957418
I3,6,N8,8.031475583362184,0.0,-55.86391688091427
I3,6,N9,6.355388318604226,0.0,-55.86340277056101
I3,7,N1,3.403424329215975e-08,-0.2453358545207996,-65.08728857344602
I3,7,N2,4.0361061948807075e-08,-0.24569471568179263,-68.23340458403591
I3,7,N3,3.2634697048640637,0.0,-55.848088355663876
I3,7,N4,3.377787716781163e-08,-0.2462044743403995,-65.1140299328298
I3,7,N5,3.591599733935538e-08,-0.24344946122341882,-66.34139658250591
I3,7,N6,3.477613775851225e-08,-0.23783205034066587,-63.06433238245748
I3,7,N7,4.0295963417240605e-08,-0.2459256150628829,-68.23348530957418
I3,7,N8,2.9896468192411567,0.0,-55.86391688091427
I3,7,N9,6.331762382829649,0.0,-55.86340277056101
I3,8,N1,3.342842902568634e-08,-0.24493505552025266,-65.08728857344602
I3,8,N2,4.103982193743165e-08,-0.24537944415794286,-68.23340458403591
I3,8,N3,4.242905610982201e-06,0.0,-55.848088355663876
I3,8,N4,3.317201940627274e-08,-0.24580162454761367,-65.1140299328298
I3,8,N5,3.557384247676204e-08,-0.2431134950527556,-66.34139658250591
I3,8,N6,3.387894270667833e-08,-0.2372935823151802,-63.06433238245748
I3,8,N7,4.0974720181538786e-08,-0.24561022147381018,-68.23348530957418
I3,8,N8,1.0126509777510025e-06,0.0,-55.86391688091427
I3,8,N9,2.3821933658512933e-06,0.0,-55.86340277056101
I3,9,N1,3.277748772526407e-08,-0.24388894247774437,-65.08728857344602
I3,9,N2,4.175446689623369e-08,-0.2445270894881308,-68.23340458403591
I3,9,N3,1.101377699408633e-06,0.0,-55.848088355663876
I3,9,N4,3.252176277419046e-08,-0.24475065385775718,-65.1140299328298
I3,9,N5,3.521008410496607e-08,-0.24223071908078492,-66.34139658250591
I3,9,N6,3.290985537797442e-08,-0.2359087669235191,-63.06433238245748
I3,9,N7,4.1689343800453266e-08,-0.2447568803665798,-68.23348530957418
I3,9,N8,1.3333605689147886e-08,0.0,-55.86391688091427
I3,9,N9,7.905586677634155e-07,0.0,-55.86340277056101
I3,10,N1,3.386342457061586e-08,-0.24494520946155024,-65.08728857344602
I3,10,N2,4.3620580115079057e-08,-0.2484952519273524,-68.23340458403591
I3,10,N3,1.1018091744172662e-06,0.0,-55.848088355663876
I3,10,N4,3.360817067502255e-08,-0.24581006715112916,-65.1140299328298
I3,10,N5,3.640455615157852e-08,-0.24413229538293343,-66.34139658250591
I3,10,N6,3.38940247764081e-08,-0.2358798203102037,-63.06433238245748
I3,10,N7,4.355533454773947e-08,-0.2487298299049082,-68.23348530957418
I3,10,N8,1.3656417844651243e-08,0.0,-55.86391688091427
I3,10,N9,7.909930776056303e-07,0.0,-55.86340277056101
I3,11,N1,3.492075879342976e-08,-0.24535708125607136,-65.08728857344602
I3,11,N2,4.3602026315558125e-08,-0.2472238130786915,-68.23340458403591
I3,11,N3,1.105093305803519e-06,0.0,-55.848088355663876
I3,11,N4,3.466753967881019e-08,-0.24622686921402306,-65.1140299328298
I3,11,N5,3.6986522614310856e-08,-0.24392315968568679,-66.34139658250591
I3,11,N6,3.5471152357655343e-08,-0.23689309417512963,-63.06433238245748
I3,11,N7,4.3536670025942656e-08,-0.2474565291325237,-68.23348530957418
I3,11,N8,39.10417976834533,0.0,-55.86391688091427
I3,11,N9,7.942823608413257e-07,0.0,-55.86340277056101
I3,12,N1,3.595902695230993e-08,-0.24553322644191555,-65.08728857344602
I3,12,N2,4.1740051274530235e-08,-0.24734317371213999,-68.23340458403591
I3,12,N3,1.1268858075263868e-06,0.0,-55.848088355663876
I3,12,N4,3.570845186156862e-08,-0.24640777767863103,-65.1140299328298
I3,12,N5,3.7338007223725905e-08,-0.24400019957691002,-66.34139658250591
I3,12,N6,3.7247498946441246e-08,-0.23666340345062348,-63.06433238245748
I3,12,N7,4.167453282410627e-08,-0.24757585273979207,-68.23348530957418
I3,12,N8,80.36373310966971,0.0,-55.86391688091427
I3,12,N9,8.162589042100247e-07,0.0,-55.86340277056101
I3,13,N1,3.698770201776656e-08,-0.2456308785532538,-65.08728857344602
I3,13,N2,3.9382619719678675e-08,-0.2462132712571518,-68.23340458403591
I3,13,N3,16.393747212426682,0.0,-55.848088355663876
I3,13,N4,3.6739880518143856e-08,-0.24650961455166412,-65.1140299328298
I3,13,N5,3.7651799668274106e-08,-0.24375431418880505,-66.34139658250591
I3,13,N6,3.904280554805932e-08,-0.23784888841292864,-63.06433238245748
I3,13,N7,3.9316989434653905e-08,-0.24644442213354362,-68.23348530957418
I3,13,N8,121.62328645126502,0.0,-55.86391688091427
I3,13,N9,16.73376979986193,0.0,-55.86340277056101
I3,14,N1,3.8016424419172826e-08,-0.2457286857241212,-65.08728857344602
I3,14,N2,3.219969992579669e-08,-0.24522974021051014,-68.23340458403591
I3,14,N3,35.480028047876196,0.0,-55.848088355663876
I3,14,N4,3.77714408099857e-08,-0.24661167594685685,-65.1140299328298
I3,14,N5,3.783695968630962e-08,-0.24353239822147055,-66.34139658250591
I3,14,N6,4.097232008402171e-08,-0.23877555892401087,-63.06433238245748
I3,14,N7,3.2134656971963265e-08,-0.24545920163754226,-68.23348530957418
I3,14,N8,162.88283979342108,0.0,-55.86391688091427
I3,14,N9,33.467546313352884,0.0,-55.86340277056101
I3,15,N1,3.905483187649244e-08,-0.2459058113710314,-65.08728857344602
I3,15,N2,2.980874673288806e-08,-0.24384023415021358,-68.23340458403591
I3,15,N3,40.78264764535441,-0.0005897648570092345,-55.848088355663876
I3,15,N4,3.881275265989685e-08,-0.24679404443930505,-65.1140299328298
I3,15,N5,3.815593795809129e-08,-0.24323803272996147,-66.34139658250591
I3,15,N6,4.2784924901724724e-08,-0.24024090349640193,-63.06433238245748
I3,15,N7,2.9743576043946004e-08,-0.24406799132620938,-68.23348530957418
I3,15,N8,204.14239313501963,0.0,-55.86391688091427
I3,15,N9,35.75593101282119,-0.004323762416101423,-55.86340277056101
I3,16,N1,4.011226195841909e-08,-0.24632084722077296,-65.08728857344602
I3,16,N2,2.982996760339067e-08,-0.2430469944783678,-68.23340458403591
I3,16,N3,40.78264764860692,-0.0005898223817216875,-55.848088355663876
I3,16,N4,3.9872634868750136e-08,-0.24721490062899174,-65.1140299328298
I3,16,N5,3.87432358254432e-08,-0.24314364501124336,-66.34139658250591
I3,16,N6,4.435904271000762e-08,-0.24079354170710196,-63.06433238245748
I3,16,N7,2.97646815100822e-08,-0.24327344154202146,-68.23348530957418
I3,16,N8,205.903199889563,-0.030367582115611413,-55.86391688091427
I3,16,N9,35.755931016075735,-0.00432686030895867,-55.86340277056101
I3,17,N1,4.119787369151837e-08,-0.24739273087979133,-65.08728857344602
I3,17,N2,3.17138142059317e-08,-0.24714148281188283,-68.23340458403591
I3,17,N3,40.782647649037635,-0.0005897913885712062,-55.848088355663876
I3,17,N4,4.095903579394657e-08,-0.24829079515836733,-65.1140299328298
I3,17,N5,3.993902518608386e-08,-0.24509779147516375,-66.34139658250591
I3,17,N6,4.5342315882809145e-08,-0.24058321419079887,-63.06433238245748
I3,17,N7,3.164839886841746e-08,-0.24737269192622802,-68.23348530957418
I3,17,N8,205.90319988988995,-0.030284412549914288,-55.86391688091427
I3,17,N9,35.755931016508,-0.004325203531769747,-55.86340277056101
I3,18,N1,4.055956748449996e-08,-0.2463372855041625,-65.08728857344602
I3,18,N2,3.244608377954657e-08,-0.24634398462382934,-68.23340458403591
I3,18,N3,40.782644005248045,-0.0005137282453600608,-55.848088355663876
I3,18,N4,4.03201592166972e-08,-0.2472293389638915,-65.1140299328298
I3,18,N5,3.95860371066755e-08,-0.24422511076676567,-66.34139658250591
I3,18,N6,4.4385718087748465e-08,-0.23910716355279252,-63.06433238245748
I3,18,N7,3.238064244132848e-08,-0.24657418942137088,-68.23348530957418
I3,18,N8,184.7225166882347,0.0,-55.86391688091427
I3,18,N9,35.755930123260775,-0.0032530374985417186,-55.86340277056101
I3,19,N1,3.996092227774985e-08,-0.2459359886133105,-65.08728857344602
I3,19,N2,3.3139817044131835e-08,-0.24605174285333278,-68.23340458403591
I3,19,N3,28.39924719741678,0.0,-55.848088355663876
I3,19,N4,3.972070538480383e-08,-0.24682548232662552,-65.1140299328298
I3,19,N5,3.9248533713418446e-08,-0.24389534243432592,-66.34139658250591
I3,19,N6,4.349411109337046e-08,-0.2385396926276261,-63.06433238245748
I3,19,N7,3.307436915114315e-08,-0.2462817868461584,-68.23348530957418
I3,19,N8,137.62773240548472,0.0,-55.86391688091427
I3,19,N9,35.75508301198546,0.0,-55.86340277056101
I3,20,N1,3.940087038604415e-08,-0.24578292443181673,-65.08728857344602
I3,20,N2,3.3803883256754806e-08,-0.24594963997985364,-68.23340458403591
I3,20,N3,16.491072171532032,0.0,-55.848088355663876
I3,20,N4,3.915961525821938e-08,-0.24667053759464275,-65.1140299328298
I3,20,N5,3.893038783936151e-08,-0.24377334066348505,-66.34139658250591
I3,20,N6,4.2663806870586434e-08,-0.23832321100962992,-63.06433238245748
I3,20,N7,3.373844184098993e-08,-0.24617973119850686,-68.23348530957418
I3,20,N8,90.53294992325254,0.0,-55.86391688091427
I3,20,N9,24.629309803308086,0.0,-55.86340277056101
I3,21,N1,3.887260248120888e-08,-0.245733372480134,-65.08728857344602
I3,21,N2,3.444465906911824e-08,-0.2459320233243168,-68.23340458403591
I3,21,N3,7.001843332288883,0.0,-55.848088355663876
I3,21,N4,3.8630233439830885e-08,-0.24661912914198075,-65.1140299328298
I3,21,N5,3.862976143392189e-08,-0.24374191911844784,-66.34139658250591
I3,21,N6,4.188386874539718e-08,-0.23824978400911648,-63.06433238245748
I3,21,N7,3.437923231529898e-08,-0.24616217269512936,-68.23348530957418
I3,21,N8,44.51064366335033,0.0,-55.86391688091427
I3,21,N9,12.21706852120577,0.0,-55.86340277056101
I3,22,N1,3.836970935567326e-08,-0.24574885830223842,-65.08728857344602
I3,22,N2,3.506790922209996e-08,-0.2459815281759753,-68.23340458403591
I3,22,N3,3.2635337191409963,0.0,-55.848088355663876
I3,22,N4,3.812614296629215e-08,-0.2466326395072326,-65.1140299328298
I3,22,N5,3.834469155460154e-08,-0.2437754590183307,-66.34139658250591
I3,22,N6,4.114361545524766e-08,-0.23824981779658533,-63.06433238245748
I3,22,N7,3.500250163088564e-08,-0.24621171405890707,-68.23348530957418
I3,22,N8,17.468141209266815,0.0,-55.86391688091427
I3,22,N9,6.355404701363466,0.0,-55.86340277056101
I3,23,N1,3.788606594772843e-08,-0.24586133035219676,-65.08728857344602
I3,23,N2,3.5678965129171846e-08,-0.2461544839185231,-68.23340458403591
I3,23,N3,3.263518283696024,0.0,-55.848088355663876
I3,23,N4,3.7641207934402764e-08,-0.2467431875188868,-65.1140299328298
I3,23,N5,3.807222212914196e-08,-0.24391654639892998,-66.34139658250591
I3,23,N6,4.043291610038936e-08,-0.23832711218811833,-63.06433238245748
