unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,4.959040528537724e-09,4.3474166855394135e-09,-6.116238429983107e-10,67.13594723225665,-4.106194604952462e-08
I1,1,N2,3.2551928088148972e-09,2.8547970470012796e-09,-4.003957618136176e-10,67.17039732941207,-2.689474241003333e-08
I1,1,N3,1.5243707572368802e-07,0.0005448885529705499,0.0005447361158948262,67.16019855596744,0.036584585704103015
I1,1,N4,4.9602433338966745e-09,4.348132464222515e-09,-6.121108696741597e-10,67.1703972931804,-4.111573030348748e-08
I1,1,N5,4.820158120584237e-09,4.225156054784285e-09,-5.950020657999516e-10,67.20752233022559,-3.9988614623780603e-08
I1,1,N6,4.328650788102978e-09,3.794588572310015e-09,-5.340622157929632e-10,67.17396129821398,-3.587507461451491e-08
I1,1,N7,3.2539547882430857e-09,2.853678013622284e-09,-4.002767746208018e-10,67.17039732941207,-2.688674999301478e-08
I1,1,N8,1.5244575261047024e-07,0.00036212158551734313,0.0003619691397647327,67.17435717124617,0.02431504427952488
I1,1,N9,1.5246629663687044e-07,0.00028605753827124354,0.00028590507197460665,67.17039717778059,0.019204357239676274
I1,2,N1,4.958100914680786e-09,4.3454832513925465e-09,-6.126176632882396e-10,67.13070718429373,-4.112545697012906e-08
I1,2,N2,3.2526704107749178e-09,2.852120052372776e-09,-4.005503584021416e-10,67.16555103408938,-2.690318553898183e-08
I1,2,N3,1.524564945247543e-07,0.0003874366490046801,0.00038728419251015533,67.15777542937623,0.026009144827944322
I1,2,N4,4.95886454415996e-09,4.346244177600706e-09,-6.126203665592542e-10,67.16555100025042,-4.11469844739277e-08
I1,2,N5,4.8182456539814885e-09,4.223245424531985e-09,-5.950002294495031e-10,67.20098853439265,-3.998460359719706e-08
I1,2,N6,4.3270915063199e-09,3.792507331195873e-09,-5.345841751240263e-10,67.1689530074194,-3.590745933741579e-08
I1,2,N7,3.251429952832364e-09,2.8510028327495647e-09,-4.0042712008279915e-10,67.16555103408938,-2.689490816935468e-08
I1,2,N8,1.5248642501568177e-07,0.00023121471987091598,0.0002310622334459003,67.16933093227797,0.015520295624278946
I1,2,N9,1.525050938097938e-07,0.00020061048792909567,0.00020045798283528586,67.16555092446532,0.013463870854338988
I1,3,N1,4.9576130010535406e-09,4.345070404751784e-09,-6.125425963017566e-10,67.12682000050476,-4.111803660458987e-08
I1,3,N2,3.2516407304227843e-09,2.8511008406141314e-09,-4.0053988980865293e-10,67.16205760507967,-2.690108315246101e-08
I1,3,N3,1.524710073340171e-07,0.00031838905058982885,0.00031823657958249485,67.15602872037226,0.02137150487831506
I1,3,N4,4.958209716267616e-09,4.3457267765229485e-09,-6.124829397446678e-10,67.16205757232146,-4.1135614461196074e-08
I1,3,N5,4.817431834542257e-09,4.222523623404766e-09,-5.949082111374909e-10,67.19637010496263,-3.997567233407608e-08
I1,3,N6,4.3262740110779765e-09,3.792072875505881e-09,-5.342011355720953e-10,67.16535158114107,-3.5879807085744585e-08
I1,3,N7,3.2504007739146415e-09,2.8499827093421983e-09,-4.004180645724433e-10,67.16205760507967,-2.6892901118928944e-08
I1,3,N8,1.525168552617629e-07,0.00018182105508477965,0.0001816685382295179,67.16571752499696,0.012201897721902912
I1,3,N9,1.52534080684938e-07,0.0001638882584576089,0.00016373572437692398,67.16205751479512,0.01099682813782961
I1,4,N1,4.958476844733909e-09,4.34517735560584e-09,-6.132994891280689e-10,67.12467952130872,-4.116753165830398e-08
I1,4,N2,3.252239575404405e-09,2.8515738613370346e-09,-4.0066571406737047e-10,67.16017962999521,-2.69087813283449e-08
I1,4,N3,1.5247965831184032e-07,0.00028748895515191695,0.0002873364754936051,67.15508973288817,0.019296106795304874
I1,4,N4,4.958716790160437e-09,4.346088643626844e-09,-6.12628146533593e-10,67.16017959759883,-4.1144216347740195e-08
I1,4,N5,4.817674326748598e-09,4.223032269964727e-09,-5.946420567838709e-10,67.19392962963664,-3.995633651835782e-08
I1,4,N6,4.326724190843345e-09,3.792682994962658e-09,-5.340411958806868e-10,67.16341960736355,-3.5868032926552795e-08
I1,4,N7,3.251003848294537e-09,2.850451172962919e-09,-4.005526753316178e-10,67.16017962999521,-2.6901189626546603e-08
I1,4,N8,1.5253512401875117e-07,0.00016092554322737887,0.00016077300810336012,67.16377955923926,0.010798122875329866
