unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I2,0,N1,8.917653198720771e-08,-0.1889594528280282,-65.1129238269835
I2,0,N2,1.0739918875578692e-07,-0.14526086861412332,-78.59737408861523
I2,0,N3,8.682895930993824e-06,-0.003050832709040842,-55.866808975773424
I2,0,N4,8.902131681517242e-08,-0.18937879242253405,-65.13975811763856
I2,0,N5,8.024303401701081e-08,-0.20884904471567253,-68.62239828779033
I2,0,N6,1.1641254416500394e-07,-0.14487165234293103,-56.74856042598549
I2,0,N7,1.0739821541237272e-07,-0.14526258334109884,-78.59739681309034
I2,0,N8,8.203366257092652,0.0,-55.86364625722931
I2,0,N9,7.749331460843045,0.0,-55.86191164275744
I2,1,N1,8.856685275207519e-08,-0.18843225167398175,-65.1129238269835
I2,1,N2,1.1190218078667356e-07,-0.1488580219477784,-78.59737408861523
I2,1,N3,8.02474650883555e-06,-0.002818903359939903,-55.866808975773424
I2,1,N4,8.841000596019737e-08,-0.18884671355831248,-65.13975811763856
I2,1,N5,8.05469831096937e-08,-0.20901522275256276,-68.62239828779033
I2,1,N6,1.0998055843158283e-07,-0.13846245657739542,-56.74856042598549
I2,1,N7,1.1190120868831453e-07,-0.1488597616841039,-78.59739681309034
I2,1,N8,8.20336418635226,0.0,-55.86364625722931
I2,1,N9,7.749329718008205,0.0,-55.86191164275744
I2,2,N1,8.795816097058695e-08,-0.1878682932216215,-65.1129238269835
I2,2,N2,1.1641057210108947e-07,-0.1525278743627394,-78.59737408861523
I2,2,N3,7.418318198760213e-06,-0.0026359884274968453,-55.866808975773424
I2,2,N4,8.779954176146373e-08,-0.18827854404340663,-65.13975811763856
I2,2,N5,8.085174928619166e-08,-0.209163111769919,-68.62239828779033
I2,2,N6,1.0356437616398295e-07,-0.1327504547365207,-56.74856042598549
I2,2,N7,1.1640960125834438e-07,-0.15252962953103788,-78.59739681309034
I2,2,N8,8.203362928018093,0.0,-55.86364625722931
I2,2,N9,7.749328575312688,0.0,-55.86191164275744
I2,3,N1,8.734913489291697e-08,-0.18728206771792535,-65.1129238269835
I2,3,N2,1.209344427473519e-07,-0.15646943192871965,-78.59737408861523
I2,3,N3,6.838412221719839e-06,-0.002482045295584873,-55.866808975773424
I2,3,N4,8.718859624190111e-08,-0.1876880558343667,-65.13975811763856
I2,3,N5,8.115755765727152e-08,-0.2093114065450811,-68.62239828779033
I2,3,N6,9.709400975961334e-08,-0.12734808794654667,-56.74856042598549
I2,3,N7,1.2093347337221673e-07,-0.15647120595417624,-78.59739681309034
I2,3,N8,8.203361959047601,0.0,-55.86364625722931
I2,3,N9,7.749327670450135,0.0,-55.86191164275744
I2,4,N1,8.673831142037844e-08,-0.18666051522441165,-65.1129238269835
I2,4,N2,1.2548391241411553e-07,-0.16086933700449266,-78.59737408861523
I2,4,N3,6.26329299735101e-06,-0.00234435780681686,-55.866808975773424
I2,4,N4,8.657574598566591e-08,-0.18706191635600478,-65.13975811763856
I2,4,N5,8.146456984426766e-08,-0.20946776795782282,-68.62239828779033
I2,4,N6,9.0493966538376e-08,-0.1220026254970651,-56.74856042598549
I2,4,N7,1.2548294493067755e-07,-0.1608711473381981,-78.59739681309034
I2,4,N8,8.203361112128622,0.0,-55.86364625722931
I2,4,N9,7.749326870261461,0.0,-55.86191164275744
I2,5,N1,8.612283845188062e-08,-0.18598240461298413,-65.1129238269835
I2,5,N2,1.3006571278006624e-07,-0.16594009567043755,-78.59737408861523
I2,5,N3,5.638209392986085e-06,-0.002206436473739157,-55.866808975773424
I2,5,N4,8.595831705108865e-08,-0.1863788839014452,-65.13975811763856
I2,5,N5,8.177180921021577e-08,-0.2096353799237727,-68.62239828779033
I2,5,N6,8.366268149162007e-08,-0.11649732462681499,-56.74856042598549
I2,5,N7,1.3006474783732473e-07,-0.1659419790287103,-78.59739681309034
I2,5,N8,8.203360159033359,0.0,-55.86364625722931
I2,5,N9,7.7493259801574235,0.0,-55.86191164275744
I2,6,N1,8.549935315730021e-08,-0.18522278434405282,-65.1129238269835
I2,6,N2,1.346856903425464e-07,-0.17195139788209735,-78.59737408861523
I2,6,N3,4.851297956479371e-06,-0.0020478134447991015,-55.866808975773424
I2,6,N4,8.533312589473373e-08,-0.18561400918585286,-65.13975811763856
I2,6,N5,8.207782802958035e-08,-0.20981628855064507,-68.62239828779033
I2,6,N6,7.646829689018586e-08,-0.11060439082733792,-56.74856042598549
I2,6,N7,1.3468472883391832e-07,-0.17195341897122784,-78.59739681309034
I2,6,N8,8.203358383304321,0.0,-55.86364625722931
I2,6,N9,7.749324454064043,0.0,-55.86191164275744
I2,7,N1,8.486540520559972e-08,-0.18435711764986942,-65.1129238269835
I2,7,N2,1.3935372208849153e-07,-0.17927048071658244,-78.59737408861523
I2,7,N3,3.6352418630049597e-06,-0.001837687383265911,-55.866808975773424
I2,7,N4,8.469790551914867e-08,-0.18474273121926868,-65.13975811763856
I2,7,N5,8.238156715075886e-08,-0.21001637474053714,-68.62239828779033
I2,7,N6,6.874841789136638e-08,-0.10401970077646933,-56.74856042598549
I2,7,N7,1.3935276519750732e-07,-0.17927274751503142,-78.59739681309034
I2,7,N8,3.040648669471858,0.0,-55.86364625722931
I2,7,N9,7.373931754537645,0.0,-55.86191164275744
I2,8,N1,8.42238383870693e-08,-0.1833550757945428,-65.1129238269835
I2,8,N2,1.44098446828044e-07,-0.18846122172059032,-78.59737408861523
I2,8,N3,1.95108908630335e-06,-0.0016067340081075455,-55.866808975773424
I2,8,N4,8.405549999931019e-08,-0.1837345711926552,-65.13975811763856
I2,8,N5,8.268662446147987e-08,-0.21024312805846854,-68.62239828779033
I2,8,N6,6.035288094593815e-08,-0.09631423513779726,-56.74856042598549
I2,8,N7,1.440974961628041e-07,-0.18846391502798598,-78.59739681309034
I2,8,N8,1.8243969084772066e-06,0.0,-55.86364625722931
I2,8,N9,3.532512814567293e-06,0.0,-55.86191164275744
I2,9,N1,8.357943893911546e-08,-0.1821859143313213,-65.1129238269835
I2,9,N2,1.4895917440712895e-07,-0.2003588594544709,-78.59737408861523
I2,9,N3,0.0,-0.0013948295380067802,-55.866808975773424
I2,9,N4,8.341069486520692e-08,-0.1825587777132311,-65.13975811763856
I2,9,N5,8.299862269478491e-08,-0.21051637028278572,-68.62239828779033
I2,9,N6,5.107529655619392e-08,-0.08665107164844096,-56.74856042598549
I2,9,N7,1.4895823217256988e-07,-0.20036230447218095,-78.59739681309034
I2,9,N8,0.0,0.0,-55.86364625722931
I2,9,N9,0.0,0.0,-55.86191164275744
I2,10,N1,8.491116894092415e-08,-0.18389414654025907,-65.1129238269835
I2,10,N2,2.312887010462343e-07,-8.361287539131299,-78.59737408861523
I2,10,N3,0.0,-0.0013961381771986098,-55.866808975773424
I2,10,N4,8.474216985504674e-08,-0.1842718587846606,-65.13975811763856
I2,10,N5,8.556724065709684e-08,-0.21844912808942787,-68.62239828779033
I2,10,N6,5.130726250803435e-08,-0.08589055641555925,-56.74856042598549
I2,10,N7,2.3128675433013732e-07,-8.361256744742052,-78.59739681309034
I2,10,N8,0.0,0.0,-55.86364625722931
I2,10,N9,0.0,0.0,-55.86191164275744
I2,11,N1,8.62412661978865e-08,-0.18546752734354055,-65.1129238269835
I2,11,N2,2.0795596229932747e-07,-0.3055590483694014,-78.59737408861523
I2,11,N3,1.8161958421501343e-08,-0.0017075158701646371,-55.866808975773424
I2,11,N4,8.607537882871617e-08,-0.18585575520372857,-65.13975811763856
I2,11,N5,8.415161844003104e-08,-0.21494695890270535,-68.62239828779033
I2,11,N6,6.671028104516122e-08,-0.10274419482578562,-56.74856042598549
I2,11,N7,2.079540575136873e-07,-0.3055617134096192,-78.59739681309034
I2,11,N8,21.249922942981396,0.0,-55.86364625722931
I2,11,N9,1.827243838974539e-08,0.0,-55.86191164275744
I2,12,N1,8.756889433544243e-08,-0.18696008535331862,-65.1129238269835
I2,12,N2,1.6089573599213293e-07,-0.1929863957047722,-78.59737408861523
I2,12,N3,4.0099234992148805e-06,-0.00230105037807832,-55.866808975773424
I2,12,N4,8.740690934899277e-08,-0.18735973080465557,-65.13975811763856
I2,12,N5,8.25284571472254e-08,-0.2119042750065862,-68.62239828779033
I2,12,N6,8.79462602663422e-08,-0.11861857587829941,-56.74856042598549
I2,12,N7,1.6089424824704778e-07,-0.19298847295073326,-78.59739681309034
I2,12,N8,42.49984622716882,0.0,-55.86364625722931
I2,12,N9,13.846613878191201,0.0,-55.86191164275744
I2,13,N1,8.889530296764074e-08,-0.18842284352462446,-65.1129238269835
I2,13,N2,1.2282923010854109e-07,-0.1483484918299686,-78.59737408861523
I2,13,N3,8.027705529364746e-06,-0.0036018481688098623,-55.866808975773424
I2,13,N4,8.873749304985985e-08,-0.18883406570732697,-65.13975811763856
I2,13,N5,8.0911372588979e-08,-0.20905856021217192,-68.62239828779033
I2,13,N6,1.0807103840599825e-07,-0.13796648135651096,-56.74856042598549
I2,13,N7,1.2282800807027636e-07,-0.14835035363370258,-78.59739681309034
I2,13,N8,63.74976951145459,0.0,-55.86364625722931
I2,13,N9,27.693228054257297,0.0,-55.86191164275744
I2,14,N1,9.022170897067956e-08,-0.18990979760248328,-65.1129238269835
I2,14,N2,5.9382667444060814e-08,-0.12130242591954642,-78.59737408861523
I2,14,N3,1.2668543722293336e-05,-0.0077443828330698156,-55.866808975773424
I2,14,N4,9.006788059579916e-08,-0.19033496471442493,-65.13975811763856
I2,14,N5,7.91981903479085e-08,-0.20629617969266073,-68.62239828779033
I2,14,N6,1.327598978239016e-07,-0.16576146592743388,-56.74856042598549
I2,14,N7,5.938228141635346e-08,-0.12130419934059641,-78.59739681309034
I2,14,N8,84.99969279843656,0.0,-55.86364625722931
I2,14,N9,41.539843128564605,-0.000828700456117452,-55.86191164275744
I2,15,N1,9.155051134655847e-08,-0.19147195353944402,-65.1129238269835
I2,15,N2,1.4694461895641803e-08,-0.10007936620688632,-78.59737408861523
I2,15,N3,1.582255596470728e-05,-0.02751925878545296,-55.866808975773424
I2,15,N4,9.140119039622977e-08,-0.19191035534946224,-65.13975811763856
I2,15,N5,7.758362002388257e-08,-0.20348727825850405,-68.62239828779033
I2,15,N6,1.5386466202942865e-07,-0.21703654666966488,-56.74856042598549
I2,15,N7,1.469443220195941e-08,-0.10008094766891136,-78.59739681309034
I2,15,N8,106.24961608259487,0.0,-55.86364625722931
I2,15,N9,51.457450337799806,-0.019861090553995122,-55.86191164275744
I2,16,N1,9.28821820974742e-08,-0.19317260688563032,-65.1129238269835
I2,16,N2,0.0,-0.0767556612544658,-78.59737408861523
I2,16,N3,1.5848722412751914e-05,-26.493689769241403,-55.866808975773424
I2,16,N4,9.27367546177646e-08,-0.19362486372560916,-65.13975811763856
I2,16,N5,7.618353817939776e-08,-0.20043632623342664,-68.62239828779033
I2,16,N6,1.690362779995629e-07,-0.37352686494108983,-56.74856042598549
I2,16,N7,0.0,-0.07675665061542059,-78.59739681309034
I2,16,N8,114.53052231149191,-44.1485748332272,-55.86364625722931
I2,16,N9,51.457450364157765,-26.486315168584934,-55.86191164275744
I2,17,N1,9.421543460167068e-08,-0.19508241480417648,-65.1129238269835
I2,17,N2,7.492574682142466e-08,-0.11955388426590267,-78.59737408861523
I2,17,N3,1.584491722756822e-05,-3.4061364197217205,-55.866808975773424
I2,17,N4,9.407037649784933e-08,-0.19554202768098267,-65.13975811763856
I2,17,N5,7.875694042847837e-08,-0.20767880122729745,-68.62239828779033
I2,17,N6,1.6926663124092914e-07,-0.3684618660571745,-56.74856042598549
I2,17,N7,7.492474851008551e-08,-0.11955489528125482,-78.59739681309034
I2,17,N8,114.5305223074719,-3.4776729974627076,-55.86364625722931
I2,17,N9,51.457450360345874,-3.3967681564077,-55.86191164275744
I2,18,N1,9.358238495836951e-08,-0.19377452529233624,-65.1129238269835
I2,18,N2,7.98320296472858e-08,-0.12453150837024504,-78.59737408861523
I2,18,N3,1.4613843466122165e-05,-0.01540400357751089,-55.866808975773424
I2,18,N4,9.343616988068047e-08,-0.1942250214704045,-65.13975811763856
I2,18,N5,7.9076754222425e-08,-0.20795657445922638,-68.62239828779033
I2,18,N6,1.601211585871587e-07,-0.25352017613332517,-56.74856042598549
I2,18,N7,7.983104011719774e-08,-0.12453277994760427,-78.59739681309034
I2,18,N8,114.53052043931288,-0.006365801731846163,-55.86364625722931
I2,18,N9,51.457447988391394,-0.0067436519861087275,-55.86191164275744
I2,19,N1,9.294787639183386e-08,-0.19267347033425564,-65.1129238269835
I2,19,N2,8.46067720674728e-08,-0.12898560316964355,-78.59737408861523
I2,19,N3,1.3372184105831126e-05,-0.0081404697874407,-55.866808975773424
I2,19,N4,9.280035416419928e-08,-0.1931161668744684,-65.13975811763856
I2,19,N5,7.938577167954134e-08,-0.20818576151597765,-68.62239828779033
I2,19,N6,1.5176479263875522e-07,-0.2090839131763884,-56.74856042598549
I2,19,N7,8.460578890133532e-08,-0.1289870598193667,-78.59739681309034
I2,19,N8,90.60614740318312,0.0,-55.86364625722931
I2,19,N9,51.35936650894157,0.0,-55.86191164275744
I2,20,N1,9.231688614566057e-08,-0.1917326467701808,-65.1129238269835
I2,20,N2,8.929159372934638e-08,-0.13306747152535756,-78.59737408861523
I2,20,N3,1.222241810883124e-05,-0.005697844152100041,-55.866808975773424
I2,20,N4,9.216790439392753e-08,-0.19216871855599296,-65.13975811763856
I2,20,N5,7.968973930609403e-08,-0.20838162536360666,-68.62239828779033
I2,20,N6,1.440207384349271e-07,-0.18474071660164765,-56.74856042598549
I2,20,N7,8.929061528373163e-08,-0.13306906384052908,-78.59739681309034
I2,20,N8,66.35090776077064,0.0,-55.86364625722931
I2,20,N9,35.55447637201915,0.0,-55.86191164275744
I2,21,N1,9.169053084705936e-08,-0.1909147447095049,-65.1129238269835
I2,21,N2,9.391065629485062e-08,-0.13688069276633905,-78.59737408861523
I2,21,N3,1.1186996150449554e-05,-0.004505275461025475,-55.866808975773424
I2,21,N4,9.154002722388773e-08,-0.19134513391442248,-65.13975811763856
I2,21,N5,7.999138410348229e-08,-0.2085542605089085,-68.62239828779033
I2,21,N6,1.3673043046131194e-07,-0.16907002450027225,-56.74856042598549
I2,21,N7,9.390968135220512e-08,-0.1368823837138549,-78.59739681309034
I2,21,N8,42.09567275446893,0.0,-55.86364625722931
I2,21,N9,19.749586104171776,0.0,-55.86191164275744
I2,22,N1,9.106906659159855e-08,-0.19018979644924705,-65.1129238269835
I2,22,N2,9.84824659327112e-08,-0.14052562944792624,-78.59737408861523
I2,22,N3,1.026580298400916e-05,-0.0038079350223372776,-55.866808975773424
I2,22,N4,9.09169740924561e-08,-0.19061511679283666,-65.13975811763856
I2,22,N5,8.0292762736747e-08,-0.20871274284702182,-68.62239828779033
I2,22,N6,1.2977146544839748e-07,-0.1578712401265129,-56.74856042598549
I2,22,N7,9.848149360519847e-08,-0.1405273915900571,-78.59739681309034
I2,22,N8,18.388724600379824,0.0,-55.86364625722931
I2,22,N9,8.568222360216534,0.0,-55.86191164275744
I2,23,N1,9.045188154926586e-08,-0.18954285615101132,-65.1129238269835
I2,23,N2,1.0302117105649075e-07,-0.14411927576842362,-78.59737408861523
I2,23,N3,9.430391878055628e-06,-0.0033477199717752673,-55.866808975773424
I2,23,N4,9.0298127902156e-08,-0.18996329288150932,-65.13975811763856
I2,23,N5,8.059476227454496e-08,-0.2088714164208993,-68.62239828779033
I2,23,N6,1.2304211695562728e-07,-0.14917798693764417,-56.74856042598549
I2,23,N7,1.0302020072456435e-07,-0.14412109145905005,-78.59739681309034
I2,23,N8,8.203375644234109,0.0,-55.86364625722931
I2,23,N9,7.749336178727658,0.0,-55.86191164275744
I2,24,N1,8.983866026398604e-08,-0.18897500400075384,-65.1129238269835
I2,24,N2,1.0754099223242977e-07,-0.14783240422749602,-78.59737408861523
I2,24,N3,8.682896876901464e-06,-0.0030299375041575095,-55.866808975773424
I2,24,N4,8.968321468975201e-08,-0.1893901786554343,-65.13975811763856
I2,24,N5,8.089808073118733e-08,-0.209042624922807,-68.62239828779033
I2,24,N6,1.1646414994823688e-07,-0.1418843129866888,-56.74856042598549
I2,24,N7,1.0754002351422326e-07,-0.14783426735886154,-78.59739681309034
I2,24,N8,8.203366257092773,0.0,-55.86364625722931
I2,24,N9,7.749331460843166,0.0,-55.86191164275744
RIV,0,N1,0.01628535087763578,-6.399664127984456e-07,-65.08979368751523
RIV,0,N2,0.02326471897700331,-1.0664774073392693e-06,-79.75248349975735
RIV,0,N3,3.7924816369321777,0.0,-55.84767113334397
RIV,0,N4,0.016285350423207664,-6.399664469348677e-07,-65.11644848393895
RIV,0,N5,0.016285345861735242,-6.39966752211352e-07,-68.63929228834834
RIV,0,N6,0.01628479602609807,-6.399076236558953e-07,-55.88041809129975
RIV,0,N7,0.023264718776605915,-1.066477406048969e-06,-79.75248349975642
RIV,0,N8,8.163082747861653,0.0,-55.863676857776355
RIV,0,N9,7.771074826867694,0.0,-55.86190780252775
RIV,1,N1,0.01628535005320503,-6.399665078236495e-07,-65.08979368751523
RIV,1,N2,0.02326562289644055,-1.066526505619464e-06,-79.75248349975735
RIV,1,N3,3.7924776699753076,0.0,-55.84767113334397
RIV,1,N4,0.0162853495964606,-6.399665423243967e-07,-65.11644848393895
RIV,1,N5,0.01628534620506003,-6.399668680503897e-07,-68.63929228834834
RIV,1,N6,0.0162847821988999,-6.400019493508672e-07,-55.88041809129975
RIV,1,N7,0.023265622696042116,-1.066526504329098e-06,-79.75248349975642
RIV,1,N8,8.163080028667409,0.0,-55.863676857776355
RIV,1,N9,7.771072614510745,0.0,-55.86190780252775
RIV,2,N1,0.016285349231173023,-6.399666031727869e-07,-65.08979368751523
RIV,2,N2,0.02326677030662146,-1.0665894441172966e-06,-79.75248349975735
RIV,2,N3,3.7924749892616445,0.0,-55.84767113334397
RIV,2,N4,0.01628534877193389,-6.399666380761525e-07,-65.11644848393895
RIV,2,N5,0.016285346550460232,-6.39966984200072e-07,-68.63929228834834
RIV,2,N6,0.016284768426954276,-6.400813110714761e-07,-55.88041809129975
RIV,2,N7,0.023266770106219983,-1.0665894428268337e-06,-79.75248349975642
RIV,2,N8,8.163078417008144,0.0,-55.863676857776355
RIV,2,N9,7.771071175100851,0.0,-55.86190780252775
RIV,3,N1,0.01628534841091898,-6.399666985607327e-07,-65.08979368751523
RIV,3,N2,0.023268194313772684,-1.0666684305194672e-06,-79.75248349975735
RIV,3,N3,3.7924728399846224,0.0,-55.84767113334397
RIV,3,N4,0.016285347949006473,-6.399667339083409e-07,-65.11644848393895
RIV,3,N5,0.016285346897327094,-6.39967100396516e-07,-68.63929228834834
RIV,3,N6,0.01628475469450795,-6.401524480747999e-07,-55.88041809129975
RIV,3,N7,0.023268194113363873,-1.0666684292288694e-06,-79.75248349975642
RIV,3,N8,8.163077187413545,0.0,-55.863676857776355
RIV,3,N9,7.77107003879439,0.0,-55.86190780252775
RIV,4,N1,0.016285347591643434,-6.399667939468083e-07,-65.08979368751523
RIV,4,N2,0.023269830491388543,-1.0667599731439732e-06,-79.75248349975735
RIV,4,N3,3.7924709285781417,0.0,-55.84767113334397
RIV,4,N4,0.016285347126938368,-6.399668297684313e-07,-65.11644848393895
RIV,4,N5,0.01628534724496886,-6.399672166031534e-07,-68.63929228834834
RIV,4,N6,0.01628474098317148,-6.402197360132346e-07,-55.88041809129975
RIV,4,N7,0.023269830290966964,-1.0667599718532102e-06,-79.75248349975642
RIV,4,N8,8.163076117668599,0.0,-55.863676857776355
RIV,4,N9,7.77106903539755,0.0,-55.86190780252775
RIV,5,N1,0.016285346770770686,-6.399668894139655e-07,-65.08979368751523
RIV,5,N2,0.023271133350258485,-1.0668319123355276e-06,-79.75248349975735
RIV,5,N3,3.7924688116938605,0.0,-55.84767113334397
RIV,5,N4,0.01628534630339168,-6.399669256799064e-07,-65.11644848393895
RIV,5,N5,0.016285347591227472,-6.399673328903075e-07,-68.63929228834834
RIV,5,N6,0.016284727235316883,-6.402933529763933e-07,-55.88041809129975
RIV,5,N7,0.023271133149831404,-1.0668319110446475e-06,-79.75248349975642
RIV,5,N8,8.163074914174869,0.0,-55.863676857776355
RIV,5,N9,7.771067918553351,0.0,-55.86190780252775
RIV,6,N1,0.0162853459451004,-6.399669847793364e-07,-65.08979368751523
RIV,6,N2,0.023271941931053402,-1.066875690369198e-06,-79.75248349975735
RIV,6,N3,3.7924652935664565,0.0,-55.84767113334397
RIV,6,N4,0.016285345475404098,-6.399670214101595e-07,-65.11644848393895
RIV,6,N5,0.016285347933335165,-6.399674490976023e-07,-68.63929228834834
RIV,6,N6,0.01628471337690962,-6.403967946021914e-07,-55.88041809129975
RIV,6,N7,0.023271941730625516,-1.06687568907827e-06,-79.75248349975642
RIV,6,N8,8.1630726507853,0.0,-55.863676857776355
RIV,6,N9,7.771065991987135,0.0,-55.86190780252775
RIV,7,N1,0.016285345112717637,-6.399670802778918e-07,-65.08979368751523
RIV,7,N2,0.023272473508847338,-1.066903616548803e-06,-79.75248349975735
RIV,7,N3,3.792413388438488,0.0,-55.84767113334397
RIV,7,N4,0.01628534464130205,-6.399671171660647e-07,-65.11644848393895
RIV,7,N5,0.016285348269064047,-6.399675655953383e-07,-68.63929228834834
RIV,7,N6,0.01628469936626783,-6.406425646308394e-07,-55.88041809129975
