hour,lambda_system,system_net_injection_residual_mw
1,67.17039865870557,1.2816953258173673e-13
2,67.16555215939506,1.9106737609064532e-13
3,67.16205865963269,9.235637968886416e-14
4,67.1601806597253,1.9975096266450674e-13
5,67.1634116596425,9.102690288232831e-14
6,67.1731046589837,1.8994834805761742e-13
7,67.18714140070388,6.54968294375916e-14
8,67.19017773653509,3.513692234445017e-14
9,67.17643765755851,1.2372587080130387e-13
10,60.05141358969784,1.2027495013489575e-13
11,60.03030568329669,8.510025164554361e-14
12,60.025103893361674,1.0371996890261691e-13
13,60.02300089307399,1.652165032207432e-13
14,60.02132043639586,1.2800553526380105e-13
15,60.019588259285875,1.1808132851154184e-13
16,60.02262251276196,1.319399570064984e-13
17,60.04508883861663,6.022621766162991e-14
18,67.14831404697713,7.87255997297986e-14
19,67.17277671014017,1.187154165139342e-13
20,67.18120859861665,2.1131825382920177e-13
21,67.1832790650013,1.1739315737936667e-13
22,67.18211061717926,1.2137801684868932e-13
23,67.17988871730122,1.5836293300032954e-13
24,67.17554815297417,9.454574214523367e-14
