unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,2.549864814585173e-07,3.5763039550800537e-07,1.0264391404948809e-07,67.13594707052803,6.891096380738261e-06
I1,1,N2,4.849216014206248e-07,2.0011895629374623e-07,-2.848026451268786e-07,67.17039716783874,-1.913030678762347e-05
I1,1,N3,1.5243003276761731e-07,0.0006536217137914613,0.0006534692837586937,67.16019845101927,0.04388712677887929
I1,1,N4,2.5480395081144567e-07,3.5785077961017084e-07,1.0304682879872517e-07,67.17039713145157,6.9216964135470695e-06
I1,1,N5,2.8170830203817904e-07,3.1083182808465125e-07,2.9123526046472216e-08,67.20752216852647,1.9573200223939392e-06
I1,1,N6,2.042979151279495e-07,5.758680906006625e-07,3.715701754727131e-07,67.17396113637793,2.4959840526641157e-05
I1,1,N7,4.849216014900354e-07,2.001189562760737e-07,-2.8480264521396166e-07,67.17039716783874,-1.9130306793472874e-05
I1,1,N8,1.524314519786977e-07,0.00046677008821699234,0.00046661765676501364,67.17435697447401,0.03134474104612561
I1,1,N9,1.5245097027409713e-07,0.0003530535916397109,0.0003529011406694368,67.17039699445942,0.023704509718563638
I1,2,N1,2.5508749322938304e-07,3.574362005123548e-07,1.0234870728297177e-07,67.13070711181432,6.870741091885995e-06
I1,2,N2,4.852876913818492e-07,2.0005595117393552e-07,-2.8523174020791364e-07,67.16555096176522,-1.9157746982847603e-05
I1,2,N3,1.5244979337411816e-07,0.00043654231483781006,0.00043638986504443596,67.15777537812701,0.029306972533945392
I1,2,N4,2.5489722809571487e-07,3.5767098355178126e-07,1.0277375545606639e-07,67.1655509277708,6.902855906122689e-06
I1,2,N5,2.8186106203541127e-07,3.106471463983597e-07,2.8786084362948447e-08,67.2009884619427,1.934453323139008e-06
I1,2,N6,2.043609336914778e-07,5.753990227678899e-07,3.710380890764121e-07,67.1689529348327,2.4922239942203787e-05
I1,2,N7,4.852876914484302e-07,2.000559511566602e-07,-2.8523174029177e-07,67.16555096176522,-1.915774698847986e-05
I1,2,N8,1.524729251776025e-07,0.00026731829873513993,0.00026716582580996233,67.16933084735939,0.017945349744937347
I1,2,N9,1.5249046888229778e-07,0.0002297670847803762,0.00022961459431149393,67.16555084333808,0.015422190708601092
I1,3,N1,2.5515725224836255e-07,3.5730370157129946e-07,1.021464493229369e-07,67.12681995220542,6.856766312457861e-06
I1,3,N2,4.856012273597005e-07,2.0000837914050463e-07,-2.855928482191959e-07,67.16205755693561,-1.918100330994681e-05
I1,3,N3,1.5246464775128469e-07,0.00034899985040902137,0.0003488473857612701,67.15602868413323,0.023427205044568744
I1,3,N4,2.549592727302323e-07,3.5755297549863163e-07,1.0259370276839933e-07,67.1620575240219,6.8904041669336414e-06
I1,3,N5,2.8196623536457026e-07,3.105196533803087e-07,2.855341801573844e-08,67.19637005669273,1.918686043368997e-06
I1,3,N6,2.043988645991963e-07,5.751835483402307e-07,3.7078468374103443e-07,67.16535153273446,2.490388362642035e-05
I1,3,N7,4.856012274266166e-07,2.0000837912353798e-07,-2.855928483030786e-07,67.16205755693561,-1.9181003315580545e-05
I1,3,N8,1.5250415700018038e-07,0.0002019932878965141,0.00020184078373951394,67.16571746959256,0.013556781054489327
I1,3,N9,1.5252015804203802e-07,0.0001818249344109685,0.00018167241425292647,67.16205746168289,0.012201493125257706
I1,4,N1,2.5518807911893795e-07,3.572472133760637e-07,1.0205913425712573e-07,67.12467948210902,6.850686675231097e-06
I1,4,N2,4.858450421498403e-07,1.9997934105912818e-07,-2.858657010907121e-07,67.16017959095085,-1.91987918241453e-05
I1,4,N3,1.5247364065224585e-07,0.00031077692937046434,0.0003106244557298121,67.15508970227455,0.02086001318825574
I1,4,N4,2.549849561276029e-07,3.575062306281489e-07,1.0252127450054598e-07,67.1601795583989,6.88534720401257e-06
I1,4,N5,2.8201758864120957e-07,3.1045662275227915e-07,2.8439034111069576e-08,67.19392959046638,1.910930455680081e-06
I1,4,N6,2.0440831546420197e-07,5.752464954176974e-07,3.7083817995349537e-07,67.16341956805653,2.490676027207106e-05
I1,4,N7,4.858450422202178e-07,1.9997934104238297e-07,-2.8586570117783475e-07,67.16017959095085,-1.919879182999647e-05
I1,4,N8,1.5252322929484447e-07,0.0001754493629788514,0.00017529683974955656,67.1637795148141,0.011773598294582917
I1,4,N9,1.5253812027629156e-07,0.00016121180161395767,0.00016105926349368137,67.16017950597237,0.010816769047335343
