hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,344.5000034230816,400.0,0.861250008557704,7.692370860895347e-09,-9.808517348360713e-09
1,L45,311.5674615113027,400.0,0.7789186537782569,8.439840980178104e-09,-9.800589859737372e-09
1,L46,32.9325419117734,200.0,0.164662709558867,9.17103427675364e-09,-9.383307127994966e-09
1,L69,-2.7074580693341903,200.0,0.013537290346670951,9.314263540259944e-09,-9.269853966216631e-09
1,L57,-59.68253849379627,400.0,0.1492063462344907,9.693775870482361e-09,-9.581619443572591e-09
1,L93,-101.9899403905253,400.0,0.2549748509763133,9.721439921282617e-09,-9.515940225196672e-09
1,L72,1.3915808702829734e-08,400.0,3.4789521757074333e-11,9.646377606477369e-09,-9.646377606486822e-09
1,L98,99.2825076716863,200.0,0.4964125383584315,8.563778384211556e-09,-9.53086967462245e-09
1,L78,-59.68253852162797,200.0,0.29841269260813985,9.459939493896832e-09,-8.975652101576858e-09
2,L14,348.43750346241785,400.0,0.8710937586560447,7.54429897388081e-09,-9.809470632710571e-09
2,L45,304.94688464648556,400.0,0.7623672116162139,8.547404291769866e-09,-9.798684508810257e-09
2,L46,43.49061881590497,200.0,0.21745309407952487,9.1171774772475e-09,-9.410079861471727e-09
2,L69,9.470618834765663,200.0,0.04735309417382831,9.271795854136794e-09,-9.312541811186718e-09
2,L57,-49.42811535863982,400.0,0.12357028839659956,9.686887815754072e-09,-9.593827300615691e-09
2,L93,-77.75746172817715,400.0,0.19439365432044287,9.707626374814329e-09,-9.552666629858746e-09
2,L72,1.393473358865938e-08,400.0,3.483683397164845e-11,9.646377606477352e-09,-9.646377606486838e-09
2,L98,87.22809703777948,200.0,0.43614048518889736,8.71932009129157e-09,-9.511489754166234e-09
2,L78,-49.428115386509354,200.0,0.24714057693254676,9.438140974665961e-09,-9.045864641463802e-09
3,L14,352.37500350176396,400.0,0.8809375087544099,7.375921736125234e-09,-9.810414472347863e-09
3,L45,301.03827043934734,400.0,0.7525956760983683,8.604740505964725e-09,-9.797531416407962e-09
3,L46,51.33673306237356,200.0,0.2566836653118678,9.072623968684708e-09,-9.428429015031964e-09
3,L69,18.3967330812119,200.0,0.0919836654060595,9.237332143259361e-09,-9.340668807728745e-09
3,L57,-42.086729565796624,400.0,0.10521682391449155,9.681781945750965e-09,-9.602109006587444e-09
3,L93,-60.28996951544661,400.0,0.15072492378861652,9.696831784946898e-09,-9.575777146006807e-09
3,L72,1.3948442115793208e-08,400.0,3.487110528948302e-11,9.64637760647734e-09,-9.64637760648685e-09
3,L98,78.68671558492998,200.0,0.39343357792464995,8.810321271123633e-09,-9.496807784558894e-09
3,L78,-42.086729593693576,200.0,0.2104336479684679,9.421484332487347e-09,-9.09034142551454e-09
4,L14,355.00000352799816,400.0,0.8875000088199954,7.250228097107854e-09,-9.811038520796077e-09
4,L45,299.33651543130975,400.0,0.7483412885782744,8.628599299867173e-09,-9.797018977362753e-09
4,L46,55.663488096636925,200.0,0.27831744048318463,9.046186189023107e-09,-9.43802941362265e-09
4,L69,23.26348811546401,200.0,0.11631744057732005,9.217209209852227e-09,-9.355002942878481e-09
4,L57,-38.16348457384407,400.0,0.09540871143461019,9.678993446027396e-09,-9.606384324210477e-09
4,L93,-50.89997284414087,400.0,0.12724993211035218,9.690713939862286e-09,-9.587202907486996e-09
4,L72,1.3955865210699663e-08,400.0,3.488966302674916e-11,9.646377606477334e-09,-9.646377606486857e-09
4,L98,74.16347241494574,200.0,0.3708173620747287,8.853346364671026e-09,-9.488693027862276e-09
4,L78,-38.163484601755876,200.0,0.19081742300877938,9.412201609118955e-09,-9.112382668463683e-09
5,L14,352.3750035017742,400.0,0.8809375087544354,7.375921736124755e-09,-9.810414472347865e-09
5,L45,303.7502343531874,400.0,0.7593755858829685,8.566390085085982e-09,-9.798314335398477e-09
5,L46,48.62476914855005,200.0,0.24312384574275026,9.088824968964564e-09,-9.422096007252107e-09
5,L69,15.144769167399849,200.0,0.07572384583699925,9.250474338463315e-09,-9.330520660357068e-09
5,L57,-44.999765651948756,400.0,0.1124994141298719,9.683853798572229e-09,-9.59882164314629e-09
5,L93,-67.05497009974181,400.0,0.16763742524935452,9.701164734015349e-09,-9.566991812780833e-09
5,L72,1.3943311826784986e-08,400.0,3.485827956696246e-11,9.646377606477346e-09,-9.646377606486847e-09
5,L98,82.19975199389334,200.0,0.4109987599694667,8.774099661448726e-09,-9.503018717369582e-09
5,L78,-44.99976567983545,200.0,0.22499882839917723,9.428295675005744e-09,-9.072974774111778e-09
6,L14,344.5000034231018,400.0,0.8612500085577546,7.692370860894598e-09,-9.808517348360718e-09
6,L45,316.9913900388338,400.0,0.7924784750970845,8.34056521620917e-09,-9.802103074150552e-09
6,L46,27.508613384275108,200.0,0.13754306692137555,9.196572885811047e-09,-9.368370748281999e-09
6,L69,-9.211386596809486,200.0,0.04605693298404743,9.335224362956697e-09,-9.244489470011093e-09
6,L57,-65.50860996624947,400.0,0.16377152491562366,9.697590140515121e-09,-9.574283292459047e-09
6,L93,-115.51994931836138,400.0,0.28879987329590345,9.728669544053844e-09,-9.492439286495311e-09
6,L72,1.390556091140015e-08,400.0,3.476390227850037e-11,9.646377606477379e-09,-9.646377606486812e-09
6,L98,106.3085845165342,200.0,0.531542922582671,8.453446936167777e-09,-9.541552740872445e-09
6,L78,-65.50860999406068,200.0,0.32754304997030337,9.471691343545252e-09,-8.930529690939128e-09
7,L14,331.3750032919615,400.0,0.8284375082299037,8.078561951929433e-09,-9.805269670977418e-09
7,L45,342.5949212929055,400.0,0.8564873032322637,7.603244600023178e-09,-9.809106377537513e-09
7,L46,-11.219918000875772,200.0,0.05609959000437886,9.3408695697863e-09,-9.237063342413645e-09
7,L69,-50.48241795270811,200.0,0.25241208976354057,9.442943760073827e-09,-9.031687379578779e-09
7,L57,-107.40507871209594,400.0,0.26851269678023987,9.722113409406755e-09,-9.513892958682554e-09
7,L93,-185.7447535039872,400.0,0.464361883759968,9.761771766792778e-09,-9.314173696791124e-09
7,L72,1.3853044784084755e-08,400.0,3.4632611960211885e-11,9.646377606477427e-09,-9.646377606486764e-09
7,L98,136.00623488119766,200.0,0.6800311744059883,7.6500713639214e-09,-9.583737518675807e-09
7,L78,-107.40507873980211,200.0,0.5370253936990106,9.542261346804289e-09,-8.445327956750469e-09
8,L14,318.2500031607423,400.0,0.7956250079018559,8.35402289317629e-09,-9.801909927189564e-09
8,L45,363.47561570043695,400.0,0.9086890392510923,6.278348511995084e-09,-9.814369731934328e-09
