hour,node,lambda_joint_eur_per_mwh
1,N1,67.14999976211675
1,N2,67.14999999900645
1,N3,67.14999991533864
1,N4,67.14999991370615
1,N5,67.1500000027119
1,N6,67.14999992831912
1,N7,67.14999999900645
1,N8,67.1499999692907
1,N9,67.14999992449582
2,N1,67.14999966706783
2,N2,67.14999991163297
2,N3,67.14999984594466
2,N4,67.14999983122985
2,N5,67.14999991364218
2,N6,67.14999985099121
2,N7,67.14999991163297
2,N8,67.14999988814009
2,N9,67.14999985221513
3,N1,67.14999953535366
3,N2,67.14999979247952
3,N3,67.14999973851563
3,N4,67.14999971415594
3,N5,67.14999979319371
3,N6,67.1499997379435
3,N7,67.14999979247952
3,N8,67.1499997731963
3,N9,67.14999974283408
4,N1,67.1499994000298
4,N2,67.1499996677231
4,N3,67.14999961970074
4,N4,67.14999959000906
4,N5,67.14999966771559
4,N6,67.14999961611333
4,N7,67.1499996677231
4,N8,67.1499996506263
4,N9,67.149999623013
5,N1,67.14999956924254
5,N2,67.14999982764651
5,N3,67.14999976979544
5,N4,67.14999974804482
5,N5,67.14999982913764
5,N6,67.14999977069006
5,N7,67.14999982764651
5,N8,67.14999980648815
5,N9,67.14999977460775
6,N1,67.14999977790377
6,N2,67.15000001853016
6,N3,67.1499999263259
6,N4,67.14999992949318
6,N5,67.15000002375449
6,N6,67.14999994215701
6,N7,67.15000001853016
6,N8,67.14999998440956
6,N9,67.14999993642819
7,N1,67.14999994188727
7,N2,67.15000019001126
7,N3,67.15000001131769
7,N4,67.15000006192965
7,N5,67.15000020208447
7,N6,67.15000005714938
7,N7,67.15000019001126
7,N8,67.15000011904928
7,N9,67.15000003250289
8,N1,67.14999999699444
8,N2,67.15000028006902
8,N3,67.15000002328354
8,N4,67.15000009554119
8,N5,67.15000030389628
8,N6,67.1500000786962
8,N7,67.15000028006902
8,N8,67.15000013249515
8,N9,67.15000004729448
9,N1,67.14999982340008
9,N2,67.15000009689427
9,N3,67.1499998339409
9,N4,67.14999990632732
9,N5,67.15000010920802
9,N6,67.14999987524043
9,N7,67.15000009689427
9,N8,67.14999985458766
9,N9,67.14999984170146
10,N1,60.000000531210674
10,N2,60.000000739615835
10,N3,60.00000052698251
10,N4,60.00000059359275
10,N5,60.000000744234775
10,N6,60.00000055285105
10,N7,60.000000739615835
10,N8,60.00000050888372
10,N9,60.00000052698251
11,N1,60.00000000798079
11,N2,76.63360521919006
11,N3,42.28453428158684
11,N4,60.00000003180094
11,N5,65.74738399658662
11,N6,53.77930208179109
11,N7,76.63360521919006
11,N8,35.468813131700166
11,N9,42.28453428158684
12,N1,59.99999998467748
12,N2,97.15082925733726
12,N3,20.43285657525886
12,N4,60.000000004289305
12,N5,72.83666870158466
12,N6,46.106193842336125
12,N7,97.15082925733726
12,N8,5.210077729042989
12,N9,20.432856571106047
13,N1,59.999999965898056
13,N2,97.15083114729711
13,N3,20.43285452122655
13,N4,59.99999998345764
13,N5,72.83666933632433
13,N6,46.1061931020793
13,N7,97.15083114729711
13,N8,5.210074844624799
13,N9,20.432854514502935
14,N1,59.99999994713886
14,N2,99.72318598324564
14,N3,17.693192007923095
14,N4,59.99999996349903
14,N5,73.72549111412468
14,N6,45.14417418725051
14,N7,99.72318598324564
14,N8,1.4163742240003636
14,N9,17.693191999978453
15,N1,59.99999993201056
15,N2,97.15082967779651
15,N3,20.43285599666706
15,N4,59.99999994824198
15,N5,72.83666880347604
15,N6,46.10619359555702
15,N7,97.15082967779651
15,N8,5.210076929780728
15,N9,20.43285599151863
16,N1,59.999999944779304
16,N2,76.63360726684515
16,N3,42.28453192459277
16,N4,59.99999996346058
16,N5,65.74738465132405
16,N6,53.77930119636416
16,N7,76.63360726684515
16,N8,35.468809901834
16,N9,42.28453192459277
17,N1,60.000000107269564
17,N2,60.00000030214735
17,N3,60.00000005854663
17,N4,60.000000158199825
17,N5,60.00000029259936
17,N6,60.0000001028015
17,N7,60.00000030214735
17,N8,60.000000028611105
17,N9,60.00000005854663
