unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I1,1,N1,7.344591189801386e-06,7.272117051355804e-06,1.38120160904866e-07,1.8884231407317482e-07,5.072215316830883e-08,67.15000059192077,3.405992615275434e-06,2.4522185623353062e-06,-0.42935204106773583,-0.4335424741679435,-65.31834553492217
I1,2,N1,7.272117051355804e-06,7.199635783146008e-06,1.3811788560725777e-07,1.8884699415334497e-07,5.0729108546087195e-08,67.15000056440083,3.406459667501306e-06,2.4522365982045203e-06,-0.42935180329975015,-0.4335429596121861,-65.3180332624233
I1,3,N1,7.199635783146008e-06,7.126980955305762e-06,1.3806254086157384e-07,1.8896095865713126e-07,5.089841779555742e-08,67.15000052719326,3.4178287818049835e-06,2.452676246390288e-06,-0.4293461458606873,-0.43355457541903136,-65.31053779599559
I1,4,N1,7.126980955305762e-06,7.053985373797132e-06,1.3795409282746745e-07,1.8918489320185128e-07,5.123080037438383e-08,67.15000049032724,3.4401482702597315e-06,2.4535423952198906e-06,-0.42933505666185734,-0.4335774126722546,-65.29583343396014
I1,5,N1,7.053985373797132e-06,6.9804803334656945e-06,1.3779247424628115e-07,1.895201532674954e-07,5.1727679021214256e-08,67.15000053678531,3.4735136740411956e-06,2.454844706353324e-06,-0.4293185328142655,-0.4336116310123717,-65.27386956670586
I1,6,N1,6.9804803334656945e-06,6.9062948538406354e-06,1.3757758633631202e-07,1.8996878200795285e-07,5.239119567164083e-08,67.15000059656359,3.518068820605361e-06,2.4565977625819866e-06,-0.42929655655491145,-0.43365748505918605,-65.24457018164965
I1,7,N1,6.9062948538406354e-06,6.831254871524668e-06,1.3730929577460558e-07,1.9053354823869474e-07,5.3224252464089155e-08,67.15000064485683,3.5740085872856097e-06,2.4588213300997523e-06,-0.4292691090857133,-0.4337153151282917,-65.20783306383107
I1,8,N1,6.831254871524668e-06,6.7551823822493555e-06,1.3698743393139776e-07,1.9121799287925375e-07,5.423055894785598e-08,67.15000066059586,3.641582069173012e-06,2.461540701079886e-06,-0.4292361652794983,-0.43378555990789314,-65.16352871413343
I1,9,N1,6.7551823822493555e-06,6.677894515636503e-06,1.3661179547140237e-07,1.920264907149446e-07,5.5414695243542224e-08,67.15000061085571,3.7210968194542437e-06,2.464787146397602e-06,-0.4291976963710293,-0.4338687619276318,-65.11149893751438
I1,10,N1,6.677894515636503e-06,6.828269616336746e-06,2.853814393577087e-07,1.0927044324010371e-07,-1.7611099611760499e-07,60.000000746314534,-1.0566659898490495e-05,2.959889119483593e-06,-0.44229196381848873,-0.42682700706574694,-65.05155506678491
I1,11,N1,6.828269616336746e-06,6.9771697032813545e-06,2.840834996141347e-07,1.0951393629779103e-07,-1.7456956331634368e-07,60.00000059234803,-1.0474173902386557e-05,2.951980769339443e-06,-0.4421516506065047,-0.42685147686328834,-65.00689365038018
I1,12,N1,6.9771697032813545e-06,7.125093063645455e-06,2.8322563802190304e-07,1.0967658326763963e-07,-1.735490547542634e-07,60.000000588095816,-1.0412943387319277e-05,2.94676665967157e-06,-0.4420591686437202,-0.4268678145551213,-64.97720145465252
I1,13,N1,7.125093063645455e-06,7.2725265109492004e-06,2.827958329727418e-07,1.0975859140778109e-07,-1.730372415649607e-07,60.00000058083336,-1.0382234594403445e-05,2.9441581828539217e-06,-0.4420129191064743,-0.4268760429138026,-64.96227401752903
I1,14,N1,7.2725265109492004e-06,7.419951156254015e-06,2.8278811344652103e-07,1.0976006703273666e-07,-1.7302804641378437e-07,60.00000057388712,-1.038168288412563e-05,2.944111353594433e-06,-0.4420120983789728,-0.42687619122681464,-64.96200969930277
