hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000040542223
1,G_IEEE3,69.60516649894282,270.0,67.15,0.0
1,RES_Wind_N1,94.50000092627519,94.5,0.0,-67.15000063984792
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000030195098
2,G_IEEE3,46.58973175894729,270.0,67.15,0.0
2,RES_Wind_N1,98.4375009656502,98.4375,0.0,-67.15000062890235
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000018454616
3,G_IEEE3,30.546965200831007,270.0,67.15,0.0
3,RES_Wind_N1,102.3750010050252,102.375,0.0,-67.15000061660946
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,250.00000230226482,250.0,60.0,-7.15000000844356
4,G_IEEE3,22.17561156509969,270.0,67.15,0.0
4,RES_Wind_N1,105.00000103127519,105.0,0.0,-67.15000060625316
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,250.00000230226482,250.0,60.0,-7.1500000215459325
5,G_IEEE3,33.96897075375247,270.0,67.15,0.0
5,RES_Wind_N1,102.3750010050252,102.375,0.0,-67.15000061970079
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000042926775
6,G_IEEE3,75.01854138256057,270.0,67.15,0.0
6,RES_Wind_N1,94.50000092627519,94.5,0.0,-67.15000064223247
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,250.00000230226482,250.0,60.0,-7.15000006629648
7,G_IEEE3,145.01592328925796,270.0,67.15,-3.2193993720074877e-09
7,RES_Wind_N1,81.3750007950252,81.375,0.0,-67.15000066801521
7,RES_PV_N6,3.937500018955665,3.9375,0.0,-67.15000102404728
7,RES_PV_N8,9.765000077230665,9.765,0.0,-67.15000081983248
8,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000075650778
8,G_IEEE3,155.7330964730856,270.0,67.15,-5.360724803526664e-09
8,RES_Wind_N1,68.2500006637752,68.25,0.0,-67.15000068071066
8,RES_PV_N6,19.687500176455664,19.6875,0.0,-67.15000074175461
8,RES_PV_N8,48.82500046783067,48.825,0.0,-67.15000070734962
9,G_IEEE1,250.00000230226482,250.0,60.0,-7.15000005761475
9,G_IEEE3,43.89951732449648,270.0,67.15,0.0
9,RES_Wind_N1,55.12500053252519,55.125,0.0,-67.15000066760682
9,RES_PV_N6,55.12500053083066,55.125,0.0,-67.15000067375004
9,RES_PV_N8,136.71000134668068,136.71,0.0,-67.15000065437312
10,G_IEEE1,234.05249725661383,250.0,60.0,-0.0004122971024489767
10,G_IEEE3,1.8773517865510964e-07,270.0,67.15,0.0
10,RES_Wind_N1,45.93750043841884,45.9375,0.0,-60.00041291222389
10,RES_PV_N6,94.50000092214736,94.5,0.0,-60.000412902200864
10,RES_PV_N8,234.36000232074736,234.36,0.0,-60.00041288909263
11,G_IEEE1,131.83796670356685,250.0,60.0,-2.8346886128065325e-09
11,G_IEEE3,6.524848599204286e-08,270.0,67.15,0.0
11,RES_Wind_N1,39.37500037279382,39.375,0.0,-60.00000061863107
11,RES_PV_N6,133.87500131422996,133.875,0.0,-56.13516998536826
11,RES_PV_N8,332.0100032888736,332.01,0.0,-44.75912512536043
12,G_IEEE1,116.13499571679435,250.0,60.0,-7.973833997321492e-10
12,G_IEEE3,5.289497924528451e-08,270.0,67.15,0.0
12,RES_Wind_N1,36.75000034654382,36.75,0.0,-60.000000617393596
12,RES_PV_N6,167.34375164833313,167.34375,0.0,-54.64824332937178
12,RES_PV_N8,415.0125041147652,415.0125,0.0,-38.895462210697204
13,G_IEEE1,98.43375209057722,250.0,60.0,0.0
13,G_IEEE3,5.289497795145416e-08,270.0,67.15,0.0
13,RES_Wind_N1,39.37500037279382,39.375,0.0,-60.00000061217742
13,RES_PV_N6,187.03125184520812,187.03125,0.0,-54.64824325531802
13,RES_PV_N8,463.8375046030152,463.8375,0.0,-38.89546192624101
14,G_IEEE1,84.37155103865118,250.0,60.0,0.0
14,G_IEEE3,4.773095643147709e-08,270.0,67.15,0.0
14,RES_Wind_N1,44.62500042529382,44.625,0.0,-60.00000060514251
14,RES_PV_N6,192.9375019039519,192.9375,0.0,-54.6482431424686
14,RES_PV_N8,478.4850047468435,478.485,0.0,-38.89546149288197
15,G_IEEE1,80.19279951377894,250.0,60.0,0.0
15,G_IEEE3,5.289497900472955e-08,270.0,67.15,0.0
15,RES_Wind_N1,52.50000050404382,52.5,0.0,-60.00000059890814
15,RES_PV_N6,177.1875017467706,177.1875,0.0,-54.64824330269148
15,RES_PV_N8,439.42500435889025,439.425,0.0,-38.895462129754144
16,G_IEEE1,86.03445166660784,250.0,60.0,0.0
16,G_IEEE3,5.289498077581873e-08,270.0,67.15,0.0
16,RES_Wind_N1,60.375000582793824,60.375,0.0,-60.00000059762216
16,RES_PV_N6,141.7500013923956,141.75,0.0,-54.64824365677142
16,RES_PV_N8,351.54000348004024,351.54,0.0,-38.89546350980304
17,G_IEEE1,191.27249683494082,250.0,60.0,-2.5719124709187897e-08
17,G_IEEE3,1.8773517664042436e-07,270.0,67.15,0.0
17,RES_Wind_N1,68.25000066154382,68.25,0.0,-60.000000629715224
17,RES_PV_N6,98.43750096152236,98.4375,0.0,-60.00000062508724
17,RES_PV_N8,244.12500241839734,244.125,0.0,-60.000000608201475
18,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000046924076
18,G_IEEE3,39.747124533228906,270.0,67.15,0.0
18,RES_Wind_N1,76.1250007425252,76.125,0.0,-67.15000064984102
18,RES_PV_N6,55.12500053083066,55.125,0.0,-67.15000066879858
18,RES_PV_N8,136.71000134668068,136.71,0.0,-67.15000065577426
19,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000099397077
19,G_IEEE3,219.80989285633615,270.0,67.15,-3.824607263120478e-08
19,RES_Wind_N1,81.3750007950252,81.375,0.0,-67.15000070111581
19,RES_PV_N6,15.750000137080665,15.75,0.0,-67.15000079024404
19,RES_PV_N8,39.06000037018067,39.06,0.0,-67.15000078109067
20,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000172674391
20,G_IEEE3,247.62209047898727,270.0,67.15,-9.105196195993037e-08
20,RES_Wind_N1,86.6250008475252,86.625,0.0,-67.15000077334017
20,RES_PV_N6,1.9687499992681652,1.96875,0.0,-67.15000148687027
20,RES_PV_N8,4.882500028405666,4.8825,0.0,-67.15000113583926
21,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000151296957
21,G_IEEE3,240.0861749510849,270.0,67.15,-6.709598603137501e-08
21,RES_Wind_N1,89.25000087377519,89.25,0.0,-67.15000075148271
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
22,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000081383314
22,G_IEEE3,192.97348200401143,270.0,67.15,-1.3392390126645462e-08
22,RES_Wind_N1,91.8750009000252,91.875,0.0,-67.15000068111645
22,RES_PV_N6,0.0,0.0,0.0,
22,RES_PV_N8,0.0,0.0,0.0,
23,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000058036475
23,G_IEEE3,134.04708993646892,270.0,67.15,-1.8138816548717922e-09
23,RES_Wind_N1,94.50000092627519,94.5,0.0,-67.15000065734216
23,RES_PV_N6,0.0,0.0,0.0,
23,RES_PV_N8,0.0,0.0,0.0,
24,G_IEEE1,250.00000230226482,250.0,60.0,-7.150000047294965
24,G_IEEE3,94.11157493621201,270.0,67.15,0.0
24,RES_Wind_N1,95.8125009394002,95.8125,0.0,-67.15000064639571
24,RES_PV_N6,0.0,0.0,0.0,
24,RES_PV_N8,0.0,0.0,0.0,
