unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,2.9455446893637508e-05,-0.027959303409809552,-65.09081288285947
I3,1,N1,2.9407360485761574e-05,-0.028015589282301002,-65.09081288285947
I3,2,N1,2.9359273978224342e-05,-0.028030260289089223,-65.09081288285947
I3,3,N1,2.931118487636812e-05,-0.028033578019832056,-65.09081288285947
I3,4,N1,2.9263090685167645e-05,-0.028033987248646627,-65.09081288285947
I3,5,N1,2.9214988908256395e-05,-0.02803422956701735,-65.09081288285947
I3,6,N1,2.9166877049179428e-05,-0.02803513737940472,-65.09081288285947
I3,7,N1,2.9118752610687443e-05,-0.028040889810109704,-65.09081288285947
I3,8,N1,2.9070613094452473e-05,-0.02806006976448109,-65.09081288285947
I3,9,N1,2.9022456000938277e-05,-0.02812262110558026,-65.09081288285947
I3,10,N1,2.9118707811420967e-05,-0.027916247260154133,-65.09081288285947
I3,11,N1,2.9214939422061695e-05,-0.027993290608420672,-65.09081288285947
I3,12,N1,2.9311156400772038e-05,-0.028020029826399243,-65.09081288285947
I3,13,N1,2.940736599224605e-05,-0.028030928517217606,-65.09081288285947
I3,14,N1,2.950357543919682e-05,-0.028036982033710352,-65.09081288285947
I3,15,N1,2.959979198419822e-05,-0.028041917140244663,-65.09081288285947
I3,16,N1,2.969602287178256e-05,-0.02804799380528971,-65.09081288285947
I3,17,N1,2.979227534968368e-05,-0.028060179440654157,-65.09081288285947
I3,18,N1,2.974411735877777e-05,-0.02805020197500138,-65.09081288285947
I3,19,N1,2.969597674563718e-05,-0.028046529807032212,-65.09081288285947
I3,20,N1,2.9647851009658263e-05,-0.028044819089100323,-65.09081288285947
I3,21,N1,2.9599737653013808e-05,-0.028044304476313186,-65.09081288285947
I3,22,N1,2.955163417916852e-05,-0.028046772892985353,-65.09081288285947
I3,23,N1,2.9503538091310874e-05,-0.028062692749058524,-65.09081288285947
I3,24,N1,2.9455446893637508e-05,-0.028118507345246978,-65.09081288285947
I3,0,N2,2.929056952104696e-05,-0.028077963042768585,-68.50125572296922
I3,1,N2,2.9305609578655563e-05,-0.02813685694608268,-68.50125572296922
I3,2,N2,2.9320649201074e-05,-0.02815349215164674,-68.50125572296922
I3,3,N2,2.9335689067738164e-05,-0.028158543778692938,-68.50125572296922
I3,4,N2,2.9350729858020438e-05,-0.0281604806475639,-68.50125572296922
I3,5,N2,2.9365772250646793e-05,-0.028161779616911464,-68.50125572296922
I3,6,N2,2.9380816925007794e-05,-0.028164249421179156,-68.50125572296922
I3,7,N2,2.9395864560726442e-05,-0.028170194657098253,-68.50125572296922
I3,8,N2,2.9410915837752947e-05,-0.02819099071968949,-68.50125572296922
I3,9,N2,2.942597143670934e-05,-0.02826593264016994,-68.50125572296922
I3,10,N2,2.9708222260371336e-05,-0.02813159590973481,-68.50125572296922
I3,11,N2,2.965944349176343e-05,-0.02812921011737939,-68.50125572296922
I3,12,N2,2.9522936434717983e-05,-0.028159254553027153,-68.50125572296922
I3,13,N2,2.9386449500451603e-05,-0.02819660094383184,-68.50125572296922
I3,14,N2,2.917591968793566e-05,-0.02810182460204063,-68.50125572296922
I3,15,N2,2.9039426161941373e-05,-0.028129957721896193,-68.50125572296922
I3,16,N2,2.8902905914534762e-05,-0.028070991174843275,-68.50125572296922
I3,17,N2,2.918521205083721e-05,-0.02816473677278692,-68.50125572296922
I3,18,N2,2.920027529980663e-05,-0.028162401010226032,-68.50125572296922
I3,19,N2,2.9215333353126028e-05,-0.028159924976525995,-68.50125572296922
I3,20,N2,2.9230386891946336e-05,-0.028158877729347352,-68.50125572296922
I3,21,N2,2.9245436598535552e-05,-0.02815956017584754,-68.50125572296922
I3,22,N2,2.926048315293908e-05,-0.02816378927568558,-68.50125572296922
I3,23,N2,2.9275527234014036e-05,-0.028180494162143976,-68.50125572296922
I3,24,N2,2.929056952104696e-05,-0.02823915393807256,-68.50125572296922
