hour,lambda_system,system_net_injection_residual_mw
1,67.150000634887,6.229942702026861e-14
2,67.15000062453987,1.909133209129179e-14
3,67.15000061279939,-3.827173483212461e-14
4,67.15000060278834,-2.001022603662428e-14
5,67.1500006158907,5.1046230832981736e-14
6,67.15000063727155,-1.63149474748478e-14
7,67.15000066064125,-2.0726349406605717e-14
8,67.15000066999555,-5.3743197679995833e-14
9,67.15000065195953,1.4373346690154296e-14
10,60.00041289144715,-3.722416915071357e-15
11,60.000000592724874,3.058957238897282e-14
12,60.000000588922674,1.9264665095352203e-14
13,60.00000058627123,-1.4639275019902834e-14
14,60.00000058346057,-5.511335249108922e-14
15,60.00000058197849,2.4791205569216652e-14
16,60.000000584205075,5.3988731626896415e-14
17,60.00000061900011,1.0919232279949115e-13
18,67.15000064126885,7.359571480437207e-15
19,67.15000069374184,-5.2424087688194726e-14
20,67.15000076701916,5.2792088305587295e-14
21,67.15000074564173,-3.6117637072156076e-17
22,67.15000067572808,4.370840319122636e-14
23,67.15000065238125,1.685596107004795e-14
24,67.15000064163974,-4.57043206055547e-14
