hour,lambda_system,system_net_injection_residual_mw
1,67.15000059647176,2.1860006259461154e-14
2,67.15000057287496,3.0106970046848985e-15
3,67.15000054361431,7.473265576278269e-15
4,67.15000051667062,-3.603967946841324e-15
5,67.15000055168382,-1.1674643822645021e-14
6,67.15000060157271,-5.6091846731850066e-14
7,67.15000064911733,6.010834894002347e-14
8,67.15000066562216,-7.147852743152242e-15
9,67.15000062419541,2.940285422254527e-14
10,60.00000074776739,5.811064584789342e-15
11,60.00000058479259,1.8023093783327065e-14
12,60.00000056666955,2.8709746795766095e-14
13,60.00000055331601,-3.7337319570516505e-14
14,60.000000533453,4.043900165155213e-14
15,60.000000518922555,2.3736024942495786e-14
16,60.000000559177046,-5.752003560827789e-14
17,60.00000062184912,4.673801666508493e-14
18,67.15000059507861,-3.923329024697261e-14
19,67.15000063882587,-5.307225390260297e-14
20,67.15000079394423,4.9985780033437503e-14
21,67.15000080237053,2.0696229120142146e-14
22,67.1500006700826,5.479840376402723e-14
23,67.15000062930935,-8.918936329970269e-14
24,67.1500006073571,-7.62902913376439e-14
