unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,8.392722181599539e-08,-0.029826686444516408,-65.09269608517924
I3,1,N1,8.425640287990979e-08,-0.029891365538342998,-65.09269608517924
I3,2,N1,8.449183452196114e-08,-0.02995256605019294,-65.09269608517924
I3,3,N1,8.468556548835161e-08,-0.030011276198272784,-65.09269608517924
I3,4,N1,8.48583018073065e-08,-0.030067816895408633,-65.09269608517924
I3,5,N1,8.501635716953208e-08,-0.030122376998529463,-65.09269608517924
I3,6,N1,8.515709596059219e-08,-0.030175080009959724,-65.09269608517924
I3,7,N1,8.526766219691012e-08,-0.030226001703210666,-65.09269608517924
I3,8,N1,8.531614880804989e-08,-0.03027496750263579,-65.09269608517924
I3,9,N1,8.522807021561948e-08,-0.03032080604109817,-65.09269608517924
I3,10,N1,8.51548135519485e-08,-0.030226340745919258,-65.09269608517924
I3,11,N1,8.495108933480038e-08,-0.030123231955047187,-65.09269608517924
I3,12,N1,8.469490991915885e-08,-0.030011860836604443,-65.09269608517924
I3,13,N1,8.442221489077286e-08,-0.029891669968683268,-65.09269608517924
I3,14,N1,8.415362714357898e-08,-0.029761841346518006,-65.09269608517924
I3,15,N1,8.390906133372729e-08,-0.029621452612595245,-65.09269608517924
I3,16,N1,8.372183501415578e-08,-0.029469721182725804,-65.09269608517924
I3,17,N1,8.36635864869459e-08,-0.02930681631862896,-65.09269608517924
I3,18,N1,8.357432546055208e-08,-0.029389591399792435,-65.09269608517924
I3,19,N1,8.361690487866224e-08,-0.029470357149224274,-65.09269608517924
I3,20,N1,8.372316008007e-08,-0.02954808450532986,-65.09269608517924
I3,21,N1,8.3866775905428e-08,-0.029622630311896964,-65.09269608517924
I3,22,N1,8.404369774409141e-08,-0.029694186182621995,-65.09269608517924
I3,23,N1,8.426998091650321e-08,-0.029763122189442926,-65.09269608517924
I3,24,N1,8.459545761337524e-08,-0.0298305726869658,-65.09269608517924
I3,0,N2,6.545917295006706e-08,-0.0371417948337558,-68.36130537575916
I3,1,N2,6.564958261979708e-08,-0.037125200568227795,-68.36130537575916
I3,2,N2,6.57092282248094e-08,-0.03710584274537464,-68.36130537575916
I3,3,N2,6.571425980352252e-08,-0.03708566970724435,-68.36130537575916
I3,4,N2,6.56947141352448e-08,-0.03706504167111809,-68.36130537575916
I3,5,N2,6.566169360575816e-08,-0.03704399240520829,-68.36130537575916
I3,6,N2,6.561683345415303e-08,-0.03702240116913809,-68.36130537575916
I3,7,N2,6.555363428524533e-08,-0.03699979340519233,-68.36130537575916
I3,8,N2,6.545193064553413e-08,-0.036974083116522984,-68.36130537575916
I3,9,N2,6.52598625225971e-08,-0.036935507920581145,-68.36130537575916
I3,10,N2,6.540964729686433e-08,-0.03616528385806264,-68.36130537575916
I3,11,N2,6.539592783365357e-08,-0.03643201736863609,-68.36130537575916
I3,12,N2,6.55523189565236e-08,-0.03680398304004541,-68.36130537575916
I3,13,N2,6.585022810693397e-08,-0.03710788769547342,-68.36130537575916
I3,14,N2,6.616013090181093e-08,-0.03740130982113919,-68.36130537575916
I3,15,N2,6.634305745252519e-08,-0.03757358589842334,-68.36130537575916
I3,16,N2,6.633497081310712e-08,-0.037746584547943184,-68.36130537575916
I3,17,N2,6.644849659894665e-08,-0.037299109607870244,-68.36130537575916
I3,18,N2,6.624160775764984e-08,-0.03726460108980801,-68.36130537575916
I3,19,N2,6.613551488350656e-08,-0.03724243416824561,-68.36130537575916
I3,20,N2,6.60753139198814e-08,-0.03722288952716957,-68.36130537575916
I3,21,N2,6.604322745742784e-08,-0.03720379124093369,-68.36130537575916
I3,22,N2,6.604237684440366e-08,-0.03718477532186686,-68.36130537575916
I3,23,N2,6.609950097951957e-08,-0.03716611266674841,-68.36130537575916
I3,24,N2,6.628939752221661e-08,-0.03714992532268279,-68.36130537575916
I3,0,N3,1.5286088668874223e-07,-0.020415623447337543,-56.082460095885246
I3,1,N3,1.4206749123196797e-07,-0.018966020990123587,-56.082460095885246
I3,2,N3,1.3117719816455805e-07,-0.017705368533848416,-56.082460095885246
I3,3,N3,1.2014798167564442e-07,-0.016592107776664655,-56.082460095885246
I3,4,N3,1.0891598414860606e-07,-0.015594681891919758,-56.082460095885246
I3,5,N3,9.738900858153225e-08,-0.014688048210650765,-56.082460095885246
I3,6,N3,8.543057752594914e-08,-0.013851074488606951,-56.082460095885246
I3,7,N3,7.28248654914958e-08,-0.013064183129492962,-56.082460095885246
I3,8,N3,5.919086759896815e-08,-0.012306296288570986,-56.082460095885246
I3,9,N3,4.372097746376588e-08,-0.011548453753004572,-56.082460095885246
I3,10,N3,4.162543804818203e-08,-0.011555029081862048,-56.082460095885246
I3,11,N3,3.823484668520536e-08,-0.01155979920766239,-56.082460095885246
I3,12,N3,9.34412402173282e-08,-0.014493283531947256,-56.082460095885246
I3,13,N3,1.4474853157182243e-07,-0.019014798597532016,-56.082460095885246
I3,14,N3,1.969198387264196e-07,-0.02759994252690551,-56.082460095885246
I3,15,N3,2.543901125404413e-07,-0.05321214256583894,-56.082460095885246
I3,16,N3,2.4844973832704263e-07,-0.05334658606693196,-56.082460095885246
I3,17,N3,2.447528705957344e-07,-0.0533838358672743,-56.082460095885246
I3,18,N3,2.2842203496208122e-07,-0.04151779188791983,-56.082460095885246
I3,19,N3,2.1433856090858465e-07,-0.03471295584731583,-56.082460095885246
I3,20,N3,2.0148708383027257e-07,-0.030155076170108604,-56.082460095885246
I3,21,N3,1.8939439534809077e-07,-0.026821966890637698,-56.082460095885246
I3,22,N3,1.7780684723365433e-07,-0.024242381323577096,-56.082460095885246
I3,23,N3,1.665778447884644e-07,-0.02216542980065227,-56.082460095885246
I3,24,N3,1.556235762288855e-07,-0.020444022677621042,-56.082460095885246
I3,0,N4,8.814223293585054e-08,-0.02855775846674618,-65.0928327047547
I3,1,N4,8.846364328421825e-08,-0.02861482450150892,-65.0928327047547
I3,2,N4,8.869198750974054e-08,-0.02866905282374998,-65.0928327047547
I3,3,N4,8.887793953096721e-08,-0.028721246622264603,-65.0928327047547
I3,4,N4,8.904211962248461e-08,-0.0287716739664008,-65.0928327047547
I3,5,N4,8.919099063703618e-08,-0.02882047816652447,-65.0928327047547
I3,6,N4,8.932211086519132e-08,-0.02886774865267366,-65.0928327047547
I3,7,N4,8.942300715301063e-08,-0.028913534907840786,-65.0928327047547
I3,8,N4,8.94629427694591e-08,-0.028957652966039377,-65.0928327047547
I3,9,N4,8.937133648665882e-08,-0.02899903976081444,-65.0928327047547
I3,10,N4,8.931246319580859e-08,-0.028913730394835267,-65.0928327047547
I3,11,N4,8.912736452289657e-08,-0.028821130100227327,-65.0928327047547
I3,12,N4,8.889008531597176e-08,-0.028721708039059254,-65.0928327047547
I3,13,N4,8.863561782884785e-08,-0.028615097503388382,-65.0928327047547
I3,14,N4,8.838452597412851e-08,-0.02850071487093584,-65.0928327047547
I3,15,N4,8.815678494352936e-08,-0.028377897954112743,-65.0928327047547
I3,16,N4,8.798522962335399e-08,-0.028246150927014123,-65.0928327047547
I3,17,N4,8.793874556811792e-08,-0.028105849514574194,-65.0928327047547
I3,18,N4,8.784669597952669e-08,-0.02817690348071396,-65.0928327047547
I3,19,N4,8.788265861973204e-08,-0.02824659112513134,-65.0928327047547
I3,20,N4,8.798151934084417e-08,-0.028313953378019306,-65.0928327047547
I3,21,N4,8.811783496887291e-08,-0.028378819663204352,-65.0928327047547
I3,22,N4,8.828784916800023e-08,-0.028441330179261322,-65.0928327047547
I3,23,N4,8.850755858878622e-08,-0.02850177005122448,-65.0928327047547
I3,24,N4,8.882544047868995e-08,-0.028561096638547553,-65.0928327047547
I3,0,N5,5.843675719293833e-07,-0.005692305225314787,-66.32126465115863
I3,1,N5,5.843756614510679e-07,-0.005691952539337964,-66.32126465115863
I3,2,N5,5.843811622796915e-07,-0.005691450092972354,-66.32126465115863
I3,3,N5,5.843841689112288e-07,-0.005691209535481019,-66.32126465115863
I3,4,N5,5.84384763837352e-07,-0.005690823946938814,-66.32126465115863
I3,5,N5,5.843830180029357e-07,-0.005690498672876713,-66.32126465115863
I3,6,N5,5.843789912081655e-07,-0.00569023480366225,-66.32126465115863
I3,7,N5,5.843727324560583e-07,-0.005689872182512185,-66.32126465115863
I3,8,N5,5.843642802479065e-07,-0.005689523122350674,-66.32126465115863
I3,9,N5,5.843536628278325e-07,-0.005689001277930243,-66.32126465115863
I3,10,N5,5.847143630114055e-07,-0.00568714202310244,-66.32126465115863
I3,11,N5,5.848454308495839e-07,-0.005690019199860104,-66.32126465115863
I3,12,N5,5.849177934963589e-07,-0.0056903757044785026,-66.32126465115863
I3,13,N5,5.849900701396174e-07,-0.005690870186732849,-66.32126465115863
I3,14,N5,5.85062541658589e-07,-0.005692116700485615,-66.32126465115863
I3,15,N5,5.851355266257405e-07,-0.005692676519991356,-66.32126465115863
I3,16,N5,5.852676350234875e-07,-0.005695324032600875,-66.32126465115863
I3,17,N5,5.856297990269811e-07,-0.005693576286460339,-66.32126465115863
I3,18,N5,5.856210754130572e-07,-0.00569310111635006,-66.32126465115863
I3,19,N5,5.856149561734685e-07,-0.0056927443353353355,-66.32126465115863
I3,20,N5,5.856114808626019e-07,-0.0056925922449199366,-66.32126465115863
I3,21,N5,5.856107014764799e-07,-0.005692377688847386,-66.32126465115863
I3,22,N5,5.856126827606991e-07,-0.0056919738864354575,-66.32126465115863
I3,23,N5,5.856175025821239e-07,-0.0056916777652496415,-66.32126465115863
