unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I3,1,N1,8.392722181599539e-08,8.425640287990979e-08,-9.799890004394102e-09,-9.725408078839984e-09,7.448192555411809e-11,67.1500007595015,5.0014613575281635e-09,-1.4643973562425566e-07,-0.055177782334551444,-0.05500144553081529,-65.09257308610485
I3,2,N1,8.425640287990979e-08,8.449183452196114e-08,-9.79989122826044e-09,-9.725405653108831e-09,7.448557515160903e-11,67.15000077701039,5.001706429306612e-09,-1.4643972661026955e-07,-0.05517741898500829,-0.05500185570008293,-65.092577234803
I3,3,N1,8.449183452196114e-08,8.468556548835161e-08,-9.799890516859274e-09,-9.725407270942997e-09,7.44832459162777e-11,67.1500007894314,5.001550022077461e-09,-1.4643973340851705e-07,-0.05517741753885319,-0.05500179131887858,-65.09270635726301
I3,4,N1,8.468556548835161e-08,8.48583018073065e-08,-9.799888202181465e-09,-9.72541227224478e-09,7.44759299366845e-11,67.15000079389878,5.001058754374714e-09,-1.4643975355819684e-07,-0.05517753774931207,-0.05500151968233739,-65.09296027998252
I3,5,N1,8.48583018073065e-08,8.501635716953208e-08,-9.799884460517799e-09,-9.725420306821986e-09,7.446415369581263e-11,67.1500007797977,5.0002679787407935e-09,-1.464397857550484e-07,-0.055177750598091435,-0.05500107559020346,-65.09333949461829
I3,6,N1,8.501635716953208e-08,8.515709596059219e-08,-9.799879421483612e-09,-9.725431117675542e-09,7.444830380807005e-11,67.15000074547982,4.999203656211611e-09,-1.4643982904369366e-07,-0.05517803002569008,-0.05500048875969352,-65.09384490998987
I3,7,N1,8.515709596059219e-08,8.526766219691012e-08,-9.799873236314452e-09,-9.725444405065881e-09,7.442883124857131e-11,67.15000069194913,4.997896069842529e-09,-1.4643988231035248e-07,-0.05517836706766171,-0.054999774608022724,-65.09447773519926
I3,8,N1,8.526766219691012e-08,8.531614880804989e-08,-9.79986615577521e-09,-9.725459671768917e-09,7.440648400629254e-11,67.15000065680042,4.9963954498927536e-09,-1.4643994370658095e-07,-0.055178681807444695,-0.05499902384266511,-65.09523938431697
I3,9,N1,8.531614880804989e-08,8.522807021561948e-08,-9.799858673625351e-09,-9.725475937786652e-09,7.43827358386993e-11,67.15000065920506,4.994800760602134e-09,-1.4644000958559002e-07,-0.055178562667957884,-0.05499867944135632,-65.09613104671752
I3,10,N1,8.522807021561948e-08,8.51548135519485e-08,-9.581952180852047e-09,-9.839919164966219e-09,-2.579669841141725e-10,60.00000040672862,-1.5478019151772903e-08,-1.45664035093637e-07,-0.05461057435104643,-0.05528841063449695,-65.0971515241365
I3,11,N1,8.51548135519485e-08,8.495108933480038e-08,-9.581925392696528e-09,-9.83992372970148e-09,-2.5799833700495125e-10,60.00000050374218,-1.547990035026172e-08,-1.4566386841798508e-07,-0.05461204894001451,-0.05528831906395732,-65.09791377128231
I3,12,N1,8.495108933480038e-08,8.469490991915885e-08,-9.581905775584112e-09,-9.839927038346228e-09,-2.5802126276211543e-10,60.000000535556936,-1.5481275903912004e-08,-1.4566374610447755e-07,-0.05461309603212983,-0.05528824213067281,-65.09842096782793
I3,13,N1,8.469490991915885e-08,8.442221489077286e-08,-9.581895359226849e-09,-9.839928786455552e-09,-2.580334272287034e-10,60.000000548231746,-1.5482005775184318e-08,-1.45663681092618e-07,-0.054613665335038204,-0.05528815650488087,-65.09867609331604
I3,14,N1,8.442221489077286e-08,8.415362714357898e-08,-9.581894905789123e-09,-9.839928858700412e-09,-2.5803395291128843e-10,60.00000055789198,-1.548203731863238e-08,-1.456636782336715e-07,-0.0546136752192999,-0.05528815779191352,-65.09868086531901
I3,15,N1,8.415362714357898e-08,8.390906133372729e-08,-9.581904445990778e-09,-9.839927250415635e-09,-2.580228044248575e-10,60.000000565031165,-1.5481368411282376e-08,-1.4566373772304807e-07,-0.054613102188128086,-0.055288263909018996,-65.09843530316788
I3,16,N1,8.390906133372729e-08,8.372183501415578e-08,-9.581923299236264e-09,-9.839924064498369e-09,-2.5800076526210514e-10,60.00000054305675,-1.5480046055835365e-08,-1.4566385522800976e-07,-0.05461204061046845,-0.05528837259545144,-65.09793766746414
I3,17,N1,8.372183501415578e-08,8.36635864869459e-08,-9.581949614593901e-09,-9.839919581741088e-09,-2.57969967147187e-10,60.00000044012781,-1.5478198142370977e-08,-1.4566401897251242e-07,-0.054610892992101805,-0.055288040747119814,-65.09718490539629
I3,18,N1,8.36635864869459e-08,8.357432546055208e-08,-9.799858110701025e-09,-9.725477128559757e-09,7.43809821412684e-11,67.1500008146911,4.994683011383697e-09,-1.4644001429445587e-07,-0.05517857780276716,-0.054998641311857895,-65.09617469679745
I3,19,N1,8.357432546055208e-08,8.361690487866224e-08,-9.799865497467112e-09,-9.725461068282723e-09,7.440442918438891e-11,67.1500007216049,4.996257473422316e-09,-1.4643994924312377e-07,-0.0551787113100895,-0.0549989634008437,-65.09529321328314
I3,20,N1,8.361690487866224e-08,8.372316008007e-08,-9.799872408156207e-09,-9.725446155066599e-09,7.442625308960785e-11,67.15000068115161,4.9977229456627294e-09,-1.4643988922417103e-07,-0.0551784889363519,-0.05499962648338481,-65.09454156417222
I3,21,N1,8.372316008007e-08,8.3866775905428e-08,-9.799878349125123e-09,-9.725433368781284e-09,7.444498034383857e-11,67.15000067412815,4.998980480274217e-09,-1.4643983788429805e-07,-0.05517818785064594,-0.05500030550586131,-65.09391872259343
I3,22,N1,8.3866775905428e-08,8.404369774409141e-08,-9.799883030374397e-09,-9.725423284702999e-09,7.445974567139828e-11,67.15000069321488,4.9999719734509975e-09,-1.4643979736308047e-07,-0.055177951320994185,-0.05500084296615655,-65.09342331464872
I3,23,N1,8.404369774409141e-08,8.426998091650321e-08,-9.79988619635192e-09,-9.725416409879216e-09,7.446978647270391e-11,67.150000721275,5.000646215355263e-09,-1.4643976954673352e-07,-0.05517785175073437,-0.05500116081317945,-65.09305427229236
I3,24,N1,8.426998091650321e-08,8.459545761337524e-08,-9.799887474111307e-09,-9.725413485515017e-09,7.447398859628964e-11,67.15000074400177,5.000928389649629e-09,-1.4643975719719742e-07,-0.05517814820942347,-0.0550009528242336,-65.09281122735416
I3,1,N2,6.545917295006706e-08,6.564958261979708e-08,-9.742594477521608e-09,-9.796766104537256e-09,-5.4171627015647796e-11,67.15000048958247,-3.6376247806222283e-09,-1.4654520436544148e-07,-0.06813083726487659,-0.06838365384158127,-68.36133525790741
I3,2,N2,6.564958261979708e-08,6.57092282248094e-08,-9.742598309230665e-09,-9.796763583531276e-09,-5.4165274300611527e-11,67.15000050400748,-3.6371981965857674e-09,-1.4654521419571453e-07,-0.06813011262613151,-0.06838447859620256,-68.36133177021505
I3,3,N2,6.57092282248094e-08,6.571425980352252e-08,-9.742601004926016e-09,-9.796761771548132e-09,-5.4160766622115805e-11,67.15000051334619,-3.6368955064782994e-09,-1.465452208235561e-07,-0.06812990172614286,-0.06838469293963367,-68.3612898911266
I3,4,N2,6.571425980352252e-08,6.56947141352448e-08,-9.742603657141454e-09,-9.796759951837822e-09,-5.4156294696367934e-11,67.15000051575942,-3.6365952167927257e-09,-1.4654522706734457e-07,-0.06812973794422558,-0.06838482313047664,-68.36120853359677
I3,5,N2,6.56947141352448e-08,6.566169360575816e-08,-9.742606764768229e-09,-9.796757796974983e-09,-5.4151032206753784e-11,67.15000050371302,-3.6362418399600966e-09,-1.465452342130741e-07,-0.06812953358676746,-0.068384971803649,-68.36108734116435
I3,6,N2,6.566169360575816e-08,6.561683345415303e-08,-9.742610605756765e-09,-9.796755124469125e-09,-5.4144518712360464e-11,67.15000047556249,-3.6358044572841074e-09,-1.4654524297669418e-07,-0.06812923452881377,-0.06838519850356951,-68.36092603052509
I3,7,N2,6.561683345415303e-08,6.555363428524533e-08,-9.742615425440244e-09,-9.796751773110569e-09,-5.413634767032486e-11,67.15000043232473,-3.635255769466796e-09,-1.4654525398913107e-07,-0.06812871746751098,-0.0683856410841178,-68.36072408501427
I3,8,N2,6.555363428524533e-08,6.545193064553413e-08,-9.74262159917317e-09,-9.796747496239968e-09,-5.4125897066798145e-11,67.15000040747935,-3.634554010090681e-09,-1.4654526821559854e-07,-0.06812753501662484,-0.06838684446961632,-68.36048003305756
I3,9,N2,6.545193064553413e-08,6.52598625225971e-08,-9.742629902747094e-09,-9.796741783843193e-09,-5.4111881096098303e-11,67.15000042016317,-3.6336128383388204e-09,-1.4654528764942715e-07,-0.06812314798004604,-0.06839162039650283,-68.36018826924979
I3,10,N2,6.52598625225971e-08,6.540964729686433e-08,-9.218859618474958e-09,-9.86708407630989e-09,-6.482244578349322e-10,60.000000187357315,-3.8893467591545526e-08,-1.4314457771088635e-07,-0.06468869587210281,-0.06870743046100519,-68.35982368542001
I3,11,N2,6.540964729686433e-08,6.539592783365357e-08,-9.801821190627254e-09,-9.733991361206072e-09,6.782982942118288e-11,70.3342227228476,4.770758329762237e-09,-1.4651859413874995e-07,-0.068574533423944,-0.06793287279408843,-68.35824208119756
I3,12,N2,6.539592783365357e-08,6.55523189565236e-08,-9.846016785434008e-09,-9.567212734546663e-09,2.788040508873447e-10,74.31013403087586,2.071796638978972e-08,-1.4559922139985502e-07,-0.06863079400397606,-0.06718587886438579,-68.3571029042662
I3,13,N2,6.55523189565236e-08,6.585022810693397e-08,-9.846019204373604e-09,-9.567189996411823e-09,2.78829207961781e-10,74.31013400276602,2.071983580752506e-08,-1.455990690058907e-07,-0.0686328316644628,-0.06718634220311084,-68.35651898122944
I3,14,N2,6.585022810693397e-08,6.616013090181093e-08,-9.846026643380837e-09,-9.567129991773418e-09,2.788966516074184e-10,74.31013428906225,2.0724847633717073e-08,-1.455986747636569e-07,-0.0686843653351829,-0.06713706343340983,-68.3564809022543
I3,15,N2,6.616013090181093e-08,6.634305745252519e-08,-9.846016589455483e-09,-9.56721432126145e-09,2.788022681940338e-10,74.31013416672333,2.0717833955485435e-08,-1.45599231830377e-07,-0.06862653220365295,-0.06719016408145229,-68.35709116748171
I3,16,N2,6.634305745252519e-08,6.633497081310712e-08,-9.801821162578923e-09,-9.733991404217472e-09,6.78297583614515e-11,70.33422295419847,4.770753347523737e-09,-1.4651859425097295e-07,-0.06857303475264753,-0.06793418295508263,-68.35823356932292
I3,17,N2,6.633497081310712e-08,6.644849659894665e-08,-9.218869161106812e-09,-9.867083802571476e-09,-6.482146414646641e-10,60.000000236789695,-3.8892878641370393e-08,-1.4314464722758716e-07,-0.06468858244172546,-0.06870712161391673,-68.35981300260791
I3,18,N2,6.644849659894665e-08,6.624160775764984e-08,-9.742630382267161e-09,-9.796741458023739e-09,-5.411107575657771e-11,67.1500005592052,-3.6335587673133882e-09,-1.4654528880218174e-07,-0.06812304259142794,-0.06839171081709321,-68.36017520003976
I3,19,N2,6.624160775764984e-08,6.613551488350656e-08,-9.742621822312276e-09,-9.79674733701619e-09,-5.4125514703914914e-11,67.15000046213154,-3.6345283373809943e-09,-1.4654526869496352e-07,-0.06812747757164646,-0.06838686515298266,-68.36046405246748
I3,20,N2,6.613551488350656e-08,6.60753139198814e-08,-9.742615434208494e-09,-9.7967517529691e-09,-5.413631876060564e-11,67.15000041756029,-3.635253827379846e-09,-1.4654525390383194e-07,-0.0681287817022963,-0.06838556865487369,-68.36070491581992
I3,21,N2,6.60753139198814e-08,6.604322745742784e-08,-9.742610306579489e-09,-9.796755304938331e-09,-5.414499835884215e-11,67.15000040839199,-3.6358366619086342e-09,-1.4654524208638365e-07,-0.06812929236937418,-0.06838512793203157,-68.36090363594951
I3,22,N2,6.604322745742784e-08,6.604237684440366e-08,-9.74260587411956e-09,-9.79675836417519e-09,-5.415249005563037e-11,67.15000042537376,-3.6363397302706276e-09,-1.4654523178721062e-07,-0.06812964530539518,-0.06838484856250972,-68.3610616745285
I3,23,N2,6.604237684440366e-08,6.609950097951957e-08,-9.742601508891249e-09,-9.796761342717617e-09,-5.415983382636796e-11,67.15000045136107,-3.6368328658862487e-09,-1.465452213870665e-07,-0.06813000136212932,-0.0683845320381875,-68.36117976056167
I3,24,N2,6.609950097951957e-08,6.628939752221661e-08,-9.74259605891714e-09,-9.796764996385978e-09,-5.4168937468837524e-11,67.15000047305394,-3.6374441766572687e-09,-1.4654520791477338e-07,-0.06813093735825644,-0.06838352480117621,-68.36125916334915
I3,1,N3,1.5286088668874223e-07,1.4206749123196797e-07,-9.876075893825766e-09,-1.2864427051610044e-09,8.589633188664762e-09,67.15000057552169,5.76793873562359e-07,-8.371888949240078e-08,-0.0327385186769883,-0.0368481668254155,-56.08506225315652
I3,2,N3,1.4206749123196797e-07,1.3117719816455805e-07,-9.876077330235863e-09,-1.2832881295705148e-09,8.59278920066535e-09,67.15000058273007,5.770057998319549e-07,-8.369524094854783e-08,-0.032736649941435894,-0.036852407947220035,-56.08494150800663
I3,3,N3,1.3117719816455805e-07,1.2014798167564442e-07,-9.876092185476917e-09,-1.1981008293244213e-09,8.677991356152496e-09,67.15000058739425,5.827271246630423e-07,-8.305644761101003e-08,-0.032736945181798455,-0.03689648614940708,-56.082088116409636
I3,4,N3,1.2014798167564442e-07,1.0891598414860606e-07,-9.876121069054302e-09,-1.0223664760293896e-09,8.853754593024913e-09,67.15000058859665,5.945296261329132e-07,-8.173865658812769e-08,-0.03273896772716867,-0.03698568525837254,-56.07638811307476
