hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000055974799
1,G_IEEE3,79.33576631704983,270.0,67.15,9.17337256863684e-09
1,RES_Wind_N1,94.50000094275505,94.5,0.0,-67.15000064697061
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
2,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000051893251
2,G_IEEE3,55.79719902615457,270.0,67.15,9.263153093126386e-09
2,RES_Wind_N1,98.43750098213006,98.4375,0.0,-67.15000064282502
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
3,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000048872774
3,G_IEEE3,38.92755588282172,270.0,67.15,9.318139202273323e-09
3,RES_Wind_N1,102.37500102150506,102.375,0.0,-67.15000063974544
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
4,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000049658592
4,G_IEEE3,29.61693968772973,270.0,67.15,9.348075340590384e-09
4,RES_Wind_N1,105.00000104775505,105.0,0.0,-67.15000064049433
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
5,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000051798135
5,G_IEEE3,43.26251964009215,270.0,67.15,9.302629609821395e-09
5,RES_Wind_N1,102.37500102150506,102.375,0.0,-67.1500006426708
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
6,G_IEEE1,250.0000024788452,250.0,60.0,-7.1500000564567525
6,G_IEEE3,86.92636426384188,270.0,67.15,9.115843092669648e-09
6,RES_Wind_N1,94.50000094275505,94.5,0.0,-67.15000064745256
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
7,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000067929861
7,G_IEEE3,159.50572289505348,270.0,67.15,8.549150772711506e-09
7,RES_Wind_N1,81.37500081150506,81.375,0.0,-67.15000065918385
7,RES_PV_N6,4.795875045735917,4.795875,0.0,-67.15000069075347
7,RES_PV_N8,8.906625086843416,8.906625,0.0,-67.15000067784445
8,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000072945118
8,G_IEEE3,173.67237434570887,270.0,67.15,8.60484734813218e-09
8,RES_Wind_N1,68.25000068025506,68.25,0.0,-67.15000066455657
8,RES_PV_N6,23.979375237570917,23.979375,0.0,-67.15000067001435
8,RES_PV_N8,44.53312544310842,44.533125,0.0,-67.15000067165238
9,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000055721441
9,G_IEEE3,65.83694817301354,270.0,67.15,9.087360154379058e-09
9,RES_Wind_N1,55.125000549005044,55.125,0.0,-67.1500006478606
9,RES_PV_N6,67.14225066919967,67.14225,0.0,-67.15000064835287
9,RES_PV_N8,124.69275124470467,124.69275,0.0,-67.15000064236952
10,G_IEEE1,234.05249641174382,250.0,60.0,-3.2480215121390564e-09
10,G_IEEE3,1.1154797547068846e-08,270.0,67.15,9.439789621149064e-09
10,RES_Wind_N1,45.93750045686251,45.9375,0.0,-60.00000059590699
10,RES_PV_N6,115.10100114852226,115.101,0.0,-60.000000594468524
10,RES_PV_N8,213.75900213510224,213.759,0.0,-60.00000059388866
11,G_IEEE1,110.05397948846294,250.0,60.0,8.905482412642515e-09
11,G_IEEE3,-1.7001287361083356e-09,270.0,67.15,9.439789621175673e-09
11,RES_Wind_N1,39.375000391237506,39.375,0.0,-60.00000058358321
11,RES_PV_N6,163.05975162793737,163.05975,0.0,-56.135170364680796
11,RES_PV_N8,302.8252530249107,302.82525,0.0,-44.75912664673336
12,G_IEEE1,69.43531705712155,250.0,60.0,9.161064954248602e-09
12,G_IEEE3,-3.2728550889964985e-09,270.0,67.15,9.43978962117902e-09
12,RES_Wind_N1,36.75000036498751,36.75,0.0,-60.00000058278483
12,RES_PV_N6,203.82468953551387,203.8246875,0.0,-54.648758173290936
12,RES_PV_N8,378.5315662814653,378.5315625,0.0,-38.89749249944228
13,G_IEEE1,53.24564242830086,250.0,60.0,9.230237818557748e-09
13,G_IEEE3,-3.2728479171615105e-09,270.0,67.15,9.439789621178942e-09
13,RES_Wind_N1,39.375000391237506,39.375,0.0,-60.0000005817841
13,RES_PV_N6,227.8040647753076,227.8040625,0.0,-54.64824336662392
13,RES_PV_N8,423.0646917267965,423.0646875,0.0,-38.8954623750853
14,G_IEEE1,40.89846136462893,250.0,60.0,9.275708286798986e-09
14,G_IEEE3,-3.2833403980939154e-09,270.0,67.15,9.439789621178942e-09
14,RES_Wind_N1,44.625000443737505,44.625,0.0,-60.000000580439476
14,RES_PV_N6,234.99787734724512,234.997875,0.0,-54.64824335541567
14,RES_PV_N8,436.4246293603911,436.424625,0.0,-38.89546233525129
15,G_IEEE1,31.76408646856518,250.0,60.0,9.305924257215302e-09
15,G_IEEE3,-3.2728479084046473e-09,270.0,67.15,9.439789621178942e-09
15,RES_Wind_N1,52.500000522487504,52.5,0.0,-60.000000578859336
15,RES_PV_N6,215.81437715541077,215.814375,0.0,-54.64824337075258
15,RES_PV_N8,400.79812900413094,400.798125,0.0,-38.89546240060159
16,G_IEEE1,59.85671652770384,250.0,60.0,9.196412977846053e-09
16,G_IEEE3,-1.7001287433643662e-09,270.0,67.15,9.439789621175673e-09
16,RES_Wind_N1,60.37500060123751,60.375,0.0,-60.00000058086029
16,RES_PV_N6,172.65150172385486,172.6515,0.0,-56.13517035801719
16,RES_PV_N8,320.63850320304323,320.6385,0.0,-44.7591266271875
17,G_IEEE1,191.2724960515903,250.0,60.0,7.1958675012262195e-09
17,G_IEEE3,1.1154797524249244e-08,270.0,67.15,9.439789621149064e-09
17,RES_Wind_N1,68.25000067998751,68.25,0.0,-60.00000058424905
17,RES_PV_N6,119.896876196481,119.896875,0.0,-60.000000583412884
17,RES_PV_N8,222.6656272241685,222.665625,0.0,-60.00000058246198
18,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000052259475
18,G_IEEE3,63.33761685863058,270.0,67.15,9.24502842192093e-09
18,RES_Wind_N1,76.12500075900506,76.125,0.0,-67.15000064364166
18,RES_PV_N6,67.14225066919967,67.14225,0.0,-67.15000064569311
18,RES_PV_N8,124.69275124470467,124.69275,0.0,-67.15000064210815
19,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000067081446
19,G_IEEE3,236.76532561172294,270.0,67.15,7.493292052592794e-09
19,RES_Wind_N1,81.37500081150506,81.375,0.0,-67.15000065833543
19,RES_PV_N6,19.183500189612165,19.1835,0.0,-67.15000066680508
19,RES_PV_N8,35.626500354042165,35.6265,0.0,-67.15000067271268
20,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000069409068
20,G_IEEE3,256.18252719544955,270.0,67.15,1.296985322408278e-09
20,RES_Wind_N1,86.62500086400506,86.625,0.0,-67.15000066055039
20,RES_PV_N6,2.397937521756542,2.3979375,0.0,-67.15000072465295
20,RES_PV_N8,4.453312542310292,4.4533125,0.0,-67.15000070400885
21,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000069415956
21,G_IEEE3,250.63679034882165,270.0,67.15,4.2585324465495965e-09
21,RES_Wind_N1,89.25000089025505,89.25,0.0,-67.15000066050592
21,RES_PV_N6,0.0,0.0,0.0,
21,RES_PV_N8,0.0,0.0,0.0,
22,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000066602079
22,G_IEEE3,204.99231759642524,270.0,67.15,7.892790496655536e-09
22,RES_Wind_N1,91.87500091650506,91.875,0.0,-67.15000065764362
22,RES_PV_N6,0.0,0.0,0.0,
22,RES_PV_N8,0.0,0.0,0.0,
23,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000065888931
23,G_IEEE3,144.8723404837364,270.0,67.15,8.828884387139878e-09
23,RES_Wind_N1,94.50000094275505,94.5,0.0,-67.15000065688473
23,RES_PV_N6,0.0,0.0,0.0,
23,RES_PV_N8,0.0,0.0,0.0,
24,G_IEEE1,250.0000024788452,250.0,60.0,-7.150000061632774
24,G_IEEE3,104.31903767776105,270.0,67.15,9.073444937494592e-09
24,RES_Wind_N1,95.81250095588005,95.8125,0.0,-67.15000065260665
24,RES_PV_N6,0.0,0.0,0.0,
24,RES_PV_N8,0.0,0.0,0.0,
