hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_Base,300.000002988219,300.0,30.0,-25.0000002769118
1,G_Mid,193.11377714026514,200.0,55.0,-3.9059419999348394e-08
1,G_CCGT,4.72619075831229e-09,300.0,75.0,0.0
1,G_Peak,0.0,300.0,120.0,0.0
1,RES_Wind_N1,360.000003594645,360.0,0.0,-55.00000057082021
1,RES_PV_N6,5.98855695957873e-09,0.0,0.0,-58592.40005007998
1,RES_PV_N8,5.988556965187861e-09,0.0,0.0,-58592.400050051656
2,G_Base,300.000002988219,300.0,30.0,-25.000000244012867
2,G_Mid,184.74133863258123,200.0,55.0,-9.88998377338594e-09
2,G_CCGT,4.726190591651957e-09,300.0,75.0,0.0
2,G_Peak,0.0,300.0,120.0,0.0
2,RES_Wind_N1,375.000003744645,375.0,0.0,-55.00000053948754
2,RES_PV_N6,5.98855695464088e-09,0.0,0.0,-58592.40005022308
2,RES_PV_N8,5.988556956187161e-09,0.0,0.0,-58592.400050186414
3,G_Base,300.000002988219,300.0,30.0,-25.000000230397433
3,G_Mid,168.24491346366557,200.0,55.0,0.0
3,G_CCGT,4.726190474230204e-09,300.0,75.0,0.0
3,G_Peak,0.0,300.0,120.0,0.0
3,RES_Wind_N1,390.00000389464503,390.0,0.0,-55.000000527300365
3,RES_PV_N6,5.988556950689676e-09,0.0,0.0,-58592.40005027255
3,RES_PV_N8,5.988556949337266e-09,0.0,0.0,-58592.40005022864
4,G_Base,300.000002988219,300.0,30.0,-25.00000022503453
4,G_Mid,151.62718563762186,200.0,55.0,0.0
4,G_CCGT,4.7261903906559675e-09,300.0,75.0,0.0
4,G_Peak,0.0,300.0,120.0,0.0
4,RES_Wind_N1,400.000003994645,400.0,0.0,-55.00000052263209
4,RES_PV_N6,5.988556947765885e-09,0.0,0.0,-58592.40005028979
4,RES_PV_N8,5.988556944210254e-09,0.0,0.0,-58592.40005024214
5,G_Base,300.000002988219,300.0,30.0,-25.000000230553866
5,G_Mid,173.45685505153878,200.0,55.0,0.0
5,G_CCGT,4.7261903411651725e-09,300.0,75.0,0.0
5,G_Peak,0.0,300.0,120.0,0.0
5,RES_Wind_N1,390.00000389464503,390.0,0.0,-55.00000052686123
5,RES_PV_N6,5.988556946186473e-09,0.0,0.0,-58592.40005027845
5,RES_PV_N8,5.988556940343721e-09,0.0,0.0,-58592.40005023749
6,G_Base,300.000002988219,300.0,30.0,-25.000000269379317
6,G_Mid,193.31171153127286,200.0,55.0,-3.143644065996281e-08
6,G_CCGT,4.726190338191478e-09,300.0,75.0,0.0
6,G_Peak,0.0,300.0,120.0,0.0
6,RES_Wind_N1,360.000003594645,360.0,0.0,-55.000000563238586
6,RES_PV_N6,5.988556947036713e-09,0.0,0.0,-58592.40005011855
6,RES_PV_N8,5.98855693857022e-09,0.0,0.0,-58592.40005009074
7,G_Base,300.0000029910147,300.0,30.0,-32.7785086034919
7,G_Mid,200.0000019621362,200.0,55.0,-7.7785083605878915
7,G_CCGT,1.4098842669253495e-08,300.0,75.0,0.0
7,G_Peak,0.0,300.0,120.0,0.0
7,RES_Wind_N1,310.00000309530856,310.0,0.0,-62.77850889546664
7,RES_PV_N6,5.000000045308525,5.0,0.0,-62.77850895804066
7,RES_PV_N8,12.400000119308524,12.4,0.0,-62.77850892585414
8,G_Base,300.0000029923884,300.0,30.0,-32.77850862048886
8,G_Mid,200.00000197849252,200.0,55.0,-7.7785083745142725
8,G_CCGT,3.670544136066891e-08,300.0,75.0,0.0
8,G_Peak,0.0,300.0,120.0,0.0
8,RES_Wind_N1,260.00000259571254,260.0,0.0,-62.77850891133222
8,RES_PV_N6,25.000000245712524,25.0,0.0,-62.778508924443706
8,RES_PV_N8,62.00000061571253,62.0,0.0,-62.77850891863231
