hour,lambda_system,system_net_injection_residual_mw
1,55.00018661900056,2.2026824808563106e-13
2,55.00018661744198,1.8474111129762605e-13
3,55.00018661694883,2.6290081223123707e-13
4,55.00018661673997,1.6342482922482304e-13
5,55.000186616852154,2.7000623958883807e-13
6,55.00018661863995,2.0605739337042905e-13
7,62.77872130054878,2.3447910280083306e-13
8,62.77872130112117,2.9887203822909214e-13
9,62.77872130029853,2.4868995751603507e-13
10,55.00000061230439,2.3447910280083306e-13
11,55.00000053982429,1.9895196601282805e-13
12,55.00000053486265,2.2737367544323206e-13
13,55.00000053169514,2.4158453015843406e-13
14,55.00000053041637,2.7000623958883807e-13
15,55.00000053092826,2.4158453015843406e-13
16,55.00000053482146,2.2737367544323206e-13
17,55.00000054005881,2.3447910280083306e-13
18,75.00000073812905,2.8688162956314045e-13
19,75.00000074009957,3.872457909892546e-13
20,75.00000074028583,2.8066438062523957e-13
21,75.00000074019549,2.5845992013273644e-13
22,75.00000073936278,1.829647544582258e-13
23,75.0000007373412,2.984279490192421e-13
24,55.00018663613107,1.2079226507921703e-13
