unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I4,0,N1,2.0420221686859166e-07,-0.010655671576695107,-58.76502538049898
I4,0,N2,2.041938000098558e-07,-0.01065696135570989,-58.76501414303162
I4,0,N3,2.0442524164460198e-07,-0.010639560660605028,-58.764960621039336
I4,0,N4,1.878459281383984e-07,-0.011925150833198646,-58.77115457801988
I4,0,N5,2.0412044162950794e-07,-0.010662223758135173,-58.76503933370918
I4,0,N6,2.0418110652013292e-07,-0.010656585997178952,-58.765046219621915
I4,0,N7,3.750676244955676e-07,0.0,-58.76068434432252
I4,0,N8,3.7506761410025176e-07,0.0,-58.76068434454184
I4,0,N9,2.0318756156907528e-07,-0.010730102102632269,-58.76534075425039
I4,1,N1,2.8824847083143866e-07,-0.012350264380945459,-58.76502538049898
I4,1,N2,2.882366155810105e-07,-0.01235178251123262,-58.76501414303162
I4,1,N3,2.885274406266662e-07,-0.01233181276737932,-58.764960621039336
I4,1,N4,2.678527798598793e-07,-0.013802591294090026,-58.77115457801988
I4,1,N5,2.8814489811706717e-07,-0.012357822470144388,-58.76503933370918
I4,1,N6,2.882230681607262e-07,-0.012351292009538424,-58.765046219621915
I4,1,N7,5.028200013458846e-07,0.0,-58.76068434432252
I4,1,N8,5.0281998781177e-07,0.0,-58.76068434454184
I4,1,N9,2.8697879885615165e-07,-0.01243578311227086,-58.76534075425039
I4,2,N1,3.572303432411705e-07,-0.013871378362642506,-58.76502538049898
I4,2,N2,3.57215806047489e-07,-0.01387317306534288,-58.76501414303162
I4,2,N3,3.575542090249731e-07,-0.013849667041518094,-58.764960621039336
I4,2,N4,3.335872232017284e-07,-0.015553845899839481,-58.77115457801988
I4,2,N5,3.5710935224476455e-07,-0.013880270259717022,-58.76503933370918
I4,2,N6,3.572014363065706e-07,-0.013872581738985874,-58.765046219621915
I4,2,N7,6.049019186393087e-07,0.0,-58.76068434432252
I4,2,N8,6.049019025578342e-07,0.0,-58.76068434454184
I4,2,N9,3.557560643134531e-07,-0.013971811654262206,-58.76534075425039
I4,3,N1,4.179853478353174e-07,-0.01543144026130654,-58.76502538049898
I4,3,N2,4.1796857334003395e-07,-0.015433622458690125,-58.76501414303162
I4,3,N3,4.183469691860187e-07,-0.015405473912531522,-58.764960621039336
I4,3,N4,3.916058164028655e-07,-0.017396466488075864,-58.77115457801988
I4,3,N5,4.1784972600885913e-07,-0.015442067990768846,-58.76503933370918
