unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I4,1,N1,2.0420221686859166e-07,2.8824847083143866e-07,8.034544795481304e-08,0.0,-8.034544795481304e-08,55.00000054270133,-4.418999681118299e-06,6.025908596610977e-07,-0.03267234801280418,-0.021703483280776648,-58.745070320276945
I4,1,N2,2.041938000098558e-07,2.882366155810105e-07,8.034177608988442e-08,0.0,-8.034177608988442e-08,55.000000542406134,-4.418797728521516e-06,6.025633206741332e-07,-0.03266903572128065,-0.021703697906566434,-58.74505843683827
I4,1,N3,2.0442524164460198e-07,2.885274406266662e-07,8.040522887350723e-08,0.0,-8.040522887350723e-08,55.00000054266904,-4.422287631676326e-06,6.030392165513043e-07,-0.03255755242099173,-0.02164012507190134,-58.74508844245402
I4,1,N4,1.878459281383984e-07,2.678527798598793e-07,7.602887152363321e-08,0.0,-7.602887152363321e-08,55.000000542996645,-4.181587975083249e-06,5.70216536427249e-07,-0.04186175703379035,-0.026636771490801528,-58.7448852193773
I4,1,N5,2.0412044162950794e-07,2.8814489811706717e-07,8.032215811995798e-08,0.0,-8.032215811995798e-08,55.00000054331578,-4.417718740237985e-06,6.024161858996848e-07,-0.03270809693187446,-0.021724852065959435,-58.745055597812325
I4,1,N6,2.0418110652013292e-07,2.882230681607262e-07,8.034085959237609e-08,0.0,-8.034085959237609e-08,55.00000054264558,-4.418747321177297e-06,6.025564469428207e-07,-0.03269019403053339,-0.021711373605542057,-58.745080088100856
I4,1,N7,3.750676244955676e-07,5.028200013458846e-07,1.2703891338488643e-07,0.0,-1.2703891338488643e-07,55.000000543161164,-6.987140305171358e-06,9.527918503866482e-07,0.0,0.0,-58.760684340199845
I4,1,N8,3.7506761410025176e-07,5.0281998781177e-07,1.270389100318769e-07,0.0,-1.270389100318769e-07,55.00000054337708,-6.98714012078326e-06,9.527918252390766e-07,0.0,0.0,-58.76068434008639
I4,1,N9,2.0318756156907528e-07,2.8697879885615165e-07,8.007294637773827e-08,0.0,-8.007294637773827e-08,55.000000543518155,-4.404012094296705e-06,6.00547097833037e-07,-0.03319601791365053,-0.021992277684218794,-58.74500448597492
I4,2,N1,2.8824847083143866e-07,3.572303432411705e-07,6.426051679444143e-08,0.0,-6.426051679444143e-08,55.000000541274126,-3.5343284584768337e-06,4.819538759583107e-07,-0.03009169206752971,-0.02195368237139771,-58.73555025325202
I4,2,N2,2.882366155810105e-07,3.57215806047489e-07,6.425765340983109e-08,0.0,-6.425765340983109e-08,55.0000005410103,-3.534170972304762e-06,4.819324005737331e-07,-0.03008930905865498,-0.02195383269518666,-58.73553817332112
I4,2,N3,2.885274406266662e-07,3.575542090249731e-07,6.430848638783869e-08,0.0,-6.430848638783869e-08,55.00000054140986,-3.5369667861483766e-06,4.823136479087902e-07,-0.02998972257855037,-0.021890421332353936,-58.735609059017264
I4,2,N4,2.678527798598793e-07,3.335872232017284e-07,6.079059062961772e-08,0.0,-6.079059062961772e-08,55.000000541746935,-3.343482517562091e-06,4.5592942972213294e-07,-0.03821442813461548,-0.026884500136241763,-58.73229683472799
I4,2,N5,2.8814489811706717e-07,3.5710935224476455e-07,6.424190813614724e-08,0.0,-6.424190813614724e-08,55.000000542436084,-3.5333049823352275e-06,4.818143110211044e-07,-0.03012380409372027,-0.021974958422468,-58.735521581432614
I4,2,N6,2.882230681607262e-07,3.572014363065706e-07,6.425677098448583e-08,0.0,-6.425677098448583e-08,55.000000542669994,-3.5341224390169423e-06,4.819257823836437e-07,-0.03010689645585423,-0.021961599875367242,-58.73555446571591
I4,2,N7,5.028200013458846e-07,6.049019186393087e-07,9.962028597925962e-08,0.0,-9.962028597925962e-08,55.00000054175905,-5.479115782829471e-06,7.471521448444472e-07,0.0,0.0,-58.76068433929454
I4,2,N8,5.0281998781177e-07,6.049019025578342e-07,9.962028325822928e-08,0.0,-9.962028325822928e-08,55.000000542103635,-5.479115633207128e-06,7.471521244367196e-07,0.0,0.0,-58.76068433876236
I4,2,N9,2.8697879885615165e-07,3.557560643134531e-07,6.404190286774273e-08,0.0,-6.404190286774273e-08,55.000000542775524,-3.5223046924862276e-06,4.803142715080705e-07,-0.03055531057415401,-0.02224201973881637,-58.73529779221153
I4,3,N1,3.572303432411705e-07,4.179853478353174e-07,5.5478321229785674e-08,0.0,-5.5478321229785674e-08,55.000000540526415,-3.05130769762571e-06,4.1608740922339254e-07,-0.029142660186577456,-0.022052789342879527,-58.73116720286621
I4,3,N2,3.57215806047489e-07,4.1796857334003395e-07,5.547593305697772e-08,0.0,-5.547593305697772e-08,55.000000540199686,-3.051176348101856e-06,4.1606949792733286e-07,-0.02914083156405542,-0.02205291897746965,-58.73115547419017
I4,3,N3,3.575542090249731e-07,4.183469691860187e-07,5.551865876822446e-08,0.0,-5.551865876822446e-08,55.00000054064583,-3.0535262622682763e-06,4.1638994076168345e-07,-0.02904565996433179,-0.0219895252855934,-58.731247782821306
I4,3,N4,3.335872232017284e-07,3.916058164028655e-07,5.255461782105676e-08,0.0,-5.255461782105676e-08,55.00000054109438,-2.8905040085951303e-06,3.941596336579257e-07,-0.0368597139736932,-0.026987477105188507,-58.72623450254903
I4,3,N5,3.5710935224476455e-07,4.1784972600885913e-07,5.546269190474914e-08,0.0,-5.546269190474914e-08,55.00000054180153,-3.0504480848109743e-06,4.1597018928561854e-07,-0.029173536719201847,-0.022074047880012958,-58.731131398317466
I4,3,N6,3.572014363065706e-07,4.1795347988000987e-07,5.547515610201588e-08,0.0,-5.547515610201588e-08,55.000000541754225,-3.051133615664774e-06,4.160636707651191e-07,-0.029156670943577788,-0.022060719659178038,-58.731167907859756
I4,3,N7,6.049019186393087e-07,6.923056535314973e-07,8.394440859864969e-08,0.0,-8.394440859864969e-08,55.00000054113734,-4.616942518351187e-06,6.295830644898727e-07,0.0,0.0,-58.76068433890311
I4,3,N8,6.049019025578342e-07,6.923056352588993e-07,8.394440625780122e-08,0.0,-8.394440625780122e-08,55.00000054155675,-4.616942389639727e-06,6.295830469335092e-07,0.0,0.0,-58.76068433807759
I4,3,N9,3.557560643134531e-07,4.163390099406772e-07,5.5294496330829296e-08,0.0,-5.5294496330829296e-08,55.00000054218787,-3.0411973281756164e-06,4.147087224812197e-07,-0.029583256063110738,-0.022341165794058968,-58.73081416366352
I4,4,N1,4.179853478353174e-07,4.7349981600896544e-07,4.98851825965404e-08,0.0,-4.98851825965404e-08,55.00000054019836,-2.743685069757616e-06,3.74138869474053e-07,-0.029041585453461704,-0.022031545782057002,-58.73051332708487
I4,4,N2,4.1796857334003395e-07,4.7348111818830734e-07,4.988312993486869e-08,0.0,-4.988312993486869e-08,55.000000539798656,-2.7435721733446243e-06,3.7412347451151517e-07,-0.029040136516859508,-0.02203169960076328,-58.73050258978222
I4,4,N3,4.183469691860187e-07,4.7389378477594807e-07,4.9919741052172544e-08,0.0,-4.9919741052172544e-08,55.00000054032311,-2.7455857848422795e-06,3.743980578912941e-07,-0.028946259774614368,-0.02196827577938261,-58.73060254881433
I4,4,N4,3.916058164028655e-07,4.447707272094746e-07,4.7374876213285814e-08,0.0,-4.7374876213285814e-08,55.00000054085379,-2.605618217353601e-06,3.553115715996436e-07,-0.03661979326324414,-0.026972155440641087,-58.724828189650545
I4,4,N5,4.1784972600885913e-07,4.7335165285251727e-07,4.987178608492823e-08,0.0,-4.987178608492823e-08,55.000000541698235,-2.7429482616865114e-06,3.740383956369617e-07,-0.02907222935440491,-0.022052830993842094,-58.73047530581813
I4,4,N6,4.1795347988000987e-07,4.734654162703544e-07,4.988247614536442e-08,0.0,-4.988247614536442e-08,55.000000541556496,-2.7435362150092223e-06,3.7411857109023317e-07,-0.029055022330669804,-0.022039457869851956,-58.730511668519675
I4,4,N7,6.923056535314973e-07,7.699200542363148e-07,7.349094968936174e-08,0.0,-7.349094968936174e-08,55.000000540878574,-4.0420022726645755e-06,5.511821226702131e-07,0.0,0.0,-58.76068433866958
I4,4,N8,6.923056352588993e-07,7.699200340318342e-07,7.349094762625508e-08,0.0,-7.349094762625508e-08,55.00000054145347,-4.0420021592359574e-06,5.51182107196913e-07,0.0,0.0,-58.76068433768357
I4,4,N9,4.163390099406772e-07,4.7170605795776855e-07,4.972768643867911e-08,0.0,-4.972768643867911e-08,55.0000005421628,-2.735022781087853e-06,3.7295764829009334e-07,-0.029474852591447102,-0.022320042570837945,-58.73011891969137
I4,5,N1,4.7349981600896544e-07,5.253922079824338e-07,4.60201055052052e-08,0.0,-4.60201055052052e-08,55.000000540464484,-2.5311058276585184e-06,3.45150791289039e-07,-0.029740430908229643,-0.02186789819465597,-58.73351547369504
I4,5,N2,4.7348111818830734e-07,5.253718354255655e-07,4.601831841544453e-08,0.0,-4.601831841544453e-08,55.000000540173204,-2.5310075377073116e-06,3.45137388115834e-07,-0.029739278906264602,-0.021868133045596778,-58.7335065496995
I4,5,N3,4.7389378477594807e-07,5.258139993239402e-07,4.604983033954032e-08,0.0,-4.604983033954032e-08,55.00000054046093,-2.5327406935628517e-06,3.453737275465524e-07,-0.029644722562665475,-0.02180466314822374,-58.73360216393117
I4,5,N4,4.447707272094746e-07,4.946375193838993e-07,4.385586498169117e-08,0.0,-4.385586498169117e-08,55.00000054090576,-2.4120725977149045e-06,3.2891898736268377e-07,-0.0373533539506153,-0.026811271495172033,-58.7278340155912
I4,5,N5,4.7335165285251727e-07,5.252332385479093e-07,4.600856246282965e-08,0.0,-4.600856246282965e-08,55.000000541172135,-2.530470960354183e-06,3.450642184712224e-07,-0.029771518521396784,-0.021889244013934706,-58.73347963149042
I4,5,N6,4.734654162703544e-07,5.253556468440486e-07,4.6017794695999504e-08,0.0,-4.6017794695999504e-08,55.00000054004068,-2.530978733131454e-06,3.451334602199963e-07,-0.02975368816818988,-0.02187573066318263,-58.733512137305304
I4,5,N7,7.699200542363148e-07,8.404128260712927e-07,6.588710641339145e-08,0.0,-6.588710641339145e-08,55.00000054091289,-3.6237908883757154e-06,4.941532981004359e-07,0.0,0.0,-58.76068433844719
I4,5,N8,7.699200340318342e-07,8.404128041638516e-07,6.588710459505598e-08,0.0,-6.588710459505598e-08,55.0000005416212,-3.6237907884139314e-06,4.941532844629198e-07,0.0,0.0,-58.760684337643966
I4,5,N9,4.7170605795776855e-07,5.234716395170322e-07,4.588462549880255e-08,0.0,-4.588462549880255e-08,55.00000054139354,-2.52365442727578e-06,3.441346912410191e-07,-0.030176588573492254,-0.02215632705576278,-58.73312980706535
I4,6,N1,5.253922079824338e-07,5.746610599181441e-07,4.322100952887941e-08,0.0,-4.322100952887941e-08,55.000000542294714,-2.3771555475268927e-06,3.241575714665956e-07,-0.03180944962902123,-0.021455634321627424,-58.74136903472037
I4,6,N2,5.253718354255655e-07,5.746392263482837e-07,4.321945068950451e-08,0.0,-4.321945068950451e-08,55.000000542071064,-2.3770698113507614e-06,3.241458801712838e-07,-0.03180866733705467,-0.021456034192469664,-58.741363181161915
I4,6,N3,5.258139993239402e-07,5.751066043342335e-07,4.324638872343914e-08,0.0,-4.324638872343914e-08,55.000000542335655,-2.3785514032432115e-06,3.2434791542579353e-07,-0.031711471907526406,-0.021392595688013688,-58.741442505604155
I4,6,N4,4.946375193838993e-07,5.421730739094448e-07,4.136889976928301e-08,0.0,-4.136889976928301e-08,55.000000542700725,-2.2752895097614974e-06,3.1026674826962255e-07,-0.039625203860594364,-0.02637892724904069,-58.73636701395813
I4,6,N5,5.252332385479093e-07,5.744928356514102e-07,4.3211123227196734e-08,0.0,-4.3211123227196734e-08,55.0000005429861,-2.3766118009588598e-06,3.240834242039755e-07,-0.03184175096909851,-0.021477042109397045,-58.74133997841012
I4,6,N6,5.253556468440486e-07,5.746226785329099e-07,4.3219062998908275e-08,0.0,-4.3219062998908275e-08,55.000000542643164,-2.377048488392484e-06,3.241429724918121e-07,-0.03182275475702678,-0.02146326085805071,-58.74136423210699
I4,6,N7,8.404128260712927e-07,9.054260732415764e-07,6.003727542177e-08,0.0,-6.003727542177e-08,55.000000542692675,-3.3020501807791397e-06,4.50279565663275e-07,0.0,0.0,-58.760684338327195
I4,6,N8,8.404128041638516e-07,9.05426049838586e-07,6.003727382497484e-08,0.0,-6.003727382497484e-08,55.0000005428357,-3.3020500929639916e-06,4.5027955368731133e-07,0.0,0.0,-58.76068433791889
I4,6,N9,5.234716395170322e-07,5.726322180510474e-07,4.310532432781655e-08,0.0,-4.310532432781655e-08,55.00000054318909,-2.3707928614442523e-06,3.2328993245862413e-07,-0.03225814212659131,-0.02174306653952286,-58.74104013332859
I4,7,N1,5.746610599181441e-07,5.219901966038623e-07,0.0,4.2073903645191794e-08,4.2073903645191794e-08,62.778508908157505,2.6413369347906336e-06,3.155542773389385e-07,-0.021562520567835808,-0.040198049608285547,-58.758481156885544
I4,7,N2,5.746392263482837e-07,5.219667895912196e-07,0.0,4.2075374887164764e-08,4.2075374887164764e-08,62.77850890826545,2.6414292971724814e-06,3.1556531165373574e-07,-0.02156285938565811,-0.0401986896144407,-58.75848130184876
I4,7,N3,5.751066043342335e-07,5.22428596165408e-07,0.0,4.208061180122251e-08,4.208061180122251e-08,62.77850890841076,2.6417580628344223e-06,3.1560458850916883e-07,-0.021497442591464154,-0.04004637285763845,-58.75853236985024
I4,7,N4,5.421730739094448e-07,4.901803470885349e-07,0.0,4.143766381115715e-08,4.143766381115715e-08,62.778508908562095,2.6013947467187303e-06,3.107824785836786e-07,-0.026604812631948548,-0.05215891571948428,-58.75459897396892
I4,7,N5,5.744928356514102e-07,5.21822823681385e-07,0.0,4.2073098534128746e-08,4.2073098534128746e-08,62.778508908736946,2.641286391142969e-06,3.155482390059656e-07,-0.0215845296532035,-0.04024942606120002,-58.75846449146108
I4,7,N6,5.746226785329099e-07,5.219538984667983e-07,0.0,4.207195231536756e-08,4.207195231536756e-08,62.77850890915103,2.6412144332556794e-06,3.155396423652567e-07,-0.02157057968650378,-0.040217924530203564,-58.758473553688596
I4,7,N7,9.054260732415764e-07,8.553075352114174e-07,0.0,3.9695835013894554e-08,3.9695835013894554e-08,62.77850890843732,2.4920453320476373e-06,2.9771876260420915e-07,0.0,0.0,-58.76068433824014
I4,7,N8,9.05426049838586e-07,8.553075110141614e-07,0.0,3.969583575641246e-08,3.969583575641246e-08,62.77850890847437,2.492045378663275e-06,2.977187681730935e-07,0.0,0.0,-58.760684338494606
I4,7,N9,5.726322180510474e-07,5.199935335198154e-07,0.0,4.20436902952512e-08,4.20436902952512e-08,62.77850890882277,2.639440185760213e-06,3.15327677214384e-07,-0.021858750303298598,-0.04089148336585618,-58.75825129376302
I4,8,N1,5.219901966038623e-07,4.659414691441987e-07,0.0,4.523298085238162e-08,4.523298085238162e-08,62.77850890954105,2.8396590914463394e-06,3.3924735639286215e-07,-0.02179281228311073,-0.03792562973160958,-58.762543269573605
I4,8,N2,5.219667895912196e-07,4.659163281285985e-07,0.0,4.523460240760106e-08,4.523460240760106e-08,62.77850890944297,2.8397608902606936e-06,3.3925951805700794e-07,-0.021793078119359884,-0.03792568008142675,-58.76254464258424
I4,8,N3,5.22428596165408e-07,4.663700393743144e-07,0.0,4.524220046840426e-08,4.524220046840426e-08,62.77850890953683,2.8402378851927682e-06,3.3931650351303194e-07,-0.021727464897846032,-0.0377796548209693,-58.762588879358084
I4,8,N4,4.901803470885349e-07,4.3502491441471477e-07,0.0,4.4395442822437814e-08,4.4395442822437814e-08,62.77850890962038,2.7870797027749545e-06,3.329658211682836e-07,-0.02685237229386369,-0.04953403276332976,-58.7589866529405
I4,8,N5,5.21822823681385e-07,4.6577568331416287e-07,0.0,4.523148751075735e-08,4.523148751075735e-08,62.77850890972049,2.8395653416939913e-06,3.392361563306801e-07,-0.02181485297789156,-0.03797462484341711,-58.76252948632303
I4,8,N6,5.219538984667983e-07,4.659077115271131e-07,0.0,4.523060164568953e-08,4.523060164568953e-08,62.77850890932625,2.8395097283881065e-06,3.3922951234267144e-07,-0.021800983212829982,-0.037945264929869806,-58.76253521086844
I4,8,N7,8.553075352114174e-07,8.017151435501876e-07,0.0,4.294441720725603e-08,4.294441720725603e-08,62.77850890967287,2.695986478266432e-06,3.2208312905442023e-07,0.0,0.0,-58.76068433798368
I4,8,N8,8.553075110141614e-07,8.017151183884646e-07,0.0,4.294441810903753e-08,4.294441810903753e-08,62.77850890975404,2.6959865348824154e-06,3.220831358177815e-07,0.0,0.0,-58.76068433846924
I4,8,N9,5.199935335198154e-07,4.6398917083977495e-07,0.0,4.51913669354491e-08,4.51913669354491e-08,62.77850890974542,2.837046631800666e-06,3.3893525201586823e-07,-0.02209025722942805,-0.038593446484446105,-58.762338487175874
I4,9,N1,4.659414691441987e-07,4.051332024245645e-07,0.0,4.968470752193049e-08,4.968470752193049e-08,62.77850890807494,3.1191318537606116e-06,3.726353064144787e-07,-0.02156737221228438,-0.040548827441944574,-58.75790614362502
I4,9,N2,4.659163281285985e-07,4.051059021904208e-07,0.0,4.968672700186372e-08,4.968672700186372e-08,62.77850890786833,3.119258633689323e-06,3.726504525139779e-07,-0.0215677043614824,-0.04054945471672906,-58.75790636606402
I4,9,N3,4.663700393743144e-07,4.055504147867588e-07,0.0,4.969535805889498e-08,4.969535805889498e-08,62.77850890792927,3.1198004785830734e-06,3.7271518544171235e-07,-0.021502218867043496,-0.04039416340007957,-58.75796185643394
I4,9,N4,4.3502491441471477e-07,3.752505403112734e-07,0.0,4.871555246203658e-08,4.871555246203658e-08,62.77850890797211,3.058289744194746e-06,3.6536664346527434e-07,-0.026616450366850838,-0.05277189997995506,-58.75365085063112
I4,9,N5,4.6577568331416287e-07,4.049690989494568e-07,0.0,4.968312487013562e-08,4.968312487013562e-08,62.77850890802901,3.1190324972385268e-06,3.7262343652601713e-07,-0.021589396722061678,-0.04060123839950905,-58.75788798807572
I4,9,N6,4.659077115271131e-07,4.051024971396519e-07,0.0,4.968184929125527e-08,4.968184929125527e-08,62.77850890710319,3.1189524182524274e-06,3.7261386968441454e-07,-0.021575440412535316,-0.04056918582702609,-58.757897791069425
I4,9,N7,8.017151435501876e-07,7.438824445638294e-07,0.0,4.691021796207733e-08,4.691021796207733e-08,62.77850890837311,2.9449535362259958e-06,3.5182663471557996e-07,0.0,0.0,-58.7606843375511
I4,9,N8,8.017151183884646e-07,7.438824181916147e-07,0.0,4.69102190941501e-08,4.69102190941501e-08,62.77850890815778,2.9449536072857357e-06,3.518266432061258e-07,0.0,0.0,-58.76068433775904
I4,9,N9,4.6398917083977495e-07,4.0323207643359045e-07,0.0,4.963672074860315e-08,4.963672074860315e-08,62.77850890802241,3.1161193156812038e-06,3.722754056145236e-07,-0.021863863652709828,-0.04125645801039891,-58.757655244908435
I4,10,N1,4.051332024245645e-07,4.4491832576064845e-07,3.3106757958899886e-08,0.0,-3.3106757958899886e-08,55.00202864431629,-1.820938849575858e-06,2.4830068469174916e-07,-0.030814534468339032,-0.02142300176093473,-58.739531256220516
I4,10,N2,4.051059021904208e-07,4.448899299023703e-07,3.310558982820165e-08,0.0,-3.310558982820165e-08,55.00202864431521,-1.8208746000176973e-06,2.482919237115124e-07,-0.03081394170730936,-0.021423435657093634,-58.73952540835703
I4,10,N3,4.055504147867588e-07,4.4535041122267677e-07,3.312265150117652e-08,0.0,-3.312265150117652e-08,55.00202864436265,-1.8218130266449526e-06,2.484198862588239e-07,-0.03071975704791985,-0.02136005952495071,-58.739617380278105
I4,10,N4,3.752505403112734e-07,4.139471558889304e-07,3.194341487206025e-08,0.0,-3.194341487206025e-08,55.00202864438644,-1.7569526197925779e-06,2.395756115404519e-07,-0.03840398835940213,-0.026345397775061157,-58.73360317408646
I4,10,N5,4.049690989494568e-07,4.447482531365766e-07,3.310038182913241e-08,0.0,-3.310038182913241e-08,55.00202864442575,-1.8205881495073705e-06,2.482528637184931e-07,-0.030845948449389166,-0.021444411724756418,-58.73949784934053
I4,10,N6,4.051024971396519e-07,4.448866188253361e-07,3.310568555425226e-08,0.0,-3.310568555425226e-08,55.00202864436531,-1.8208798651463335e-06,2.4829264165689195e-07,-0.0308272938115103,-0.021430585374030114,-58.739524517554095
I4,10,N7,7.438824445638294e-07,7.931596136817785e-07,4.324327352565705e-08,0.0,-4.324327352565705e-08,55.00202864437461,-2.3784677691347156e-06,3.243245514424279e-07,0.0,0.0,-58.76068433578794
