hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_Base,600.0000059149897,600.0,40.0,-6.224718082703157e-07
1,G_Peak,8.18504354347471e-09,600.0,80.0,9.001301359581577e-09
1,RES_Wind_N1,280.83000279556387,280.83,0.0,-40.00000101360527
1,RES_PV_N3,3.4915617584018116e-09,0.0,0.0,-58588.64687675416
2,G_Base,600.0000059096278,600.0,40.0,-3.371639136562557e-08
2,G_Peak,7.957131464962615e-09,600.0,80.0,9.001301359596935e-09
2,RES_Wind_N1,325.6000032431497,325.6,0.0,-40.0000004245347
2,RES_PV_N3,3.464873828371498e-09,0.0,0.0,-58588.646877752544
3,G_Base,600.0000059096278,600.0,40.0,1.6278444899162632e-09
3,G_Peak,7.957131446574056e-09,600.0,80.0,9.001301359597861e-09
3,RES_Wind_N1,370.0000036871496,370.0,0.0,-40.0000003888577
3,RES_PV_N3,3.464873822084354e-09,0.0,0.0,-58588.64687783398
4,G_Base,600.0000059096278,600.0,40.0,3.706898255050575e-09
4,G_Peak,7.957131458471133e-09,600.0,80.0,9.001301359597925e-09
4,RES_Wind_N1,354.83000353544963,354.83,0.0,-40.00000038679476
4,RES_PV_N3,3.464873819570656e-09,0.0,0.0,-58588.64687783547
5,G_Base,600.0000059096278,600.0,40.0,2.953033289867204e-09
5,G_Peak,7.957131464760715e-09,600.0,80.0,9.0013013595979e-09
5,RES_Wind_N1,367.4100036612497,367.41,0.0,-40.00000038751429
5,RES_PV_N3,3.46487381907661e-09,0.0,0.0,-58588.646877809966
6,G_Base,600.0000059096278,600.0,40.0,-1.1368057584775567e-07
6,G_Peak,7.957131798636587e-09,600.0,80.0,9.001301359594842e-09
6,RES_Wind_N1,320.4200031913497,320.42,0.0,-40.00000050454385
6,RES_PV_N3,3.464873854375135e-09,0.0,0.0,-58588.64687756289
7,G_Base,564.5713268703636,600.0,40.0,4.322467372458068e-09
7,G_Peak,187.00379331773817,600.0,80.0,8.473079569418858e-09
7,RES_Wind_N1,278.2400027674195,278.24,0.0,-40.00000038661926
7,RES_PV_N3,9.244910660486948e-09,0.0,0.0,-59442.60589252858
8,G_Base,600.0000059867432,600.0,40.0,-40.00236533649382
8,G_Peak,127.23596232603707,600.0,80.0,8.780211073146166e-09
8,RES_Wind_N1,214.23000213526694,214.23,0.0,-80.0023657282922
8,RES_PV_N3,15.05000014975687,15.05,0.0,-3402.879397190888
9,G_Base,600.0000059867432,600.0,40.0,-40.00236520845121
9,G_Peak,176.81420085058053,600.0,80.0,8.646881924603354e-09
9,RES_Wind_N1,160.58000159876698,160.58,0.0,-80.0023656011841
9,RES_PV_N3,88.58000088505524,88.58,0.0,-3402.8793969728017
10,G_Base,600.0000059850195,600.0,40.0,-40.0000003914626
10,G_Peak,187.26196427445868,600.0,80.0,8.503182006960636e-09
10,RES_Wind_N1,76.22000075470976,76.22,0.0,-80.00000078832561
10,RES_PV_N3,188.34000187590976,188.34,0.0,-80.00000079716277
11,G_Base,600.0000059850195,600.0,40.0,-40.00000033963732
11,G_Peak,7.470825182440048,600.0,80.0,8.981498272815074e-09
11,RES_Wind_N1,42.18000041430976,42.18,0.0,-80.00000074284486
11,RES_PV_N3,295.4100029466098,295.41,0.0,-80.00000073421313
12,G_Base,600.0000059800842,600.0,40.0,-30.087680352715466
12,G_Peak,5.045195962238617e-08,600.0,80.0,9.001301359522511e-09
12,RES_Wind_N1,25.160000243050433,25.16,0.0,-70.08768076553311
12,RES_PV_N3,377.97000377115046,377.97,0.0,-70.08768074555347
13,G_Base,600.0000059800842,600.0,40.0,-30.087680291771807
13,G_Peak,5.0451959275157823e-08,600.0,80.0,9.001301359524108e-09
13,RES_Wind_N1,18.13000017275043,18.13,0.0,-70.08768071382435
13,RES_PV_N3,428.28000427425036,428.28,0.0,-70.08768068383098
14,G_Base,600.0000059800842,600.0,40.0,-30.087680287759245
14,G_Peak,5.0451959236980275e-08,600.0,80.0,9.001301359524214e-09
14,RES_Wind_N1,10.360000095050435,10.36,0.0,-70.08768073460024
14,RES_PV_N3,430.0000042914504,430.0,0.0,-70.08768067971182
15,G_Base,600.0000059800842,600.0,40.0,-30.087680312284846
15,G_Peak,5.04519593440743e-08,600.0,80.0,9.001301359523572e-09
15,RES_Wind_N1,9.990000091350435,9.99,0.0,-70.08768076126805
15,RES_PV_N3,393.0200039216504,393.02,0.0,-70.08768070467481
16,G_Base,600.0000059800842,600.0,40.0,-30.087680596961793
16,G_Peak,5.045196098307566e-08,600.0,80.0,9.001301359516117e-09
16,RES_Wind_N1,11.100000102450435,11.1,0.0,-70.0876810399468
16,RES_PV_N3,322.0700032121504,322.07,0.0,-70.08768099046924
17,G_Base,600.0000059850195,600.0,40.0,-40.000000387413984
17,G_Peak,112.94938394131117,600.0,80.0,8.745640259000115e-09
17,RES_Wind_N1,11.10000010350976,11.1,0.0,-80.00000083039899
17,RES_PV_N3,222.74000221990977,222.74,0.0,-80.00000078452567
18,G_Base,600.0000059850195,600.0,40.0,-40.00000039391798
18,G_Peak,256.172791637144,600.0,80.0,8.204851886196437e-09
18,RES_Wind_N1,15.54000014790976,15.54,0.0,-80.00000082147906
18,RES_PV_N3,103.20000102450976,103.2,0.0,-80.0000008060258
19,G_Base,600.0000059974016,600.0,40.0,-953.4518159205592
19,G_Peak,291.14471235963174,600.0,80.0,7.977678586320294e-09
19,RES_Wind_N1,9.99000009768564,9.99,0.0,-993.4518163695424
19,RES_PV_N3,13.760000136643326,13.76,0.0,-2698.331202393237
20,G_Base,600.0000059974016,600.0,40.0,-953.4518159699644
20,G_Peak,252.68974209041818,600.0,80.0,7.897361469465412e-09
20,RES_Wind_N1,11.470000112485641,11.47,0.0,-993.451816411208
20,RES_PV_N3,9.087796760725585e-09,0.0,0.0,-59267.25594278696
21,G_Base,600.0000059974016,600.0,40.0,-953.4518159660128
21,G_Peak,264.62161969027136,600.0,80.0,8.029642369836859e-09
21,RES_Wind_N1,15.54000015318564,15.54,0.0,-993.451816393574
21,RES_PV_N3,9.087796760288248e-09,0.0,0.0,-59267.26137825279
22,G_Base,600.0000059850195,600.0,40.0,-40.00000039117152
22,G_Peak,205.27505331792852,600.0,80.0,8.432612530538692e-09
22,RES_Wind_N1,10.73000009980976,10.73,0.0,-80.00000083601803
22,RES_PV_N3,5.258777805688898e-09,0.0,0.0,-58598.656062223075
23,G_Base,600.0000059850195,600.0,40.0,-40.00000038690298
23,G_Peak,97.82164912354719,600.0,80.0,8.773778616696025e-09
23,RES_Wind_N1,12.95000012200976,12.95,0.0,-80.00000082217603
23,RES_PV_N3,5.258777803499458e-09,0.0,0.0,-58598.65606223444
24,G_Base,600.0000059850195,600.0,40.0,-40.00000037536389
24,G_Peak,26.269866641021586,600.0,80.0,8.935600535799407e-09
24,RES_Wind_N1,26.64000025890976,26.64,0.0,-80.0000007868584
24,RES_PV_N3,5.258777801564696e-09,0.0,0.0,-58598.65606224414
