iteration,investor,termination,solve_seconds,profit_belief_eur_per_day,strong_duality_gap,total_power_mw,total_energy_mwh,max_rel_delta_power,max_rel_delta_energy,max_undamped_delta_power_mw
1,I1,optimal,6.601010700222105,1694597.58293074,1.277076080441475e-07,127.02317211373773,309.40508714106,4.808063114558771,4.885071260507798,68.68661592226816
1,I2,optimal,9.252947700209916,837465.5950940703,3.655441105365753e-08,115.01808420036319,375.7070486989947,2.7514765079089587,7.249611004519321,39.306807255842266
2,I1,optimal,5.058403899893165,1407302.501443288,7.695052772760391e-08,140.38793833113692,382.42542948709536,0.6999987894120102,0.6999987232548217,13.600754943418465
2,I2,optimal,14.44882160006091,704678.1937218872,2.1653249859809875e-08,137.12839518089243,410.19063268039145,1.782054268994668,1.9517673259496309,18.29638888931241
3,I1,optimal,4.810889899730682,1280055.603423644,1.664739102125168e-08,161.05182477103273,414.8685531252419,27.451267141543397,27.45126670097055,39.216095916490566
3,I2,optimal,7.275650199968368,689287.2747898861,1.6298145055770874e-09,136.3271334231053,407.3616929604257,0.5427131444898122,0.5513491777573154,7.64395281460624
4,I1,optimal,3.014467100147158,1275406.3887059798,1.5133991837501526e-09,168.10718873329543,425.01774819821105,0.6329221748387445,0.6326469317273679,14.563199526234616
4,I2,optimal,3.1818862999789417,687881.5349437917,1.501757651567459e-08,135.9735560739572,406.0878403244751,0.6776764409119034,0.677419041025042,5.307210195887627
5,I1,optimal,4.954208000097424,1274984.4495275593,6.6356733441352844e-09,170.16134177604278,427.9349558579239,0.4824180741309431,0.48168886648023745,4.368959855886921
5,I2,optimal,2.4337177998386323,687755.0157317835,4.0046870708465576e-08,135.85729097441182,405.6674189250895,0.677193154385326,0.676948707796348,1.7094189330804324
6,I1,optimal,4.976818200200796,1274946.4699074738,1.4057150110602379e-06,170.77453733280413,428.7986388279002,0.5154704690137464,0.5495547510300207,1.3106879589519593
6,I2,optimal,2.8924054000526667,687743.6263730542,3.597233444452286e-08,135.82148996119383,405.5378483496729,0.2580786574423085,0.27151889968846576,0.368683796346155
7,I1,optimal,3.4782516001723707,1274943.0544034932,2.293381839990616e-08,170.95822371714533,429.0567108272191,0.021020909911520502,0.022108255943102617,0.39320638658120544
7,I2,optimal,3.3626318997703493,687742.5986923642,5.762558430433273e-08,135.81066353622086,405.49866695379177,0.1460015591491574,0.15472266693346215,0.20857365592736773
8,I1,optimal,2.9213494998402894,1274942.749666681,4.284083843231201e-08,171.01330926534064,429.13403971237017,0.14011751690971397,0.14959315562932454,0.6112375258541647
8,I2,optimal,3.579665800090879,687742.5035725961,7.194466888904572e-08,135.80740227896752,405.4868843612383,0.11641331907634064,0.12399449945610871,0.1663047415376295
9,I1,optimal,3.4174534999765456,1274942.7248913446,3.3993273973464966e-08,171.02983753031475,429.1572302838686,0.06604171102539949,0.07052587675769324,0.31196676805164003
9,I2,optimal,3.849570999853313,687742.4988007916,2.577435225248337e-07,135.80639664902768,405.48334846749606,0.1542425309319818,0.1649026550496829,0.22034647275997402
10,I1,optimal,7.363699099980295,1274942.7321824285,2.507353201508522e-06,171.03478596560296,429.1641865016639,0.04243450439124842,0.04532638158403995,0.21477803100823678
10,I2,optimal,3.846111200284213,687742.494984096,2.7939677238464355e-09,135.80610006740798,405.4822869756159,0.053524774866586605,0.05721859536649776,0.07646396409512371
11,I1,optimal,5.820272900164127,1274942.7349676762,1.7229467630386353e-08,171.03627358669655,429.16627344530906,0.1405608896410887,0.15017470871685562,0.7567696415543992
11,I2,optimal,3.8516547000035644,687742.4917905211,2.3050233721733093e-08,135.80601034175444,405.48196834881287,0.07866246562239981,0.08403085794226989,0.1123749508891426
12,I1,optimal,5.484259600285441,1274942.7378660599,7.066410034894943e-08,171.03672127118662,429.1668996404835,0.11108731102556876,0.11868223534428379,0.5939829809714681
12,I2,optimal,3.7075115996412933,687742.4886930531,4.540197551250458e-09,135.80598228264319,405.4818726266492,0.14120937266691197,0.15086783146601224,0.20172767523844576
13,I1,optimal,5.427924500312656,1274942.7411714299,2.8405338525772095e-08,171.0368563276034,429.16708762902505,0.10447863909036725,0.11162266328390291,0.5600465770363954
13,I2,optimal,5.033896700013429,687742.485537243,5.797483026981354e-07,135.80597298593344,405.4818437693038,0.18685895787942833,0.19963465863596086,0.26694136839918337
14,I1,optimal,4.8386549996212125,1274942.744298633,1.4668330550193787e-08,171.03689784428764,429.1671441554206,0.04237770355614029,0.04527521793211842,0.22692160203807532
14,I2,optimal,4.107035200111568,687742.4824772278,8.731149137020111e-09,135.8059692646247,405.48183499206453,0.06763218452154776,0.07225686396580638,0.09661740645935399
15,I1,optimal,5.38022689986974,1274942.747390108,6.030313670635223e-08,171.03691102912777,429.1671612415451,0.012747218115209319,0.013618728059563212,0.06825723016159202
15,I2,optimal,4.503441599663347,687742.4793503509,1.5133991837501526e-09,135.80596718423527,405.48183222684673,0.000702743407356099,0.0007508820783823089,0.0010039191533658676
16,I1,optimal,6.084544999990612,1274942.750508292,2.1653249859809875e-08,171.03691583220566,429.1671664935084,0.014750230876065668,0.01575874950385392,0.07900938612955599
16,I2,optimal,4.494279199745506,687742.4762440969,3.4226104617118835e-08,135.8059656332762,405.48183126267975,0.021433402219241976,0.02289893068012422,0.030619146027488553
17,I1,optimal,5.889211899600923,1274942.7536216495,3.14321368932724e-08,171.03691821413202,429.1671681984877,0.056359830884651935,0.060213477628087556,0.30192470521626547
17,I2,optimal,3.8628894998691976,687742.4731563907,3.259629011154175e-09,135.80596420841337,405.48183084322426,0.04245825212069601,0.04536137900512599,0.060654645886708616
18,I1,optimal,4.570265000220388,1274942.7567162933,4.575122147798538e-08,171.03692001823256,429.16716884191635,0.04437317984159976,0.047407196452151204,0.2377135956537373
18,I2,optimal,8.325483199674636,687742.4700439313,5.995389074087143e-08,135.8059628471764,405.4818305905896,0.06784903631968896,0.07248824386614042,0.0969271947424128
19,I1,optimal,7.870288600213826,1274942.7598496375,3.1781382858753204e-08,171.03692143264615,429.16716916321366,0.11777930103804012,0.12583249826821133,0.6309608384304326
19,I2,optimal,7.154034799896181,687742.4669166462,4.4354237616062164e-07,135.80596167821605,405.4818303906124,0.016098549782948127,0.01719934363394711,0.02299792826135446
20,I1,optimal,7.507853399962187,1274942.7629381856,4.789326339960098e-07,171.03692277324453,429.1671693863026,0.0713508475404995,0.07622946322942342,0.3822362548013132
20,I2,optimal,4.758320899680257,687742.4638307329,8.882489055395126e-08,135.80596025719026,405.4818302081694,0.6910341196078953,0.7382842998575274,0.9871915994398504
21,I1,optimal,7.943514999933541,1274942.766017784,2.7474015951156616e-08,171.03692417833605,429.167169583939,0.07145178178188391,0.07633736632045227,0.3827773450333183
21,I2,optimal,3.6575651997700334,687742.4607144918,3.864988684654236e-08,135.8059589767629,405.48183001451326,0.501291069748797,0.5355673418847833,0.7161300996411386
22,I1,optimal,5.631146100349724,1274942.7691528187,9.001931175589561e-06,171.03692558590478,429.1671697691048,0.02064197449474226,0.02205355701542426,0.11058252042836614
22,I2,optimal,4.348195500206202,687742.4576062134,1.9907020032405853e-08,135.80595782033248,405.4818298367031,0.14774201708250406,0.15784420106260066,0.21106002440357724
23,I1,optimal,6.172322700265795,1274942.7722985055,4.9709342420101166e-08,171.0369268883049,429.1671699558568,0.29545227319488726,0.3156542857588965,1.5827803382760308
23,I2,optimal,5.476667900104076,687742.4544603773,2.948218025267124e-06,135.80595586062168,405.4818295925878,0.06709800278673207,0.07168567720664566,0.09585428969533154
24,I1,optimal,6.242330600041896,1274942.7753651096,6.542541086673737e-08,171.0369285638226,429.1671701113928,0.00038383374377864987,0.0004100477008504022,0.0020563476501180844
24,I2,optimal,5.675268699880689,687742.4514035619,6.135087460279465e-08,135.8059545368784,405.4818294640173,0.0034843404839417363,0.0037226512025875166,0.004977629262773911
