hour,node,lambda_joint_eur_per_mwh
1,N1,60.76704158719605
1,N2,60.767041661122434
1,N3,60.76704166412877
1,N4,60.76704162881575
1,N5,60.76704160288056
2,N1,58.410201792310524
2,N2,58.4102018827552
2,N3,58.41020188322034
2,N4,58.410201839319605
2,N5,58.41020181258151
3,N1,58.410201072750276
3,N2,58.410201305329714
3,N3,58.41020128073103
3,N4,58.41020116059137
3,N5,58.41020110033361
4,N1,58.41020095718544
4,N2,58.410201155777095
4,N3,58.41020113694277
4,N4,58.41020103300632
4,N5,58.41020098207727
5,N1,58.410200933600784
5,N2,58.410201233198094
5,N3,58.41020119597112
5,N4,58.41020103988694
5,N5,58.410200964213566
6,N1,58.41020506403482
6,N2,58.41020515259373
6,N3,58.410205153731155
6,N4,58.410205111880444
6,N5,58.410205084983474
7,N1,40.00000009619811
7,N2,823.4992522569344
7,N3,675.2088161977435
7,N4,267.410116968243
7,N5,79.99999998953984
8,N1,80.00000016183849
8,N2,832.7018629891686
8,N3,718.044879804732
8,N4,402.7381759912656
8,N5,79.9999999794745
9,N1,80.0000002516132
9,N2,823.4992521701563
9,N3,710.2440771878645
9,N4,398.7923459458908
9,N5,79.99999998836367
10,N1,79.99999999708987
10,N2,80.00000007344994
10,N3,80.0000000770622
10,N4,80.00000006560134
10,N5,79.99999998736315
11,N1,79.99999946120253
11,N2,79.99999948323628
11,N3,79.99999948279128
11,N4,79.99999948227175
11,N5,79.9999994679498
12,N1,70.08768054773599
12,N2,70.08768056548419
12,N3,70.08768056248009
12,N4,70.08768056547433
12,N5,70.08768055560199
13,N1,70.08768021591024
13,N2,70.08768023225653
13,N3,70.0876802273913
13,N4,70.08768023197801
13,N5,70.08768022380578
14,N1,70.08768020918318
14,N2,70.08768022487665
14,N3,70.08768021985998
14,N4,70.08768022473572
14,N5,70.08768021694577
15,N1,70.08768037207152
15,N2,70.08768038810582
15,N3,70.08768038425261
15,N4,70.08768038798989
15,N5,70.08768037958872
16,N1,70.08768232353876
16,N2,70.08768234118432
16,N3,70.08768233966707
16,N4,70.08768234136168
16,N5,70.0876823309047
17,N1,79.99999997649209
17,N2,80.00000000786258
17,N3,80.0000000093845
17,N4,80.0000000038183
17,N5,79.99999997612261
18,N1,80.00000001705884
18,N2,80.00000011384161
18,N3,80.00000012204478
18,N4,80.00000011079425
18,N5,79.99999999657683
19,N1,110.476428772212
19,N2,151.56573536688356
19,N3,167.35806661824148
19,N4,210.78697750079752
19,N5,79.99999999942483
20,N1,110.47642959203736
20,N2,151.56573718306262
20,N3,167.35806887981184
20,N4,210.7869809914577
20,N5,79.99999999620832
21,N1,110.47642907374095
21,N2,151.56573598445277
21,N3,167.35806740847354
21,N4,210.78697876884792
21,N5,79.99999999724079
22,N1,79.99999999986153
22,N2,80.00000007243521
22,N3,80.0000000789497
22,N4,80.0000000494226
22,N5,79.99999999162036
23,N1,79.99999997061836
23,N2,80.00000001055996
23,N3,80.00000001647705
23,N4,79.99999999618994
23,N5,79.99999997025124
24,N1,79.99999985809495
24,N2,79.99999988991615
24,N3,79.99999989549576
24,N4,79.99999987884803
24,N5,79.99999986124787
