hour,node,lambda_joint_eur_per_mwh
1,N1,54.999999987754165
1,N2,55.00000006481941
1,N3,55.00000009743911
1,N4,55.00000010000086
1,N5,55.00000011323242
2,N1,54.99999987974284
2,N2,54.99999996416083
2,N3,54.99999999362333
2,N4,54.99999999036123
2,N5,54.999999998442156
3,N1,54.999999748683145
3,N2,54.999999841087416
3,N3,54.999999868544286
3,N4,54.99999986021933
3,N5,54.99999986494584
4,N1,54.99999949779176
4,N2,54.999999595960745
4,N3,54.99999962241069
4,N4,54.999999610815756
4,N5,54.999999613762824
5,N1,54.999999802394825
5,N2,54.99999989391648
5,N3,54.999999922390835
5,N4,54.99999991605143
5,N5,54.999999922702465
6,N1,55.00000007199959
6,N2,55.00000014833669
6,N3,55.00000018325096
6,N4,55.00000018911306
6,N5,55.00000020682573
7,N1,74.9999998848762
7,N2,74.9999999491438
7,N3,74.99999998046637
7,N4,74.99999995319811
7,N5,74.99999994431124
8,N1,75.00000002010141
8,N2,75.00000009301334
8,N3,75.00000012256781
8,N4,75.00000005551357
8,N5,75.00000004692544
9,N1,74.99999997195194
9,N2,75.00000004015003
9,N3,75.00000006629601
9,N4,75.00000001534497
9,N5,74.99999997353191
10,N1,74.99999964479468
10,N2,74.99999973068915
10,N3,74.99999976490588
10,N4,74.99999977643849
10,N5,74.99999960862577
11,N1,54.99999980453475
11,N2,55.00000006662377
11,N3,55.000000159977375
11,N4,55.00000035229723
11,N5,54.99999962633707
12,N1,53.06884295554335
12,N2,54.99999986226421
12,N3,55.74222385024558
12,N4,57.78333976413647
12,N5,51.63648084954446
13,N1,51.636487706551094
13,N2,51.636497787072386
13,N3,51.636501636026175
13,N4,51.63651217465333
13,N5,51.63648024622406
14,N1,51.63648042487295
14,N2,51.63648111968288
14,N3,51.636481361340635
14,N4,51.63648198239612
14,N5,51.636479933056926
15,N1,51.63648115664787
15,N2,51.636482528664125
15,N3,51.63648302908506
15,N4,51.636484354776435
15,N5,51.63648017305858
16,N1,53.068843006866175
16,N2,54.99999970941219
16,N3,55.74222361311172
16,N4,57.78333928309176
16,N5,51.63648108398409
17,N1,54.999999997728004
17,N2,55.0000001704551
17,N3,55.00000023250495
17,N4,55.000000322649065
17,N5,54.99999991429268
18,N1,74.99999987831698
18,N2,74.99999996051447
18,N3,74.9999999915853
18,N4,74.9999999594551
18,N5,74.99999988212922
19,N1,75.000000396863
19,N2,75.00000052258441
19,N3,75.00000056637172
19,N4,75.00000041001046
19,N5,75.00000042285222
20,N1,75.00000061489031
20,N2,75.00000075454756
20,N3,75.000000804075
20,N4,75.000000624073
20,N5,75.00000065067623
21,N1,75.00000010872162
21,N2,75.00000021208899
21,N3,75.00000025113907
21,N4,75.0000001450514
21,N5,75.0000001677796
22,N1,74.9999999180736
22,N2,74.99999999493751
22,N3,75.00000002896975
22,N4,74.99999998924115
22,N5,74.99999999616985
23,N1,74.99999955745182
23,N2,74.99999963056355
23,N3,74.99999966766599
23,N4,74.99999966516937
23,N5,74.99999966216066
24,N1,55.000000233948924
24,N2,55.000000311688844
24,N3,55.00000034911148
24,N4,55.00000035844697
24,N5,55.00000038202155
