hour,lambda_system,system_net_injection_residual_mw
1,67.15000054119403,-1.666426410052349e-14
2,67.15000049328766,-1.3074781859683202e-14
3,67.15000040698871,8.168302958363339e-14
4,67.15000028665497,3.619424625238644e-14
5,67.1500004349126,1.7240258786634148e-14
6,67.15000054873765,6.783730252873788e-15
7,67.15000061270992,5.809703339315633e-14
8,67.15000062891252,5.774102864826868e-14
9,67.15000057598205,-1.001661855800227e-15
10,60.00000065837085,-7.186638314309079e-14
11,60.000000581928646,-3.745148552988364e-15
12,60.0000005638132,-2.535349377993308e-14
13,60.00000054842661,8.199335310052179e-15
14,60.00000052261492,6.224713839265029e-16
15,60.000000514108024,-4.286988795435009e-14
16,60.00000055569211,-5.909474307263401e-14
17,60.00000061170224,-8.99471835870484e-15
18,67.15000052419275,3.493621055216059e-14
19,67.14999982045114,5.088793687904749e-15
20,67.14999988041968,2.253389151096459e-14
21,67.15000061847775,2.4542554918264534e-15
22,67.15000061109436,4.2323896578129496e-14
23,67.1500005809514,7.776451975024256e-14
24,67.15000055752299,3.728535963138639e-14
