unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,5.1224634513601745e-05,5.113877588552088e-05,1.4910919748892088e-07,2.109976473669497e-07,6.188844987802881e-08,67.15000054125822,4.1558094428072675e-06,2.700801336419029e-06,-0.11602826694673767,-0.11644186167309636,-65.10890058451604
I2,2,N1,5.113877588552088e-05,5.105291705417855e-05,1.4910913572949275e-07,2.109977835124777e-07,6.188864778298494e-08,67.1500004933976,4.155822729163149e-06,2.7008018943147785e-06,-0.11602826799271954,-0.1164418613524209,-65.10889052653161
I2,3,N1,5.105291705417855e-05,5.0967052907280894e-05,1.4910751944905205e-07,2.1100134285544888e-07,6.189382340639683e-08,67.15000040711715,4.156170266937584e-06,2.700816467283757e-06,-0.1160282583922562,-0.11644189525004363,-65.10862992217011
I2,4,N1,5.0967052907280894e-05,5.088117833171279e-05,1.4910434856853008e-07,2.1100832609523903e-07,6.190397752670895e-08,67.15000028640367,4.156852108648032e-06,2.700845059978268e-06,-0.11602823765184622,-0.1164419639485485,-65.10811874928142
I2,5,N1,5.088117833171279e-05,5.0795288202033355e-05,1.490996193585133e-07,2.1101874150146657e-07,6.191912214295325e-08,67.15000043504581,4.157869078836965e-06,2.7008877064498494e-06,-0.11602820451712255,-0.11644206893743626,-65.10735696210799
I2,6,N1,5.0795288202033355e-05,5.0709377401921555e-05,1.4909333543230573e-07,2.1103258370354856e-07,6.193924827124283e-08,67.15000054881935,4.159220555407414e-06,2.700944393518907e-06,-0.11602815708666352,-0.1164422124298317,-65.10634449004634
I2,7,N1,5.0709377401921555e-05,5.062344081299956e-05,1.4908549686201123e-07,2.1104985468980987e-07,6.196435782779864e-08,67.15000061279794,4.160906666108309e-06,2.701015136638658e-06,-0.1160280928014666,-0.1164423974276922,-65.10508123579274
I2,8,N1,5.062344081299956e-05,5.0537473313457134e-05,1.4907610344912417e-07,2.11070557499073e-07,6.199445404994884e-08,67.15000062904004,4.162927628451059e-06,2.701099957111479e-06,-0.11602800859943212,-0.11644262752934811,-65.10356707290335
I2,9,N1,5.0537473313457134e-05,5.0451469778279396e-05,1.490651552597353e-07,2.1109469518879444e-07,6.202953992905914e-08,67.15000057716148,4.1652836420373824e-06,2.701198878363973e-06,-0.11602790118310129,-0.11644290662136718,-65.10180184301504
I2,10,N1,5.0451469778279396e-05,5.062335228189394e-05,3.1910054607666534e-07,1.1868068863236769e-07,-2.0041985744429763e-07,60.0000006583677,-1.202519157860782e-05,3.2833592603177477e-06,-0.1172145995092657,-0.11581397524404248,-65.09978535312865
I2,11,N1,5.062335228189394e-05,5.079518967151098e-05,3.1906035625464396e-07,1.1868770519172832e-07,-2.0037265106291564e-07,60.00000058191952,-1.2022359180375696e-05,3.283110460847792e-06,-0.11721406679692972,-0.11581403435817395,-65.09827092405898
I2,12,N1,5.079518967151098e-05,5.0966996892570236e-05,3.19033481866415e-07,1.1869239841777011e-07,-2.003410834486449e-07,60.00000056411069,-1.202046511993324e-05,3.2829441021313884e-06,-0.11721371261657151,-0.11581407179915497,-65.09725817892958
I2,13,N1,5.0966996892570236e-05,5.113878888319621e-05,3.190199148823689e-07,1.1869476812286776e-07,-2.0032514675950113e-07,60.000000548276994,-1.2019508915403737e-05,3.282860122539275e-06,-0.1172135346788194,-0.11581408979120571,-65.09674686723372
I2,14,N1,5.113878888319621e-05,5.1310580576893386e-05,3.190196504058403e-07,1.1869481434140173e-07,-2.0032483606443856e-07,60.00000052163583,-1.2019490268362926e-05,3.282858485604315e-06,-0.11721353172762322,-0.11581408956557,-65.09673686323006
I2,15,N1,5.1310580576893386e-05,5.14823869066736e-05,3.190326879752498e-07,1.1869253713008109e-07,-2.003401508451687e-07,60.000000515167486,-1.2020409153918853e-05,3.2829391882899815e-06,-0.11721370373808646,-0.11581407113411515,-65.09722816499149
