hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,364.5000035044492,4.978845550119722e-08,7.393064884637088e-08,2.414219334517366e-08,0.0,364.5000035285914,67.15000063069823
1,N2,0.0,0,6.073356540298346e-08,4.644526947624451e-08,-1.4288295926738946e-08,0.0,-1.4288295926738938e-08,67.15000065976861
1,N3,0.0,59.21145593800688,1.1968668574000777e-07,3.4473992662767006,3.4473991465900147,0.0,62.65885508459689,67.15000065187905
1,N4,0.0,0,1.0572177732946618e-07,1.5603429253751534e-07,5.031251520804915e-08,0.0,5.0312515208049155e-08,67.15000065071081
1,N5,371.25,2.2847042450068905e-08,1.180951962277981e-07,1.3608547117471286e-07,1.799027494691478e-08,0.0,-371.24999995916266,67.1500006601997
1,N6,35.64,0,4.212273734655037e-08,7.858955266673717e-08,3.64668153201868e-08,0.0,-35.639999963533185,67.15000065262875
1,N7,0.0,0,6.073331867459163e-08,4.644549718385726e-08,-1.4287821490734369e-08,0.0,-1.4287821490734366e-08,67.15000065976861
1,N8,39.6,0,1.1968667313814378e-07,15.321689949210143,15.321689829523471,0.0,-24.278310170476534,67.15000065702587
1,N9,0.0,0,1.196866827106047e-07,4.009451577934406,4.009451458247724,0.0,4.0094514582477245,67.15000065270824
2,N1,0.0,368.4375035438242,4.9833127189891914e-08,7.385997406264323e-08,2.402684687275132e-08,0.0,368.437503567851,67.1500006196906
2,N2,0.0,0,6.122201229862354e-08,4.686537506981749e-08,-1.4356637228806046e-08,0.0,-1.4356637228806041e-08,67.15000065019005
2,N3,0.0,35.65997583778406,1.1968668586624143e-07,3.3606408103981074,3.3606406907114215,0.0,39.02061652849548,67.15000064407982
2,N4,0.0,0,1.0579092207155206e-07,1.5594485233126583e-07,5.015393025971378e-08,0.0,5.0153930259713786e-08,67.15000064165469
2,N5,354.375,2.2847042429934356e-08,1.1809519981423761e-07,1.3608546686324173e-07,1.7990267049004112e-08,0.0,-354.37499995916266,67.15000065041032
2,N6,34.02,0,4.238513570391008e-08,7.862970934830543e-08,3.624457364439535e-08,0.0,-34.01999996375543,67.1500006440837
2,N7,0.0,0,6.122175501020235e-08,4.686555110035155e-08,-1.4356203909850805e-08,0.0,-1.4356203909850796e-08,67.15000065019005
2,N8,37.8,0,1.196866732098295e-07,14.847764930467694,14.84776481078102,0.0,-22.952235189218975,67.15000064806041
2,N9,0.0,0,1.1968668284222843e-07,3.889115114036227,3.8891149943495438,0.0,3.8891149943495433,67.15000064462296
3,N1,0.0,372.3750035831992,4.98590854243517e-08,7.374630556042417e-08,2.3887220136072466e-08,0.0,372.3750036070864,67.15000060307618
3,N2,0.0,0,6.127775852457904e-08,4.685312579140593e-08,-1.4424632733173111e-08,0.0,-1.4424632733173108e-08,67.15000063569842
3,N3,0.0,19.44676808993917,1.1968668577429526e-07,3.2611712229747987,3.2611711032881128,0.0,22.707939193227283,67.15000063075085
3,N4,0.0,0,1.0581238498603456e-07,1.5584163355735156e-07,5.0029248571317003e-08,0.0,5.0029248571317e-08,67.15000062738456
3,N5,343.125,2.284704239702725e-08,1.180951280400081e-07,1.36085574449184e-07,1.799044640917587e-08,0.0,-343.1249999591625,67.15000063576434
3,N6,32.94,0,4.2336779065895804e-08,7.877564343088085e-08,3.6438864364985044e-08,0.0,-32.93999996356113,67.1500006302184
3,N7,0.0,0,6.12774912138988e-08,4.685330639599946e-08,-1.4424184817899345e-08,0.0,-1.4424184817899348e-08,67.15000063569842
3,N8,36.6,0,1.1968667334001246e-07,13.83341627043244,13.833416150745768,0.0,-22.766583849254236,67.15000063398399
3,N9,0.0,0,1.1968668284342616e-07,3.7486410701704043,3.7486409504837215,0.0,3.748640950483721,67.15000063109873
4,N1,0.0,375.0000036094492,4.9873673097807674e-08,7.36391329870147e-08,2.3765459889207028e-08,0.0,375.00000363321465,67.15000058405334
4,N2,0.0,0,6.131943507809338e-08,4.684022376326184e-08,-1.4479211314831537e-08,0.0,-1.4479211314831533e-08,67.15000061845612
4,N3,0.0,11.640050922220373,1.196866854204386e-07,3.166778335132499,3.1667782154458135,0.0,14.806829137666186,67.15000061409405
4,N4,0.0,0,1.0582019080247952e-07,1.5576267402719714e-07,4.99424832247176e-08,0.0,4.994248322471759e-08,67.15000061020577
4,N5,337.5,2.2847042353282615e-08,1.1809498083612486e-07,1.360857957734913e-07,1.799081493736645e-08,0.0,-337.49999995916215,67.15000061843739
4,N6,32.4,0,4.220460502531532e-08,7.920553458189486e-08,3.7000929556579535e-08,0.0,-32.39999996299907,67.1500006132729
4,N7,0.0,0,6.131915196006904e-08,4.684041470970043e-08,-1.4478737250368611e-08,0.0,-1.4478737250368626e-08,67.15000061845612
4,N8,36.0,0,1.1968667353082378e-07,12.492621581106523,12.49262146141985,0.0,-23.507378538580152,67.15000061695811
4,N9,0.0,0,1.1968668267667195e-07,3.600545788562699,3.6005456688760167,0.0,3.6005456688760167,67.15000061434102
5,N1,0.0,372.3750035831992,4.9879320649333613e-08,7.357343512912593e-08,2.369411447979232e-08,0.0,372.3750036068933,67.1500006082483
5,N2,0.0,0,6.138358654562086e-08,4.680447111457522e-08,-1.4579115431045638e-08,0.0,-1.4579115431045632e-08,67.15000064100803
5,N3,0.0,23.593012597933406,1.1968668415120816e-07,3.6060854207557473,3.606085301069063,0.0,27.19909789900247,67.15000063565834
5,N4,0.0,0,1.0581979951516305e-07,1.5572294646881393e-07,4.9903146953650884e-08,0.0,4.99031469536509e-08,67.15000063255668
5,N5,348.75,2.2847042411214243e-08,1.1809475490720528e-07,1.3608613394457223e-07,1.7991379037366975e-08,0.0,-348.7499999591616,67.15000064116194
5,N6,33.48,0,4.200229366456625e-08,7.987401254303263e-08,3.787171887846638e-08,0.0,-33.479999962128275,67.1500006352721
5,N7,0.0,0,6.138328333650301e-08,4.680467509636931e-08,-1.4578608240133703e-08,0.0,-1.4578608240133708e-08,67.15000064100803
5,N8,37.2,0,1.1968667310809896e-07,15.707219110870593,15.70721899118392,0.0,-21.49278100881608,67.15000063910627
5,N9,0.0,0,1.1968668164529798e-07,4.148679523151444,4.1486794034647625,0.0,4.148679403464763,67.1500006360613
6,N1,0.0,364.5000035044492,4.9877264137483356e-08,7.356126764653516e-08,2.3684003509051806e-08,0.0,364.5000035281332,67.15000063282334
6,N2,0.0,0,6.147853288327086e-08,4.6741427196627166e-08,-1.473710568664369e-08,0.0,-1.4737105686643697e-08,67.15000066231033
6,N3,0.0,66.85871381346152,1.1968668249624014e-07,4.184138080697736,4.184137961011054,0.0,71.04285177447257,67.15000065352875
6,N4,0.0,0,1.0581312309523683e-07,1.5572375327474136e-07,4.9910630179504536e-08,0.0,4.9910630179504536e-08,67.1500006528359
6,N5,382.5,2.2847042459777646e-08,1.1809445096802678e-07,1.3608658730584433e-07,1.7992136337817568e-08,0.0,-382.4999999591608,67.15000066291728
6,N6,36.72,0,4.1732614021583746e-08,8.077492586359457e-08,3.9042311842010826e-08,0.0,-36.719999960957686,67.15000065455901
6,N7,0.0,0,6.147820837770793e-08,4.6741643978617475e-08,-1.4736564399090454e-08,0.0,-1.4736564399090449e-08,67.15000066231033
6,N8,40.8,0,1.196866727687777e-07,19.604974688685594,19.604974568998923,0.0,-21.195025431001074,67.15000065913652
6,N9,0.0,0,1.1968668033411713e-07,4.872170147763522,4.872170028076841,0.0,4.872170028076842,67.15000065447013
7,N1,0.0,351.3750033731992,4.9867238361632394e-08,7.361313715927877e-08,2.3745898797646374e-08,0.0,351.37500339694515,67.15000064996723
7,N2,0.0,0,6.158211375309431e-08,4.665961465208483e-08,-1.4922499101009476e-08,0.0,-1.4922499101009476e-08,67.15000067926697
7,N3,0.0,140.48393549679028,1.196866802100924e-07,5.123482816251441,5.123482696564761,0.0,145.60741819335502,67.15000066184025
7,N4,0.0,0,1.0580032270535148e-07,1.5577098172859845e-07,4.997065902324699e-08,0.0,4.9970659023247175e-08,67.15000066531857
7,N5,450.0,2.2847042509432997e-08,1.1809407250686791e-07,1.360871379527867e-07,1.799306544591878e-08,0.0,-449.9999999591599,67.15000068086749
7,N6,43.2,4.795875034604426,4.1392831509229195e-08,8.194131978573447e-08,4.0548488276505273e-08,0.0,-38.40412492484709,67.15000066544978
