hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000056242668
1,G_IEEE3,57.08348328602905,290.0,67.15,0.0
1,RES_Wind_N1,94.50000094291369,94.5,0.0,-67.15000064720927
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,0.0,200.0,95.0,0.0
2,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000053966736
2,G_IEEE3,33.952858635222924,290.0,67.15,0.0
2,RES_Wind_N1,98.4375009822887,98.4375,0.0,-67.15000064487386
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,0.0,200.0,95.0,0.0
3,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000049934149
3,G_IEEE3,18.126439385713358,290.0,67.15,0.0
3,RES_Wind_N1,102.37500102166369,102.375,0.0,-67.15000064078636
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,0.0,200.0,95.0,0.0
4,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000044343277
4,G_IEEE3,10.615942874243428,290.0,67.15,0.0
4,RES_Wind_N1,105.00000104791368,105.0,0.0,-67.15000063516118
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,0.0,200.0,95.0,0.0
5,G_IEEE1,270.0000026803456,270.0,60.0,-7.1500000511962
5,G_IEEE3,22.291000338859657,290.0,67.15,0.0
5,RES_Wind_N1,102.37500102166369,102.375,0.0,-67.15000064204841
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,0.0,200.0,95.0,0.0
6,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000056598467
6,G_IEEE3,65.29365746530483,290.0,67.15,0.0
6,RES_Wind_N1,94.50000094291369,94.5,0.0,-67.15000064756507
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,0.0,200.0,95.0,0.0
7,G_IEEE1,270.0000026803456,270.0,60.0,-7.150000059677494
