hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000257205727,270.0,60.0,-7.150000034105495
1,G_IEEE3,58.916132480204105,290.0,67.15,0.0
1,RES_Wind_N1,94.50000093239188,94.5,0.0,-67.1500006303977
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,2.284705300606788e-08,200.0,95.0,0.0
2,G_IEEE1,270.00000257205727,270.0,60.0,-7.150000023117307
2,G_IEEE3,35.355667109138054,290.0,67.15,0.0
2,RES_Wind_N1,98.4375009717669,98.4375,0.0,-67.15000061902231
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,2.2847052989080547e-08,200.0,95.0,0.0
3,G_IEEE1,270.00000257205727,270.0,60.0,-7.1500000065538
3,G_IEEE3,19.149777602661413,290.0,67.15,0.0
3,RES_Wind_N1,102.37500101114189,102.375,0.0,-67.15000060210137
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,2.2847052958861486e-08,200.0,95.0,0.0
4,G_IEEE1,270.00000257205727,270.0,60.0,-7.1499999876159315
4,G_IEEE3,11.366156967091909,290.0,67.15,0.0
4,RES_Wind_N1,105.00000103739188,105.0,0.0,-67.15000058294011
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,2.2847052914899136e-08,200.0,95.0,0.0
5,G_IEEE1,270.00000257205727,270.0,60.0,-7.150000011716363
5,G_IEEE3,23.32951124800495,290.0,67.15,0.0
5,RES_Wind_N1,102.37500101114189,102.375,0.0,-67.15000060726393
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
5,G_PEAKER_N5,2.284705296921926e-08,200.0,95.0,0.0
6,G_IEEE1,270.00000257205727,270.0,60.0,-7.150000036234951
6,G_IEEE3,66.62532932769592,290.0,67.15,0.0
6,RES_Wind_N1,94.50000093239188,94.5,0.0,-67.15000063252717
6,RES_PV_N6,0.0,0.0,0.0,
6,RES_PV_N8,0.0,0.0,0.0,
6,G_PEAKER_N5,2.2847053009159073e-08,200.0,95.0,0.0
7,G_IEEE1,270.00000257205727,270.0,60.0,-7.150000053369955
7,G_IEEE3,140.3494128366215,290.0,67.15,0.0
7,RES_Wind_N1,81.3750008011419,81.375,0.0,-67.15000065122351
