unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I3,0,N1,6.363235429119805e-05,-0.014754298897788553,-64.5231939690715
I3,1,N1,6.359958750637655e-05,-0.014874657065576908,-64.5231939690715
I3,2,N1,6.356689269256368e-05,-0.014931833235470888,-64.5231939690715
I3,3,N1,6.353419774321577e-05,-0.014962133573018784,-64.5231939690715
I3,4,N1,6.350150287493031e-05,-0.014952602286161963,-64.5231939690715
I3,5,N1,6.346880778924082e-05,-0.014905656083520668,-64.5231939690715
I3,6,N1,6.343611230993783e-05,-0.014820679393039587,-64.5231939690715
I3,7,N1,6.340341624507091e-05,-0.014698905631661686,-64.5231939690715
I3,8,N1,6.337071935375888e-05,-0.014543073691047827,-64.5231939690715
I3,9,N1,6.333802069002934e-05,-0.014371604355478575,-64.5231939690715
I3,10,N1,6.340362073324798e-05,-0.014423222155017465,-64.5231939690715
I3,11,N1,6.346920939941198e-05,-0.014292970994313356,-64.5231939690715
I3,12,N1,6.35347972192576e-05,-0.014117133477002528,-64.5231939690715
I3,13,N1,6.360038446983058e-05,-0.0139350537321417,-64.5231939690715
I3,14,N1,6.366597145116558e-05,-0.013771506149389658,-64.5231939690715
I3,15,N1,6.373155848920577e-05,-0.013643620565197453,-64.5231939690715
I3,16,N1,6.379714599711053e-05,-0.01356215750076457,-64.5231939690715
I3,17,N1,6.386123930041957e-05,-0.013850694171882548,-64.5231939690715
I3,18,N1,6.382853962907263e-05,-0.013866284608004598,-64.5231939690715
I3,19,N1,6.37958406518833e-05,-0.013945651538139169,-64.5231939690715
I3,20,N1,6.376314226757861e-05,-0.014080186833983628,-64.5231939690715
I3,21,N1,6.373044442820432e-05,-0.01425437282056482,-64.5231939690715
I3,22,N1,6.369774713207894e-05,-0.01444545678139721,-64.5231939690715
I3,23,N1,6.366505040464215e-05,-0.014622955639637144,-64.5231939690715
I3,24,N1,6.363235429119805e-05,-0.014748001670862279,-64.5231939690715
I3,0,N2,1.595117096337418e-06,-15.89530958169372,-48.237045023750696
I3,1,N2,1.6040039132967537e-06,-2.1770229411300104,-48.237045023750696
I3,2,N2,1.6119882496584794e-06,-1.0812796291370437,-48.237045023750696
I3,3,N2,1.6199373145045487e-06,-0.894785248516845,-48.237045023750696
I3,4,N2,1.6279104751878148e-06,-0.8252633855535573,-48.237045023750696
I3,5,N2,1.635968782230787e-06,-0.793998518279144,-48.237045023750696
I3,6,N2,1.6441979421985083e-06,-0.7820953954275789,-48.237045023750696
I3,7,N2,1.6525781152646315e-06,-0.7898453712242153,-48.237045023750696
I3,8,N2,1.6598662442147363e-06,-0.888975177700089,-48.237045023750696
I3,9,N2,1.6686917237343112e-06,-0.9563431745785443,-48.237045023750696
I3,10,N2,1.7805540581235048e-06,-5.465396002933459,-48.237045023750696
I3,11,N2,1.7590364112834181e-06,-2.749589630104534,-48.237045023750696
I3,12,N2,1.6867223196379175e-06,-0.8544712058561943,-48.237045023750696
I3,13,N2,1.6108404995532963e-06,-0.6424526451261555,-48.237045023750696
I3,14,N2,1.5322270536447421e-06,-0.5038576316439237,-48.237045023750696
I3,15,N2,1.4561372479069047e-06,-0.4103792960930029,-48.237045023750696
I3,16,N2,1.4294910669913092e-06,-0.36564894478365834,-48.237045023750696
I3,17,N2,1.5375851918386948e-06,-0.5421848298281009,-48.237045023750696
I3,18,N2,1.546686149191893e-06,-0.575732517972456,-48.237045023750696
I3,19,N2,1.5552318999000643e-06,-0.5943552377759851,-48.237045023750696
I3,20,N2,1.5634435684995288e-06,-0.6201408677915488,-48.237045023750696
I3,21,N2,1.571499578848567e-06,-0.6367609547496923,-48.237045023750696
