unit,hour,node,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_joint_eur_per_mwh,spot_revenue_eur
I1,1,N1,0.0,0.0,0.0,67.14999961869543,0.0
I1,1,N2,0.0,0.0,0.0,67.14999995562121,0.0
I1,1,N3,3.960098096819073e-07,0.16688902365744626,0.16688862764763657,67.14999988164446,11.206571326786602
I1,1,N4,0.0,0.0,0.0,67.14999986288605,0.0
I1,1,N5,0.0,0.0,0.0,67.14999996039344,0.0
I1,1,N6,0.0,0.0,0.0,67.14999988495723,0.0
I1,1,N7,0.0,0.0,0.0,67.14999995562121,0.0
I1,1,N8,3.960095809486391e-07,2.7894623219104977,2.7894619259009166,67.14999992962194,187.31236812792963
I1,1,N9,3.960096997311713e-07,0.3156860188415777,0.31568562283187795,67.14999988881105,21.198289538059853
I1,2,N1,0.0,0.0,0.0,67.14999946256705,0.0
I1,2,N2,0.0,0.0,0.0,67.14999982640391,0.0
I1,2,N3,3.9600981086931315e-07,0.16672030581290734,0.16671990980309648,67.14999976998223,11.195241904929386
I1,2,N4,0.0,0.0,0.0,67.14999973876546,0.0
I1,2,N5,0.0,0.0,0.0,67.14999982879286,0.0
I1,2,N6,0.0,0.0,0.0,67.14999976606858,0.0
I1,2,N7,0.0,0.0,0.0,67.14999982640391,0.0
I1,2,N8,3.960095826238612e-07,2.7229908649203693,2.722990468910787,67.14999980657355,182.84880946066096
I1,2,N9,3.960097012517297e-07,0.3148724973147018,0.31487210130500054,67.14999977434161,21.143661531577255
I1,3,N1,0.0,0.0,0.0,67.14999917296646,0.0
I1,3,N2,0.0,0.0,0.0,67.14999957598188,0.0
I1,3,N3,3.960098003935603e-07,0.1687249788061852,0.1687245827963848,67.14999953088682,11.329855655626313
I1,3,N4,0.0,0.0,0.0,67.14999949027904,0.0
I1,3,N5,0.0,0.0,0.0,67.14999957662755,0.0
I1,3,N6,0.0,0.0,0.0,67.14999952177293,0.0
I1,3,N7,0.0,0.0,0.0,67.14999957598188,0.0
I1,3,N8,3.960095857532154e-07,2.6076607427967007,2.607660346787115,67.14999956039536,175.10439114041517
I1,3,N9,3.9600969769063734e-07,0.3175284325511813,0.3175280365414836,67.14999953336913,21.32200750559224
I1,4,N1,0.0,0.0,0.0,67.14999876097494,0.0
I1,4,N2,0.0,0.0,0.0,67.14999919825908,0.0
I1,4,N3,3.96009777440015e-07,0.17321032461628214,0.1732099286065047,67.14999915856772,11.631046560182366
I1,4,N4,0.0,0.0,0.0,67.14999911288108,0.0
I1,4,N5,0.0,0.0,0.0,67.14999919793263,0.0
I1,4,N6,0.0,0.0,0.0,67.14999914675761,0.0
I1,4,N7,0.0,0.0,0.0,67.14999919825908,0.0
I1,4,N8,3.9600959042487036e-07,2.4516935200544125,2.451693124044822,67.14999918494784,164.63119128135205
I1,4,N9,3.9600968869111837e-07,0.32406877794778405,0.32406838193809534,67.14999916015782,21.761191574976806
I1,5,N1,0.0,0.0,0.0,67.14999926659938,0.0
I1,5,N2,0.0,0.0,0.0,67.1499996709724,0.0
I1,5,N3,3.960097223605273e-07,0.18425214415466662,0.18425174814494427,67.14999962201671,12.372504818288926
I1,5,N4,0.0,0.0,0.0,67.14999958391196,0.0
I1,5,N5,0.0,0.0,0.0,67.14999967258369,0.0
I1,5,N6,0.0,0.0,0.0,67.14999961422919,0.0
I1,5,N7,0.0,0.0,0.0,67.1499996709724,0.0
I1,5,N8,3.9600957895256067e-07,2.9217121978474196,2.9217118018378407,67.14999965349642,196.1929464810274
I1,5,N9,3.960096556234032e-07,0.3471709108224438,0.34717051481278816,67.14999962500026,23.31249993948987
I1,6,N1,0.0,0.0,0.0,67.14999964223976,0.0
I1,6,N2,0.0,0.0,0.0,67.14999998335539,0.0
I1,6,N3,3.9600964928074553e-07,0.2011946752553193,0.20119427924567004,67.14999990085845,13.51019583140003
I1,6,N4,0.0,0.0,0.0,67.14999988643038,0.0
I1,6,N5,0.0,0.0,0.0,67.14999999007829,0.0
I1,6,N6,0.0,0.0,0.0,67.14999990663264,0.0
I1,6,N7,0.0,0.0,0.0,67.14999998335539,0.0
