unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I2,1,N1,5.1794152260588644e-05,5.172246153154948e-05,1.2248981539375078e-07,1.744153596878646e-07,5.192554429411382e-08,67.15000056658418,3.486800328769935e-06,2.2267888131121154e-06,-0.0871957987358464,-0.08744449017045675,-64.40104637615029
I2,2,N1,5.172246153154948e-05,5.1650770655087375e-05,1.2248977065629555e-07,1.7441545848143122e-07,5.192568782513568e-08,67.15000052882766,3.486809964917601e-06,2.226789218532951e-06,-0.08719968717302765,-0.08744011150477583,-64.40104868677845
I2,3,N1,5.1650770655087375e-05,5.157907677242524e-05,1.224888590426179e-07,1.7441747362355346e-07,5.192861458093555e-08,67.150000460956,3.4870064930466283e-06,2.2267974949962853e-06,-0.08719891994882695,-0.08744119116878954,-64.40100775288983
I2,4,N1,5.157907677242524e-05,5.150737702164732e-05,1.2248708009471356e-07,1.7442140765079134e-07,5.193432755607778e-08,67.15000036653367,3.487390114426303e-06,2.2268136580912866e-06,-0.0871936358596987,-0.08744731345472263,-64.40092230162705
I2,5,N1,5.150737702164732e-05,5.14356685345375e-05,1.2248443161208798e-07,1.7442726453241686e-07,5.194283292032888e-08,67.15000048282079,3.4879612556791638e-06,2.2268377210837863e-06,-0.08718377473855099,-0.08745867534784747,-64.40078563106083
I2,6,N1,5.14356685345375e-05,5.13639484526461e-05,1.224809168453925e-07,1.7443503797493038e-07,5.195412112953789e-08,67.1500005724826,3.4887192635912996e-06,2.2268696611524212e-06,-0.08716896424488207,-0.0874757650515306,-64.40058535669176
I2,7,N1,5.13639484526461e-05,5.129221392171992e-05,1.2247653741440733e-07,1.7444472546952167e-07,5.196818805511434e-08,67.150000622991,3.489663860276642e-06,2.2269094716294674e-06,-0.087148622010759,-0.08749919594590544,-64.40030307047084
I2,8,N1,5.129221392171992e-05,5.1220462092147615e-05,1.2247129498584105e-07,1.7445632413159329e-07,5.198502914575224e-08,67.15000063574112,3.490794740186284e-06,2.2269571433807575e-06,-0.08712214421462958,-0.08752969281305772,-64.39991400551553
I2,9,N1,5.1220462092147615e-05,5.114869011531616e-05,1.2246518993458987e-07,1.744698333551729e-07,5.2004643420583037e-08,67.15000059301357,3.4921118365316103e-06,2.227012674673221e-06,-0.08708925584906632,-0.08756772880991893,-64.39938690720496
I2,10,N1,5.114869011531616e-05,5.129216421903036e-05,2.642846741351609e-07,9.724698479463139e-08,-1.670376893405295e-07,60.00000064400393,-1.00222614680047e-05,2.711487441973442e-06,-0.08751838833459749,-0.08725225630044854,-64.39868450572583
I2,11,N1,5.129216421903036e-05,5.14356131620598e-05,2.642622615894475e-07,9.725089965390877e-08,-1.670113619355387e-07,60.00000058364225,-1.002068181360721e-05,2.711348709325172e-06,-0.08748687585283389,-0.08728673043107955,-64.39819666168391
