hour,generator,dispatch_mw,capacity_mw,marginal_cost_eur_per_mwh,nu_gen_dual
1,G_IEEE1,270.00000238983546,270.0,60.0,-7.149807062712059
1,G_IEEE3,0.0114931959050059,290.0,67.15,0.0
1,RES_Wind_N1,94.50000091197509,94.5,0.0,-67.1498076679655
1,RES_PV_N6,0.0,0.0,0.0,
1,RES_PV_N8,0.0,0.0,0.0,
1,G_PEAKER_N5,6.96266134343286e-08,200.0,95.0,-1.0880827394098608e-09
2,G_IEEE1,270.0000023898438,270.0,60.0,-7.149999855988241
2,G_IEEE3,15.300309307138926,290.0,67.15,0.0
2,RES_Wind_N1,98.43750095135019,98.4375,0.0,-67.15000046030302
2,RES_PV_N6,0.0,0.0,0.0,
2,RES_PV_N8,0.0,0.0,0.0,
2,G_PEAKER_N5,6.962716467232052e-08,200.0,95.0,-1.0880827394098927e-09
3,G_IEEE1,270.0000023898438,270.0,60.0,-7.149999893572469
3,G_IEEE3,25.736486037143326,290.0,67.15,0.0
3,RES_Wind_N1,102.37500099072518,102.375,0.0,-67.15000049702078
3,RES_PV_N6,0.0,0.0,0.0,
3,RES_PV_N8,0.0,0.0,0.0,
3,G_PEAKER_N5,6.962716474281219e-08,200.0,95.0,-1.0880827394098923e-09
4,G_IEEE1,270.00000238983716,270.0,60.0,-7.149847083444097
4,G_IEEE3,0.014503872434179799,290.0,67.15,0.0
4,RES_Wind_N1,105.0000010169751,105.0,0.0,-67.14984768635087
4,RES_PV_N6,0.0,0.0,0.0,
4,RES_PV_N8,0.0,0.0,0.0,
4,G_PEAKER_N5,6.962672792740847e-08,200.0,95.0,-1.0880827394098677e-09
5,G_IEEE1,270.0000023898438,270.0,60.0,-7.1499999115341035
5,G_IEEE3,30.856193374635694,290.0,67.15,0.0
5,RES_Wind_N1,102.37500099072518,102.375,0.0,-67.1500005149824
5,RES_PV_N6,0.0,0.0,0.0,
5,RES_PV_N8,0.0,0.0,0.0,
