hour,line,flow_mw,limit_mw,abs_utilization,mu_upper_dual,mu_lower_dual
1,L14,364.5000027694347,400.0,0.9112500069235867,-5.246807008579844e-08,0.0
1,L45,315.4332053684634,400.0,0.7885830134211586,-1.6223254602866096e-08,0.0
1,L46,49.06679686859673,200.0,0.24533398434298367,-4.692701295930863e-09,0.0
1,L69,13.426796377696897,200.0,0.06713398188848449,-1.8860396133955127e-09,3.9052562889273434e-10
1,L57,-55.816795129327,400.0,0.1395419878233175,0.0,0.0
1,L93,-35.639205562162054,400.0,0.08909801390540513,0.0,0.0
1,L72,6.530633170227676e-07,400.0,1.632658292556919e-09,0.0,0.0
1,L98,69.54175000731145,200.0,0.34770875003655727,-6.99867078483619e-09,0.0
1,L78,-55.816796439463616,200.0,0.27908398219731806,0.0,5.380546955929371e-09
2,L14,368.437502810418,400.0,0.9210937570260449,-6.026111622395722e-08,0.0
2,L45,306.3574557751731,400.0,0.7658936394379328,-1.3681720062333624e-08,0.0
2,L46,62.080046504470104,200.0,0.3104002325223505,-6.0790114037831615e-09,0.0
2,L69,28.06004601483381,200.0,0.14030023007416903,-2.8976219158963653e-09,0.0
2,L57,-48.01754472125575,400.0,0.12004386180313938,0.0,0.0
2,L93,-15.300307820780686,400.0,0.03825076955195172,0.0,0.0
2,L72,6.512773827134838e-07,400.0,1.6281934567837097e-09,0.0,0.0
2,L98,43.360353430895934,200.0,0.21680176715447966,-4.157441117714631e-09,0.0
2,L78,-48.017546027781016,200.0,0.24008773013890508,0.0,4.591267051640874e-09
3,L14,372.37500285134934,400.0,0.9309375071283733,-7.027570937694798e-08,0.0
3,L45,306.580290163178,400.0,0.766450725407945,-1.3630448429806614e-08,0.0
3,L46,65.7947121589529,200.0,0.32897356079476453,-6.576682067475156e-09,0.0
3,L69,32.85471167054416,200.0,0.1642735583527208,-3.301500474202428e-09,0.0
3,L57,-36.544710331931185,400.0,0.09136177582982796,0.0,0.0
3,L93,-25.73648476595368,400.0,0.0643412119148842,0.0,0.0
3,L72,6.495402691237772e-07,400.0,1.623850672809443e-09,0.0,0.0
3,L98,58.591196032709306,200.0,0.2929559801635465,-5.415094485635724e-09,0.0
3,L78,-36.54471163494364,200.0,0.1827235581747182,0.0,3.6025665874774513e-09
4,L14,375.00000287911195,400.0,0.9375000071977798,-7.87046585516673e-08,0.0
4,L45,307.0333446940746,400.0,0.7675833617351864,-1.3853891575198665e-08,0.0
4,L46,67.96665765733833,200.0,0.3398332882866917,-6.795882497347082e-09,0.0
4,L69,35.566657170127,200.0,0.17783328585063501,-3.4864163174428545e-09,0.0
4,L57,-30.466655799750406,400.0,0.07616663949937602,0.0,0.0
4,L93,-0.014502354865882949,400.0,3.625588716470737e-05,0.0,0.0
4,L72,6.478443438953713e-07,400.0,1.6196108597384282e-09,0.0,0.0
4,L98,66.46665853856958,200.0,0.3323332926928479,-6.607212453113161e-09,0.0
4,L78,-30.466657099333258,200.0,0.15233328549666628,0.0,3.0807104587468025e-09
5,L14,372.3750028544193,400.0,0.9309375071360482,-7.02757093890824e-08,0.0
5,L45,309.0486502313829,400.0,0.7726216255784573,-1.4260794036559421e-08,0.0
5,L46,63.326352096888,200.0,0.31663176048444003,-6.279958087743459e-09,0.0
5,L69,29.84635161090756,200.0,0.1492317580545378,-3.0680502510808703e-09,0.0
5,L57,-39.70135026111984,400.0,0.09925337565279961,0.0,0.0
5,L93,-30.85619242930851,400.0,0.07714048107327127,0.0,0.0
5,L72,6.461072831109271e-07,400.0,1.6152682077773178e-09,0.0,0.0
5,L98,60.702543638308704,200.0,0.3035127181915435,-5.625639452873413e-09,0.0
5,L78,-39.70135155719105,200.0,0.19850675778595528,0.0,3.873753508613493e-09
6,L14,364.5000027771832,400.0,0.9112500069429581,-5.24680701036856e-08,0.0
6,L45,320.9952610142199,400.0,0.8024881525355498,-1.765124684851437e-08,0.0
6,L46,43.50474123832896,200.0,0.2175237061916448,-4.279520793973634e-09,0.0
6,L69,6.784740753549552,200.0,0.03392370376774776,-1.5488538222830298e-09,6.626682881509279e-10
6,L57,-61.504739476995574,400.0,0.15376184869248893,0.0,0.0
6,L93,-70.57786552926788,400.0,0.1764446638231697,0.0,0.0
6,L72,6.444110263805916e-07,400.0,1.611027565951479e-09,0.0,0.0
6,L98,77.36260588262712,200.0,0.3868130294131356,-7.122854788016483e-09,0.0
6,L78,-61.504740769637564,200.0,0.30752370384818783,0.0,6.151556653004267e-09
7,L14,351.3750026474335,400.0,0.8784375066185838,-3.560650909062605e-08,0.0
7,L45,346.9901858535543,400.0,0.8674754646338857,-3.097582005604925e-08,0.0
7,L46,4.38481627074496,200.0,0.021924081353724797,-1.4013416979399546e-09,7.915774251574799e-10
7,L69,-34.01930919790806,200.0,0.1700965459895403,0.0,3.27190904582783e-09
7,L57,-103.00981463638446,400.0,0.25752453659096114,0.0,0.0
7,L93,-141.8839758780987,400.0,0.3547099396952468,0.0,0.0
7,L72,6.427280349265034e-07,400.0,1.6068200873162586e-09,0.0,0.0
7,L98,107.86466628159826,200.0,0.5393233314079913,-1.2508383633171011e-08,0.0
7,L78,-103.00981592562438,200.0,0.5150490796281219,0.0,1.3129114695107665e-08
8,L14,338.25000251767,400.0,0.845625006294175,-2.591281803479211e-08,0.0
8,L45,369.08708331493546,400.0,0.9227177082873387,-6.316851072279146e-08,0.0
8,L46,-30.837081318913114,200.0,0.15418540659456556,0.0,3.1563735536044067e-09
8,L69,-55.45770659454713,200.0,0.27728853297273565,0.0,5.40677839572472e-09
8,L57,-137.16291717373713,400.0,0.3429072929343428,0.0,0.0
8,L93,-117.0938443951991,400.0,0.29273461098799775,0.0,0.0
8,L72,6.410581373319709e-07,400.0,1.6026453433299272e-09,0.0,0.0
8,L98,115.85579256070972,200.0,0.5792789628035486,-1.7491505321110875e-08,0.0
8,L78,-137.16291845960174,200.0,0.6858145922980087,0.0,2.495521463530864e-08
9,L14,325.12500238789283,400.0,0.8128125059697321,-1.9617582899128124e-08,0.0
9,L45,366.7919740155442,400.0,0.9169799350388605,-5.7149860859370194e-08,0.0
9,L46,-41.666972147826115,200.0,0.20833486073913057,0.0,4.02224569622401e-09
9,L69,-24.744721990655687,200.0,0.12372360995327844,0.0,2.666873262172012e-09
9,L57,-156.33302647187284,400.0,0.3908325661796821,0.0,0.0
9,L93,-48.68572814352976,400.0,0.1217143203588244,0.0,0.0
9,L72,6.394012571933816e-07,400.0,1.598503142983454e-09,0.0,0.0
9,L98,27.69530463338508,200.0,0.1384765231669254,-2.949516944662409e-09,0.0
9,L78,-156.3330277543888,200.0,0.781665138771944,0.0,4.057265530494277e-08
10,L14,279.99036256049214,400.0,0.6999759064012303,-8.478650009501313e-09,0.0
10,L45,348.9207254790762,400.0,0.8723018136976906,-3.341518527475779e-08,0.0
10,L46,-68.9304146809705,200.0,0.3446520734048525,0.0,6.919384246052452e-09
10,L69,-2.429436565498812,200.0,0.01214718282749406,-9.550100416751716e-10,1.2244281032813567e-09
10,L57,-157.3293549804701,400.0,0.39332338745117523,0.0,0.0
10,L93,1.0400222235368548e-05,400.0,2.600055558842137e-08,0.0,0.0
10,L72,9.483143965027109e-05,400.0,2.3707859912567772e-07,0.0,0.0
10,L98,-2.4294570274247445,200.0,0.012147285137123723,-9.550091598892734e-10,1.224429028972495e-09
10,L78,-157.32954373630966,200.0,0.7866477186815483,0.0,4.197077146443713e-08
11,L14,149.42934271309107,400.0,0.3735733567827277,0.0,0.0
11,L45,295.0001753003686,400.0,0.7375004382509215,-1.1120184179397992e-08,0.0
11,L46,-145.5708835804648,200.0,0.727854417902324,0.0,3.0743220825353e-08
11,L69,-30.031171869568436,200.0,0.15015585934784217,0.0,3.047197339862717e-09
11,L57,-199.99988602865963,400.0,0.4999997150716491,0.0,1.0880781170205018e-09
11,L93,2.9423822451453353e-05,400.0,7.355955612863338e-08,0.0,0.0
11,L72,5.75768269139275e-05,400.0,1.4394206728481876e-07,0.0,0.0
11,L98,-30.031213679483837,200.0,0.15015606839741918,0.0,3.0472007130201576e-09
11,L78,-200.00000133386806,200.0,1.0000000066693402,0.0,4.548996872195268
12,L14,106.18580161221237,400.0,0.26546450403053096,0.0,0.0
12,L45,283.75018470386556,400.0,0.7093754617596639,-9.076294311908217e-09,0.0
12,L46,-177.56443375447196,200.0,0.8878221687723599,0.0,8.884395316738442e-08
12,L69,-20.179784073853213,200.0,0.10089892036926607,-7.184290350565275e-11,2.3324119354440676e-09
12,L57,-199.9998824888421,400.0,0.49999970622210527,0.0,1.0880779715248891e-09
12,L93,6.751992209406865,400.0,0.016879980523517163,0.0,0.0
12,L72,5.93484882880674e-05,400.0,1.4837122072016848e-07,0.0,0.0
12,L98,-26.931788479500597,200.0,0.13465894239750298,0.0,2.8135402742453498e-09
12,L78,-200.00000133090458,200.0,1.000000006654523,0.0,4.534149492745925
13,L14,92.63324114516712,400.0,0.2315831028629178,0.0,0.0
13,L45,272.5000675516982,400.0,0.6812501688792455,-7.393078139814746e-09,0.0
13,L46,-179.86687689044152,200.0,0.8993343844522076,0.0,1.0014770143902986e-07
13,L69,2.5581852439426096,200.0,0.012790926219713047,-1.231746452766862e-09,9.480477679252057e-10
13,L57,-199.99996745676734,400.0,0.49999991864191834,0.0,1.088081385036611e-09
13,L93,27.12430303194002,400.0,0.06781075757985006,0.0,0.0
13,L72,1.6916961897201466e-05,400.0,4.2292404743003665e-08,0.0,0.0
13,L98,-72.66495975613604,200.0,0.3633247987806802,0.0,7.415602938087266e-09
13,L78,-200.00000148921796,200.0,1.0000000074460897,0.0,5.566617413024312
14,L14,85.61137166765948,400.0,0.21402842916914872,0.0,0.0
14,L45,266.87501920992446,400.0,0.6671875480248112,-6.6581555385831075e-09,0.0
14,L46,-181.26369839864503,200.0,0.9063184919932251,0.0,1.0835980763576856e-07
14,L69,8.779008408647169,200.0,0.04389504204323584,-1.5971376292695417e-09,6.218384741872887e-10
14,L57,-199.9999950461781,400.0,0.49999998761544523,0.0,1.0880825121751637e-09
14,L93,41.18136937564757,400.0,0.10295342343911892,0.0,0.0
14,L72,3.2996335911938525e-06,400.0,8.249083977984631e-09,0.0,0.0
14,L98,-86.62493918135964,200.0,0.4331246959067982,0.0,9.559981367160245e-09
14,L78,-200.00000170965671,200.0,1.0000000085482836,0.0,8.883647170828826
15,L14,84.27190240871124,400.0,0.2106797560217781,0.0,0.0
15,L45,266.87517292794536,400.0,0.6671879323198634,-6.658168801204787e-09,0.0
15,L46,-182.6033221823938,200.0,0.9130166109119691,0.0,1.1747357402448995e-07
15,L69,-11.608985562821356,200.0,0.05804492781410678,-4.797843734005079e-10,1.771349930317935e-09
15,L57,-199.99988945499186,400.0,0.49999972363747963,0.0,1.0880782633795981e-09
15,L93,16.931099838330518,400.0,0.042327749595826296,0.0,0.0
15,L72,5.585575287399995e-05,400.0,1.396393821849999e-07,0.0,0.0
15,L98,-51.017454495861166,200.0,0.25508727247930585,0.0,4.885084268391528e-09
15,L78,-200.00000133700468,200.0,1.0000000066850234,0.0,4.56485293660369
16,L14,120.2321046073746,400.0,0.3005802615184365,0.0,0.0
16,L45,278.12519467124224,400.0,0.6953129866781056,-8.195850227195455e-09,0.0
16,L46,-157.89314342100488,200.0,0.7894657171050244,0.0,4.266643004613728e-08
16,L69,-31.141682117912204,200.0,0.15570841058956103,0.0,3.1330033446624075e-09
16,L57,-199.9998857377906,400.0,0.49999971434447654,0.0,1.0880781125153765e-09
16,L93,2.147912252971839e-05,400.0,5.3697806324295974e-08,0.0,0.0
16,L72,5.7711135881810615e-05,400.0,1.4427783970452655e-07,0.0,0.0
