hour,lambda_system,system_net_injection_residual_mw
1,67.14980764475813,-2.268892691591586e-14
2,67.1500004516521,-1.4627959202357998e-14
3,67.1500004882613,-5.096612453164484e-14
4,67.14984766030045,1.633105377987006e-14
5,67.15000050596545,7.530819056294255e-15
6,67.15000057334997,5.242307215524797e-14
7,67.15000062190403,1.4477220848487708e-14
8,67.15000062755637,3.951072956256843e-15
9,67.15000047902714,1.265899898215294e-14
10,60.00000064126849,1.7380573976572e-15
11,60.00000058382869,-7.700310793732137e-14
12,60.00000056949819,-1.8273685516156934e-15
13,60.000000559162686,1.6215632623554216e-14
14,60.00000054638348,3.6832726267848476e-14
15,60.000000530608595,-3.2984431971774114e-14
16,60.000000563985246,3.386517174813145e-14
17,60.00000060627368,-8.955938119885104e-15
18,67.15000057523658,5.6015130540918215e-14
19,67.14469624835186,1.1796211063261033e-14
20,67.14915415211233,-6.468251508179944e-15
21,94.90836452361917,6.257255998065592e-14
22,67.1500006280456,-6.897086448743345e-14
23,67.15000060532242,2.800653837535946e-14
24,67.15000059021664,3.285266511774929e-14
