hour,node,demand_mw,generation_mw,p_charge_mw,p_discharge_mw,storage_net_injection_mw,load_shed_mw,net_injection_mw,lambda_eur_per_mwh
1,N1,0.0,364.5000035766561,6.481563186345227e-08,1.0282377803880767e-07,3.8008146175355393e-08,0.0,364.50000361466425,67.1500006188714
1,N2,0.0,0,6.701373481116168e-08,9.819051006522152e-08,3.1176775254059836e-08,0.0,3.1176775254059836e-08,67.15000063488557
1,N3,0.0,9.505010574227562,7.775338143368783e-08,36.58007346046437,36.580073382710985,0.0,46.08508395693855,67.15000063141039
1,N4,0.0,0,6.481583606512245e-08,1.028247320249844e-07,3.8008895959861954e-08,0.0,3.8008895959861934e-08,67.15000063043021
1,N5,371.25,5.8723151908075e-09,6.568111425925081e-08,1.0094720526185629e-07,3.526609100260548e-08,0.0,-371.2499999588616,67.15000063512261
1,N6,35.64,0,6.391398359132814e-08,1.0491123336651158e-07,4.099724977518344e-08,0.0,-35.63999995900275,67.15000063149948
1,N7,0.0,0,6.70109392384522e-08,9.819583365602666e-08,3.118489441757447e-08,0.0,3.118489441757449e-08,67.15000063488557
1,N8,39.6,0,5.4363261353449705e-08,19.702346901544516,19.702346847181254,0.0,-19.89765315281875,67.1500006336001
1,N9,0.0,0,4.5185789419185304e-08,16.20256544389549,16.202565398709705,0.0,16.202565398709705,67.15000063168382
2,N1,0.0,368.4375036160311,6.481589781527076e-08,1.0282318275889712e-07,3.800728494362635e-08,0.0,368.4375036540384,67.15000062470084
2,N2,0.0,0,6.701356137013113e-08,9.819087291554655e-08,3.117731154541541e-08,0.0,3.117731154541541e-08,67.15000064171345
2,N3,0.0,15.73311551934191,1.9637228385685628e-07,2.1905814969172992e-07,2.2685865834873633e-08,0.0,15.733115542027775,67.15000063953357
2,N4,0.0,0,6.48161017631501e-08,1.0282414089852194e-07,3.800803913537184e-08,0.0,3.8008039135371834e-08,67.15000063771795
2,N5,354.375,5.872315116723152e-09,6.568077974740327e-08,1.0094793111570706e-07,3.526715136830377e-08,0.0,-354.37499995886054,67.15000064187134
2,N6,34.02,0,6.391398708769853e-08,1.0491121234766577e-07,4.099722525996724e-08,0.0,-34.019999959002774,67.15000063914454
2,N7,0.0,0,6.701076640590482e-08,9.81961955607031e-08,3.118542915479828e-08,0.0,3.1185429154798334e-08,67.15000064171345
2,N8,37.8,0,6.679367341893059e-08,42.024380670155104,42.024380603361436,0.0,4.224380603361434,67.15000064063695
2,N9,0.0,0,6.003042201140584e-08,7.809536120167038e-08,1.806493919026454e-08,0.0,1.8064939190264525e-08,67.15000063963731
3,N1,0.0,372.37500365540615,6.481609283132638e-08,1.0282275033675776e-07,3.800665750543138e-08,0.0,372.3750036934128,67.15000061967926
3,N2,0.0,0,6.701343296838288e-08,9.819114669748026e-08,3.1177713729097374e-08,0.0,3.117771372909737e-08,67.15000063860117
