unit,hour,node,soc_start_mwh,soc_end_mwh,p_charge_mw,p_discharge_mw,net_injection_mw,lambda_eur_per_mwh,spot_revenue_eur,degradation_cost_eur,rho_charge_dual,sigma_discharge_dual,gamma_soc_transition_dual
I3,1,N1,4.267494114478212e-06,4.221902388846208e-06,1.2268071539289505e-07,1.501539392244088e-07,2.7473223831513754e-08,67.15000048740166,1.8448269936766435e-06,2.0462599096297787e-06,-1.0921911897125252,-2.807544738614197,-62.17667507417626
I3,2,N1,4.221902388846208e-06,4.168837977423417e-06,1.2248014545789692e-07,1.5697265460681385e-07,3.4492509148916924e-08,67.15000049262764,2.316172006341735e-06,2.095896000485331e-06,-1.1676142455794523,-1.4680921487050158,-65.50937691864698
I3,3,N1,4.168837977423417e-06,4.114625124701692e-06,1.2226571769690167e-07,1.578597363589194e-07,3.559401866201772e-08,67.15000056920182,2.39013837341467e-06,2.100940905418658e-06,-1.2110656665147335,-1.3143557342501588,-66.36277523901883
I3,4,N1,4.114625124701692e-06,4.059613353679674e-06,1.2200151198778273e-07,1.5837605432305733e-07,3.6374542335274606e-08,67.15000051184813,2.4425505364319316e-06,2.1028317473313005e-06,-1.2344670375339426,-1.2823382593372181,-66.62068190294276
I3,5,N1,4.059613353679674e-06,4.0036788535828516e-06,1.216864595784864e-07,1.589637125815e-07,3.72772530030136e-08,67.15000057760608,2.503167560683931e-06,2.104876291199898e-06,-1.2400776332902443,-1.276084186392842,-66.69616349171788
I3,6,N1,4.0036788535828516e-06,3.946586239753188e-06,1.212844093308439e-07,1.5969547242167968e-07,3.841106309083576e-08,67.15000061212037,2.5793029100618154e-06,2.107349113143927e-06,-1.2412170915520016,-1.2809405898442814,-66.64676050854327
I3,7,N1,3.946586239753188e-06,3.88794234125323e-06,1.2073051248419445e-07,1.606622080613134e-07,3.993169557711896e-08,67.15000064005862,2.681413383562164e-06,2.110445404091309e-06,-1.2620259383912178,-1.279011497672506,-66.46567971195458
I3,8,N1,3.88794234125323e-06,3.8272196937967435e-06,1.1986576599516606e-07,1.6185031614457218e-07,4.198455014940613e-08,67.1500006620241,2.8192625703274056e-06,2.1128706160480368e-06,-1.3616894793462908,-1.2762961579972774,-66.12295959466142
I3,9,N1,3.8272196937967435e-06,3.765603737877176e-06,1.1968306536484885e-07,1.6252638957459776e-07,4.284332420974891e-08,67.15000062449481,2.876929247440073e-06,2.1165709120458496e-06,-1.162710340073677,-1.4279189808591646,-65.59420180182393
I3,10,N1,3.765603737877176e-06,3.874897469235647e-06,2.2630012836085702e-07,9.596170470490497e-08,-1.3033842365595204e-07,60.000000846964696,-7.820305529749166e-06,2.416963747993215e-06,-2.403103417153509,-0.9792115853447646,-61.87419331324673
I3,11,N1,3.874897469235647e-06,3.993106997508583e-06,2.359245036587841e-07,9.604839549397732e-08,-1.3987610816480677e-07,60.00000059065917,-8.392566572507513e-06,2.489796743645711e-06,-1.332613003124505,-1.2127277530489364,-61.53807482283269
