unit,soc_hour,node,soc_mwh,delta_soc_capacity_dual,rho_periodicity_dual
I4,0,N1,1.666756080273901e-05,-0.19759995030251626,-63.863466730356556
I4,1,N1,1.6629643489145096e-05,-0.08576801117464822,-63.863466730356556
I4,2,N1,1.6591181819193162e-05,-0.06511367883208127,-63.863466730356556
I4,3,N1,1.6552275325313e-05,-0.0581474870011218,-63.863466730356556
I4,4,N1,1.6512981044217858e-05,-0.05653672198588832,-63.863466730356556
I4,5,N1,1.647335585984054e-05,-0.05848052432527916,-63.863466730356556
I4,6,N1,1.643340460819048e-05,-0.06498972500589616,-63.863466730356556
I4,7,N1,1.639311823517985e-05,-0.08135482109140753,-63.863466730356556
I4,8,N1,1.635242767820464e-05,-0.14138993552571538,-63.863466730356556
I4,9,N1,1.6311179363515177e-05,-1.9522214529357484,-63.863466730356556
I4,10,N1,1.6395015406062264e-05,-0.15288631504719172,-63.863466730356556
I4,11,N1,1.6483054685383972e-05,-0.05927587784137649,-63.863466730356556
I4,12,N1,1.6568246920405686e-05,-0.040680439217259404,-63.863466730356556
I4,13,N1,1.664747217250898e-05,-0.041270500129317,-63.863466730356556
I4,14,N1,1.672650134622357e-05,-0.04118333585899796,-63.863466730356556
I4,15,N1,1.680527805390241e-05,-0.04057422049109042,-63.863466730356556
I4,16,N1,1.688594636694127e-05,-0.03362546062065943,-63.863466730356556
I4,17,N1,1.696762674122583e-05,-0.025689043660038414,-63.863466730356556
I4,18,N1,1.6925251071599808e-05,-0.03197545791643615,-63.863466730356556
I4,19,N1,1.6883146513629544e-05,-0.03738878605578258,-63.863466730356556
I4,20,N1,1.6841402782768276e-05,-0.040378163872759124,-63.863466730356556
I4,21,N1,1.6798617629159683e-05,-0.04806762654200865,-63.863466730356556
I4,22,N1,1.675547914627101e-05,-0.06123361805031186,-63.863466730356556
I4,23,N1,1.6711880863021403e-05,-0.09594122012887607,-63.863466730356556
I4,24,N1,1.666756080273901e-05,-0.7592953613057819,-63.863466730356556
I4,0,N2,4.1867834116276155e-05,-0.04819233694616721,-64.5770116192951
I4,1,N2,4.183972375254759e-05,-0.03757096866662244,-64.5770116192951
I4,2,N2,4.1810980786120926e-05,-0.0328545430688581,-64.5770116192951
I4,3,N2,4.178174534930443e-05,-0.031056991168032497,-64.5770116192951
I4,4,N2,4.1752080893798905e-05,-0.031239426126644432,-64.5770116192951
I4,5,N2,4.172203443471327e-05,-0.033190062608096337,-64.5770116192951
I4,6,N2,4.169159790168391e-05,-0.03752528731828443,-64.5770116192951
I4,7,N2,4.1660759843986516e-05,-0.046464423057125795,-64.5770116192951
I4,8,N2,4.162946230556971e-05,-0.06905292665828962,-64.5770116192951
I4,9,N2,4.1597632573463454e-05,-0.22289869802135204,-64.5770116192951
I4,10,N2,4.169977240991961e-05,-0.045057857948117154,-64.5770116192951
I4,11,N2,4.1767040163780615e-05,-0.027209369496017412,-64.5770116192951
I4,12,N2,4.181861654566139e-05,-0.02063871862089374,-64.5770116192951
I4,13,N2,4.1864012568032306e-05,-0.019512333831806533,-64.5770116192951
I4,14,N2,4.190503848189783e-05,-0.018589664584892144,-64.5770116192951
I4,15,N2,4.194990683466172e-05,-0.01775241587407303,-64.5770116192951
I4,16,N2,4.200833347012853e-05,-0.015892800806183337,-64.5770116192951
I4,17,N2,4.210908720431735e-05,-0.012585955699745608,-64.5770116192951
I4,18,N2,4.20767493390432e-05,-0.014188180711384508,-64.5770116192951
I4,19,N2,4.204485988825109e-05,-0.015675740139920617,-64.5770116192951
I4,20,N2,4.201268500489165e-05,-0.017371041294878636,-64.5770116192951
I4,21,N2,4.197854764635697e-05,-0.0204501581376371,-64.5770116192951
I4,22,N2,4.1943103956069564e-05,-0.02483982972214094,-64.5770116192951
I4,23,N2,4.190629704063313e-05,-0.032831895576113,-64.5770116192951
I4,24,N2,4.1867834116276155e-05,-0.053712661044800124,-64.5770116192951
I4,0,N3,74.32753415360607,-0.009006196435689732,-61.94222093864241
I4,1,N3,55.08797683038227,-5.237004625888052e-08,-61.94222093864241
I4,2,N3,51.455955158636456,-4.2465729032757796e-08,-61.94222093864241
I4,3,N3,48.91323633407622,-3.721654702420239e-08,-61.94222093864241
I4,4,N3,48.913236281675395,-3.721659161896473e-08,-61.94222093864241
I4,5,N3,48.9132362209145,-3.721664642882974e-08,-61.94222093864241
I4,6,N3,11.666333814772058,-9.150272439574342e-09,-61.94222093864241
I4,7,N3,8.97727474327958,-8.362273998243853e-09,-61.94222093864241
I4,8,N3,5.600377900710777,-7.460050826415646e-09,-61.94222093864241
I4,9,N3,1.2208616686896952e-06,-6.144486788027219e-09,-61.94222093864241
I4,10,N3,1.4862963548652596e-06,-6.14447912906685e-09,-61.94222093864241
I4,11,N3,2.403614021674682e-06,-6.1444763991504234e-09,-61.94222093864241
I4,12,N3,3.4440602699416183,-6.928902492912603e-09,-61.94222093864241
I4,13,N3,30.80165673583137,-1.7569347579324655e-08,-61.94222093864241
I4,14,N3,65.00259955944104,-1.1868472487697166e-07,-61.94222093864241
I4,15,N3,74.32753342692801,-0.9791610634857796,-61.94222093864241
I4,16,N3,74.32753409046035,-0.11907974742880452,-61.94222093864241
I4,17,N3,74.32753410133611,-0.029916073661479217,-61.94222093864241
I4,18,N3,74.32753405074936,-0.18765356800528094,-61.94222093864241
I4,19,N3,74.32753402456993,-0.08118209868301977,-61.94222093864241
